model,breastw,pima,shuttle,thyroid,AVG
DRL,0.9758,0.724,0.9925,0.6359,0.832
IForest,0.9947,0.7253,0.9836,0.7838,0.8718
KNN,0.9956,0.7058,0.9327,0.5515,0.7964
LOF,0.9819,0.6945,0.952,0.7078,0.834
MCM,0.9893,0.7412,0.9871,0.8112,0.8822
OCSVM,0.994,0.664,0.979,0.2552,0.723
Perceiver-d16-dcol0.1,0.9779,0.7016,0.9674,0.7926,0.8598
Perceiver-d16-dcol0.3,0.984,0.7102,0.9717,0.8163,0.8706
Perceiver-d16-dcol0.5,0.9807,0.7042,0.9704,0.816,0.8678
Perceiver-d32-dcol0.1,0.9864,0.699,0.9691,0.8032,0.8644
Perceiver-d32-dcol0.3,0.99,0.695,0.9697,0.7882,0.8607
Perceiver-d32-dcol0.5,0.9801,0.7041,0.9786,0.7909,0.8634
Perceiver-d8-dcol0.1,0.9864,0.7021,0.9619,0.8094,0.8649
Perceiver-d8-dcol0.3,0.9869,0.6945,0.9685,0.8085,0.8646
Perceiver-d8-dcol0.5,0.9855,0.71,0.9596,0.7887,0.861
