,C_mam,C_satl,C_sati,C_opt,C_thy,C_cart,C_ion,C_car,C_pm,C_bre,AVG_AUC,AVG_RANK
IForest,0.4405,1.0,1.0,0.9867,1.0,1.0,0.9745,0.8193,1.0,1.0,0.9221,6.7727
LOF,0.9661,1.0,1.0,0.9583,0.9962,1.0,1.0,0.9815,1.0,0.9618,0.9864,6.2727
OCSVM,0.9593,1.0,1.0,0.9786,0.9937,1.0,1.0,0.9604,1.0,0.9986,0.9891,5.1364
KNN,0.9418,1.0,1.0,0.9338,0.997,1.0,1.0,0.9749,1.0,0.998,0.9846,6.4545
PCA,0.8291,1.0,1.0,0.0559,0.9907,0.5529,1.0,0.3956,1.0,0.999,0.7823,8.6364
MCM,0.6718,0.9953,0.875,0.9116,1.0,1.0,1.0,0.9703,1.0,0.9956,0.942,8.2727
DRL,1.0,1.0,1.0,0.938,1.0,1.0,1.0,1.0,1.0,0.9958,0.9934,4.6364
Disent,0.9835,1.0,1.0,0.8597,0.9906,1.0,1.0,0.9192,1.0,0.9947,0.9748,7.6364
MemPAE-ws-pos-d64-lr0.001-t0.1,0.979,1.0,1.0,0.9589,0.9998,1.0,1.0,0.9917,1.0,0.9979,0.9927,4.8182
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,0.9756,1.0,1.0,0.9493,0.9973,1.0,1.0,0.9481,1.0,0.9978,0.9868,6.0
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,0.9804,1.0,1.0,0.9343,0.9998,1.0,1.0,0.9399,1.0,0.9985,0.9853,5.9091
MemPAE-mlp-mlp-d256-lr0.1,0.8259,1.0,1.0,0.9278,0.9904,1.0,1.0,0.9307,1.0,0.999,0.9674,7.4545
