,D_stl,D_camp,D_mam,D_satl,D_sati,D_opt,D_thy,D_cart,D_ion,D_car,D_pm,D_bre,AVG_AUC,AVG_RANK
IForest,0.3817,0.2693,0.0757,0.9443,0.1785,0.1111,0.0706,0.4836,0.6218,0.2723,0.5813,0.6288,0.3849,8.7692
LOF,0.9749,0.9221,0.7669,0.9984,0.9941,0.6065,0.3037,0.8377,0.9743,0.7312,0.6561,0.6415,0.784,3.8462
OCSVM,0.3024,0.2423,0.0792,0.9743,0.4463,0.0874,0.0876,0.4943,0.904,0.2956,0.6004,0.6079,0.4268,8.4615
KNN,0.9332,0.6544,0.3725,0.9951,0.9374,0.4159,0.1532,0.727,0.9697,0.5317,0.6318,0.6104,0.661,6.3077
PCA,0.1506,0.2025,0.0507,0.4686,0.0268,0.0559,0.0741,0.3684,0.5429,0.1864,0.5536,0.601,0.2735,10.6154
AutoEncoder,0.9202,0.5871,0.8359,0.9852,0.7447,0.3829,0.4599,0.8393,0.9727,0.6996,0.729,0.6539,0.7342,4.8462
MCM,0.9605,0.7761,0.3305,0.9835,0.8095,0.2884,0.2535,0.7697,0.3894,0.5847,0.6448,0.6351,0.6188,6.6154
DRL,0.9769,0.9991,0.6619,0.9996,0.9914,0.4148,0.5068,0.9964,0.988,0.9948,0.6627,0.7752,0.8306,2.6154
Disent,0.1674,0.8295,0.1038,0.511,0.0255,0.0667,0.0636,0.4168,0.5928,0.2419,0.5384,0.6245,0.3485,9.4615
PAE-ws-pos-d64-lr0.001,0.9738,0.9939,0.7945,0.9998,0.9997,0.5584,0.6091,0.9636,0.997,0.9306,0.6993,0.7241,0.8537,1.9231
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9703,0.9929,0.8074,0.9994,0.9998,0.5941,0.571,0.9531,0.993,0.9033,0.6968,0.6976,0.8482,2.5385
