dataset,IForest,LOF,OCSVM,KNN,PCA,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1
D_mam,0.0757,0.7669,0.0792,0.3725,0.0507,0.3305,0.6619,0.1038,0.8074,0.6489,0.817
D_satl,0.9443,0.9984,0.9743,0.9951,0.4686,0.9835,0.9996,0.511,0.9994,0.9839,0.9943
D_sati,0.1785,0.9941,0.4463,0.9374,0.0268,0.8095,0.9914,0.0255,0.9998,0.7474,0.9821
D_opt,0.1111,0.6065,0.0874,0.4159,0.0559,0.2884,0.4148,0.0667,0.5941,0.485,0.4705
D_thy,0.0706,0.3037,0.0876,0.1532,0.0741,0.2535,0.5068,0.0636,0.571,0.2189,0.519
D_cart,0.4836,0.8377,0.4943,0.727,0.3684,0.7697,0.9964,0.4168,0.9531,0.6895,0.7731
D_ion,0.6218,0.9743,0.904,0.9697,0.5429,0.3894,0.988,0.5928,0.993,0.7883,0.8305
D_car,0.2723,0.7312,0.2956,0.5317,0.1864,0.5847,0.9948,0.2419,0.9033,0.5311,0.6138
D_pm,0.5813,0.6561,0.6004,0.6318,0.5536,0.6448,0.6627,0.5384,0.6968,0.5766,0.6124
D_bre,0.6288,0.6415,0.6079,0.6104,0.601,0.6351,0.7752,0.6245,0.6976,0.6081,0.6378
AVG_AUC,0.3968,0.751,0.4577,0.6345,0.2928,0.5689,0.7992,0.3185,0.8216,0.6278,0.7251
AVG_RANK,8.6364,2.8182,8.0,5.5455,10.5455,6.2727,2.3636,9.7273,1.5455,6.5455,4.0
