,G_mam,G_satl,G_sati,G_opt,G_thy,G_cart,G_ion,G_car,G_pm,G_bre,AVG_AUC,AVG_RANK
IForest,0.9975,0.998,0.9313,1.0,0.9928,1.0,0.9401,1.0,0.9951,0.9973,0.9852,3.5455
LOF,0.8849,1.0,1.0,0.8956,0.9648,0.9995,0.963,0.9981,0.9841,0.9261,0.9616,8.7273
OCSVM,0.9918,1.0,0.9998,0.9963,0.9848,0.9999,0.9988,0.9996,0.9916,0.9968,0.9959,4.4545
KNN,0.9932,1.0,1.0,0.9937,0.9754,0.9999,0.9999,0.9996,0.9924,0.9941,0.9948,4.5455
PCA,0.9842,0.9962,0.8461,0.0559,0.9644,0.5526,0.8671,0.4224,0.9861,0.9956,0.7671,10.1818
MCM,0.9957,0.9879,0.6852,0.9957,0.9862,0.999,0.4902,0.9996,0.9924,0.9921,0.9124,8.0
DRL,0.9974,1.0,1.0,0.9995,0.9905,0.9999,0.9974,1.0,0.9731,0.9897,0.9948,4.9091
Disent,0.9812,0.9975,0.9603,0.9911,0.9681,0.9983,0.8527,0.9966,0.9637,0.9952,0.9705,9.5455
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9953,1.0,1.0,0.9945,0.9874,0.9999,0.9999,0.9994,0.9915,0.994,0.9962,3.8182
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,0.995,1.0,1.0,0.9934,0.9845,0.9994,0.9699,0.9994,0.9873,0.9928,0.9922,6.5455
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,0.9967,1.0,1.0,0.9931,0.9876,0.9997,0.988,0.9992,0.9903,0.995,0.9949,5.0909
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_dec_mixer-d64-lr0.001-t0.1,0.9842,0.9962,0.8468,0.9939,0.9644,0.9993,0.8663,0.9993,0.9868,0.9956,0.9633,8.6364
