,L_mam,L_satl,L_sati,L_opt,L_thy,L_cart,L_ion,L_car,L_pm,L_bre,AVG_AUC,AVG_RANK
IForest,0.0856,0.9391,0.4925,0.4132,0.1626,0.8631,0.79,0.6856,0.8712,0.7022,0.6005,10.3636
LOF,0.7615,0.9813,0.7718,0.7751,0.3276,0.964,0.8935,0.9091,0.9197,0.7976,0.8101,2.2727
OCSVM,0.1066,0.9465,0.573,0.5906,0.1778,0.9238,0.9341,0.7903,0.9181,0.7867,0.6747,6.3636
KNN,0.2874,0.9713,0.6188,0.7043,0.2283,0.936,0.944,0.8349,0.9166,0.7638,0.7205,5.1818
PCA,0.0869,0.8494,0.456,0.0559,0.1603,0.519,0.8293,0.3358,0.8976,0.7871,0.4977,10.5455
MCM,0.2491,0.8905,0.2903,0.6471,0.1743,0.9027,0.7079,0.7638,0.9084,0.7745,0.6309,9.1818
DRL,0.312,0.9488,0.5199,0.7734,0.3795,0.95,0.9054,0.8861,0.911,0.8061,0.7392,3.7273
Disent,0.3172,0.8401,0.4614,0.6874,0.2407,0.9209,0.8436,0.776,0.8532,0.8346,0.6775,7.4545
MemPAE-ws-pos-d64-lr0.001-t0.1,0.4273,0.9878,0.8011,0.8411,0.3434,0.9764,0.9561,0.9315,0.9282,0.7961,0.7989,1.6364
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_enc_mixer-d64-lr0.001-t0.1,0.3747,0.9399,0.4035,0.7622,0.2443,0.918,0.8878,0.804,0.9,0.7883,0.7023,6.5455
MemPAE-ws-local+global-sqrt_F1.0-sqrt_N1.0-mlp_dec_mixer-d64-lr0.001-t0.1,0.4448,0.9719,0.5591,0.7127,0.3061,0.9233,0.8907,0.815,0.9083,0.7856,0.7317,5.0909
MemPAE-mlp-mlp-d256-lr0.1,0.0842,0.8508,0.463,0.5335,0.1622,0.8971,0.8127,0.7332,0.8943,0.7885,0.622,9.6364
