dataset,IForest,LOF,OCSVM,KNN,PCA,AutoEncoder,MCM,DRL,Disent,PAE-ws-pos-d64-lr0.001,MemPAE-ws-pos-d64-lr0.001-t0.1
L_stl,0.6528,0.9239,0.626,0.9352,0.5286,0.876,0.8823,0.8406,0.5342,0.9125,0.9149
L_camp,0.876,0.9901,0.895,0.9886,0.2025,0.9499,0.993,0.992,0.986,0.9998,0.9997
L_mam,0.0856,0.7615,0.1066,0.2874,0.0869,0.4688,0.2491,0.312,0.3172,0.4236,0.4273
L_satl,0.9391,0.9813,0.9465,0.9713,0.8494,0.9303,0.8905,0.9488,0.8401,0.9914,0.9878
L_sati,0.4925,0.7718,0.573,0.6188,0.456,0.3106,0.2903,0.5199,0.4614,0.8364,0.8011
L_opt,0.4132,0.7751,0.5906,0.7043,0.0559,0.7612,0.6471,0.7734,0.6874,0.8489,0.8411
L_thy,0.1626,0.3276,0.1778,0.2283,0.1603,0.3095,0.1743,0.3795,0.2407,0.3476,0.3434
L_cart,0.8631,0.964,0.9238,0.936,0.519,0.9468,0.9027,0.95,0.9209,0.9793,0.9764
L_ion,0.79,0.8935,0.9341,0.944,0.8293,0.9461,0.7079,0.9054,0.8436,0.9522,0.9561
L_car,0.6856,0.9091,0.7903,0.8349,0.3358,0.8785,0.7638,0.8861,0.776,0.9423,0.9315
L_pm,0.8712,0.9197,0.9181,0.9166,0.8976,0.9095,0.9084,0.911,0.8532,0.9391,0.9282
L_bre,0.7022,0.7976,0.7867,0.7638,0.7871,0.7993,0.7745,0.8061,0.8346,0.8262,0.7961
AVG_AUC,0.6278,0.8346,0.689,0.7608,0.4757,0.7572,0.682,0.7687,0.6913,0.8333,0.8253
AVG_RANK,9.5385,3.3077,7.2308,5.4615,10.0769,5.6923,8.3077,4.6154,7.4615,1.7692,2.5385
