dataset,IForest,LOF,OCSVM,ECOD,KNN,PCA,AutoEncoder,DeepSVDD,GOAD,NeuTraL,ICL,MCM,DRL,Perceiver-d16-dcol0.5,RIN-d16-dcol0.1,MemAE-d64-lr0.05,MultiMemAE-d64-lr0.05-ad8,MultiMemAE-d64-lr0.05-ad16,MultiMemAE-d64-lr0.05-ad32,PAE-ws-d32-lr0.005
arrhythmia,0.6412,0.5994,0.6141,0.6212,0.6131,0.6127,0.4599,0.5711,0.4781,0.3955,0.4657,0.5945,0.5401,0.613,0.6081,0.614,0.6169,0.6182,0.6095,0.6069
breastw,0.9949,0.9209,0.99,0.9922,0.9876,0.9905,0.982,0.9841,0.8363,0.6237,0.8376,0.991,0.9779,0.9897,0.99,0.9789,0.9807,0.9813,0.9795,0.9875
cardio,0.7941,0.6966,0.8463,0.7144,0.7784,0.8548,0.7452,0.7939,0.344,0.3229,0.5748,0.8076,0.7379,0.8364,0.8573,0.6956,0.6957,0.6928,0.7001,0.8163
campaign,0.457,0.4025,0.4968,0.501,0.4972,0.4905,0.4487,0.4453,0.1662,0.4034,0.4877,0.4986,0.4177,0.457,0.472,0.5189,,,,
cardiotocography,0.6943,0.6744,0.7292,0.6539,0.658,0.4714,0.7542,0.6987,0.4161,0.4283,0.5723,0.6344,0.6086,0.7181,0.7416,0.6119,0.6073,0.6008,0.6042,0.6841
glass,0.1638,0.2458,0.1878,0.1943,0.2454,0.1547,0.2101,0.1466,0.2791,0.5636,0.3674,0.2294,0.2701,0.1659,0.1646,0.3407,0.2824,0.3223,0.3477,0.304
ionosphere,0.9143,0.9632,0.975,0.7787,0.981,0.9173,0.9534,0.8828,0.9594,0.9411,0.9441,0.9729,0.9704,0.9483,0.9282,0.9797,0.9777,0.9799,0.9803,0.9766
mammography,0.3606,0.331,0.4016,0.5461,0.4073,0.4279,0.3059,0.4037,0.2622,0.0678,0.1421,0.4204,0.5331,0.3926,0.406,0.4874,,,,
hepatitis,0.5257,0.6375,0.6212,0.4484,0.6445,0.6312,0.5819,0.5494,0.2583,0.3931,0.4291,0.6041,0.5351,0.6239,0.6346,0.5506,0.5575,0.5516,0.5663,0.564
optdigits,0.1849,0.4977,0.0675,0.0655,0.3233,0.0559,0.084,0.0671,0.1551,0.4672,0.3969,0.3372,0.2727,0.1356,0.0599,0.4522,0.3848,0.4572,0.3267,0.2225
pendigits,0.5235,0.8508,0.5094,0.4022,0.9681,0.3834,0.3938,0.3899,0.0281,0.5584,0.5006,0.8381,0.6094,0.4269,0.3914,0.7563,0.7706,0.6955,0.7402,0.8879
pima,0.7179,0.672,0.6915,0.6242,0.7155,0.693,0.6775,0.6623,0.4932,0.5619,0.6488,0.625,0.6322,0.6948,0.6916,0.6852,0.6938,0.6924,0.6883,0.6856
satellite,0.8428,0.8785,0.8236,0.6614,0.8917,0.7692,0.8453,0.7433,0.8007,0.7399,0.8636,0.8608,0.9009,0.8422,0.7765,0.8589,0.8609,0.8603,0.8591,0.866
thyroid,0.8201,0.6781,0.7834,0.6281,0.8109,0.7919,0.7636,0.7497,0.6937,0.1079,0.2926,0.693,0.6457,0.7993,0.8033,0.7152,0.7234,0.7438,0.7195,0.7674
wbc,0.7729,0.78,0.7798,0.5922,0.7661,0.7688,0.7923,0.7398,0.2629,0.0981,0.3314,0.5548,0.7423,0.7763,0.772,0.7529,0.7563,0.7619,0.762,0.77
wine,0.5417,0.7508,0.7561,0.316,0.7804,0.6385,0.6287,0.5863,0.5308,0.8331,0.5937,0.7852,0.7486,0.7093,0.6899,0.8034,0.7898,0.7593,0.8151,0.8086
AVG,0.6219,0.6612,0.6421,0.5462,0.6918,0.6032,0.6017,0.5884,0.4353,0.4691,0.528,0.6529,0.6339,0.6331,0.6242,0.6751,0.6927,0.6941,0.6928,0.7105
