,D_opt,D_mam,D_stl,D_ion,D_thy,AVG_AUC,AVG_RANK
IForest,0.7582,0.7065,0.8478,0.7214,0.6405,0.7349,7.5
LOF,0.984,0.9727,0.9983,0.9821,0.8087,0.9491,3.1667
OCSVM,0.7026,0.6958,0.7771,0.94,0.6479,0.7527,7.5
KNN,0.964,0.9051,0.9966,0.9745,0.7659,0.9212,4.8333
PCA,0.5,0.4982,0.5939,0.6294,0.5967,0.5636,9.5
AutoEncoder,0.9501,0.9833,0.9947,0.9824,0.8898,0.9601,3.1667
MCM,0.9312,0.8858,0.9978,0.264,0.8142,0.7786,5.8333
DRL,0.9448,0.9502,0.9975,0.9891,0.8724,0.9508,3.5
Disent,0.5588,0.712,0.562,0.638,0.553,0.6048,8.8333
PAE-ws-pos-d64-lr0.001,,,,,,,
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9831,0.9864,0.9986,0.9946,0.9541,0.9833,1.1667
