,L_opt,L_mam,L_stl,L_ion,L_thy,AVG_AUC,AVG_RANK
IForest,0.8869 ± 0.0062,0.5951 ± 0.0127,0.9103 ± 0.0061,0.7923 ± 0.0172,0.8084 ± 0.0083,0.7986 ± 0.0101,8.3333
LOF,0.9930 ± 0.0014,0.9724 ± 0.0024,0.9818 ± 0.0020,0.8839 ± 0.0207,0.8232 ± 0.0075,0.9309 ± 0.0068,2.6667
OCSVM,0.9787 ± 0.0020,0.7039 ± 0.0034,0.8671 ± 0.0032,0.9298 ± 0.0116,0.8137 ± 0.0035,0.8586 ± 0.0048,5.8333
KNN,0.9898 ± 0.0013,0.7185 ± 0.0028,0.9945 ± 0.0009,0.9469 ± 0.0123,0.8404 ± 0.0043,0.8980 ± 0.0043,3.0000
PCA,0.5000 ± 0.0000,0.6914 ± 0.0053,0.8268 ± 0.0017,0.8162 ± 0.0163,0.8069 ± 0.0044,0.7283 ± 0.0055,8.3333
AutoEncoder,0.9914 ± 0.0027,0.7198 ± 0.0080,0.9736 ± 0.0064,0.9496 ± 0.0170,0.8447 ± 0.0282,0.8958 ± 0.0125,3.1667
MCM,0.9837 ± 0.0018,0.6898 ± 0.0202,0.9798 ± 0.0147,0.6639 ± 0.0438,0.8021 ± 0.0380,0.8239 ± 0.0237,6.6667
DRL,0.9799 ± 0.0024,0.6731 ± 0.0127,0.9485 ± 0.0152,0.9281 ± 0.0208,0.7744 ± 0.0142,0.8608 ± 0.0131,6.6667
Disent,0.9719 ± 0.0090,0.6386 ± 0.0143,0.8040 ± 0.0318,0.8302 ± 0.0123,0.7757 ± 0.0127,0.8041 ± 0.0160,8.5000
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9952 ± 0.0017,0.7246 ± 0.0056,0.9781 ± 0.0026,0.9611 ± 0.0080,0.8821 ± 0.0060,0.9082 ± 0.0047,1.8333
