dataset,IForest,LOF,OCSVM,ECOD,KNN,PCA,AutoEncoder,DeepSVDD,GOAD,NeuTraL,ICL,MCM,DRL,Disent,MemAE-d128-lr0.001,MemAE-d128-lr0.001-t0.1,MemAE-d128-lr0.005,MemAE-d128-lr0.005-t0.1,MemAE-d128-lr0.01,MemAE-d128-lr0.01-t0.1,MemAE-d128-lr0.05,MemAE-d128-lr0.05-t0.1,MemAE-d256-lr0.001,MemAE-d256-lr0.001-t0.1,MemAE-d256-lr0.005,MemAE-d256-lr0.005-t0.1,MemAE-d256-lr0.01,MemAE-d256-lr0.01-t0.1,MemAE-d256-lr0.05,MemAE-d256-lr0.05-t0.1,MemAE-d64-lr0.001,MemAE-d64-lr0.001-t0.1,MemAE-d64-lr0.005,MemAE-d64-lr0.005-t0.1,MemAE-d64-lr0.01,MemAE-d64-lr0.01-t0.1,MemAE-d64-lr0.05,MemAE-d64-lr0.05-t0.1,MemAE-l2-d128-lr0.001,MemAE-l2-d128-lr0.001-t0.1,MemAE-l2-d128-lr0.005,MemAE-l2-d128-lr0.005-t0.1,MemAE-l2-d128-lr0.01,MemAE-l2-d128-lr0.01-t0.1,MemAE-l2-d128-lr0.05,MemAE-l2-d128-lr0.05-t0.1,MemAE-l2-d256-lr0.001,MemAE-l2-d256-lr0.001-t0.1,MemAE-l2-d256-lr0.005,MemAE-l2-d256-lr0.005-t0.1,MemAE-l2-d256-lr0.01,MemAE-l2-d256-lr0.01-t0.1,MemAE-l2-d256-lr0.05,MemAE-l2-d256-lr0.05-t0.1,MemAE-l2-d64-lr0.001,MemAE-l2-d64-lr0.001-t0.1,MemAE-l2-d64-lr0.005,MemAE-l2-d64-lr0.005-t0.1,MemAE-l2-d64-lr0.01,MemAE-l2-d64-lr0.01-t0.1,MemAE-l2-d64-lr0.05,MemAE-l2-d64-lr0.05-t0.1,MemPAE-ws-d16-lr0.001,MemPAE-ws-d16-lr0.001-t0.1,MemPAE-ws-d16-lr0.005,MemPAE-ws-d16-lr0.005-t0.1,MemPAE-ws-d16-lr0.01,MemPAE-ws-d16-lr0.01-t0.1,MemPAE-ws-d16-lr0.05,MemPAE-ws-d16-lr0.05-t0.1,MemPAE-ws-d32-lr0.001,MemPAE-ws-d32-lr0.001-t0.1,MemPAE-ws-d32-lr0.005,MemPAE-ws-d32-lr0.005-t0.1,MemPAE-ws-d32-lr0.01,MemPAE-ws-d32-lr0.01-t0.1,MemPAE-ws-d32-lr0.05,MemPAE-ws-d32-lr0.05-t0.1,MemPAE-ws-d64-lr0.001,MemPAE-ws-d64-lr0.001-t0.1,MemPAE-ws-d64-lr0.005,MemPAE-ws-d64-lr0.005-t0.1,MemPAE-ws-d64-lr0.01,MemPAE-ws-d64-lr0.01-t0.1,MemPAE-ws-d64-lr0.05,MemPAE-ws-d64-lr0.05-t0.1,MemPAE-ws-pos_query-d16-lr0.001-t0.1,MemPAE-ws-pos_query-d16-lr0.005-t0.1,MemPAE-ws-pos_query-d16-lr0.01-t0.1,MemPAE-ws-pos_query-d16-lr0.05-t0.1,MemPAE-ws-pos_query-d32-lr0.001-t0.1,MemPAE-ws-pos_query-d32-lr0.005-t0.1,MemPAE-ws-pos_query-d32-lr0.01-t0.1,MemPAE-ws-pos_query-d32-lr0.05-t0.1,MemPAE-ws-pos_query-d64-lr0.001-t0.1,MemPAE-ws-pos_query-d64-lr0.005-t0.1,MemPAE-ws-pos_query-d64-lr0.01-t0.1,MemPAE-ws-pos_query-d64-lr0.05-t0.1,PAE-d16-lr0.001,PAE-d16-lr0.005,PAE-d16-lr0.01,PAE-d16-lr0.05,PAE-d32-lr0.001,PAE-d32-lr0.005,PAE-d32-lr0.01,PAE-d32-lr0.05,PAE-d64-lr0.001,PAE-d64-lr0.005,PAE-d64-lr0.01,PAE-d64-lr0.05,PAE-pos_query-d16-lr0.001,PAE-pos_query-d16-lr0.005,PAE-pos_query-d16-lr0.01,PAE-pos_query-d16-lr0.05,PAE-pos_query-d32-lr0.001,PAE-pos_query-d32-lr0.005,PAE-pos_query-d32-lr0.01,PAE-pos_query-d32-lr0.05,PAE-pos_query-d64-lr0.001,PAE-pos_query-d64-lr0.005,PAE-pos_query-d64-lr0.01,PAE-pos_query-d64-lr0.05,PAE-ws-d16-lr0.001,PAE-ws-d16-lr0.005,PAE-ws-d16-lr0.01,PAE-ws-d16-lr0.05,PAE-ws-d32-lr0.001,PAE-ws-d32-lr0.005,PAE-ws-d32-lr0.01,PAE-ws-d32-lr0.05,PAE-ws-d64-lr0.001,PAE-ws-d64-lr0.005,PAE-ws-d64-lr0.01,PAE-ws-d64-lr0.05,PAE-ws-d8-lr0.001,PAE-ws-d8-lr0.005,PAE-ws-d8-lr0.01,PAE-ws-d8-lr0.05,PAE-ws-pos_query-d16-lr0.001,PAE-ws-pos_query-d16-lr0.005,PAE-ws-pos_query-d16-lr0.01,PAE-ws-pos_query-d16-lr0.05,PAE-ws-pos_query-d32-lr0.001,PAE-ws-pos_query-d32-lr0.005,PAE-ws-pos_query-d32-lr0.01,PAE-ws-pos_query-d32-lr0.05,PAE-ws-pos_query-d64-lr0.001,PAE-ws-pos_query-d64-lr0.005,PAE-ws-pos_query-d64-lr0.01,PAE-ws-pos_query-d64-lr0.05,Perceiver-d16-dcol0.1,Perceiver-d16-dcol0.3,Perceiver-d16-dcol0.5,Perceiver-d32-dcol0.1,Perceiver-d32-dcol0.3,Perceiver-d32-dcol0.5,Perceiver-d8-dcol0.1,Perceiver-d8-dcol0.3,Perceiver-d8-dcol0.5,RIN-d16-dcol0.1,RIN-d16-dcol0.3,RIN-d16-dcol0.5,RIN-d32-dcol0.1,RIN-d32-dcol0.3,RIN-d32-dcol0.5,RIN-d8-dcol0.1,RIN-d8-dcol0.3,RIN-d8-dcol0.5
arrhythmia,0.8203,0.8038,0.8032,0.8048,0.8065,0.7998,0.766,0.7635,0.6364,0.6807,0.7503,0.7942,0.7483,0.7852,0.8064,0.8058,0.81,0.8103,0.8101,0.8107,0.8117,0.8136,0.8067,0.8088,0.8128,0.8093,0.811,0.8079,0.8045,0.7992,0.8045,0.8078,0.8088,0.8093,0.8089,0.8089,0.8099,0.8115,0.805,0.8057,0.8044,0.806,0.8044,0.8063,0.8015,0.8029,0.8087,0.8042,0.8041,0.8077,0.8065,0.8041,0.8034,0.8031,0.8031,0.8045,0.8073,0.805,0.8051,0.8054,0.8046,0.804,0.806,0.8064,0.8076,0.8102,0.8066,0.8111,0.8008,0.7998,0.8031,0.8023,0.802,0.8054,0.8079,0.8008,0.7998,0.7999,0.7974,0.8021,0.8059,0.8034,0.8005,0.8023,0.7998,0.7998,0.807,0.8089,0.8088,0.7995,0.8047,0.8075,0.8046,0.7998,0.8034,0.8047,0.7998,0.7998,0.8035,0.8021,0.8058,0.8008,0.7969,0.8011,0.8059,0.7999,0.7951,0.799,0.8035,0.7998,0.8035,0.8021,0.8058,0.8008,0.7969,0.8011,0.8059,0.7999,0.7951,0.799,0.8035,0.7998,0.8044,0.804,0.8064,0.8003,0.7976,0.798,0.8079,0.8,0.7958,0.7993,0.8042,0.7999,0.8053,0.8072,0.809,0.8037,0.8041,0.8062,0.8068,0.8016,0.7969,0.8025,0.8038,0.7999,0.7962,0.8021,0.8021,0.7998,0.7981,0.7993,0.8002,0.7992,0.7992,0.8001,0.7981,0.7997,0.8001,0.8013,0.7997,0.801,0.8016,0.7991,0.8003,0.8007,0.7998,0.7992
breastw,0.9951,0.9588,0.9916,0.992,0.9901,0.9917,0.9861,0.9879,0.754,0.7189,0.8883,0.9921,0.9819,0.9803,0.9853,0.9835,0.9835,0.9839,0.984,0.9849,0.9829,0.982,0.984,0.9824,0.9846,0.9841,0.9848,0.9812,0.9893,0.9865,0.9896,0.9876,0.9832,0.9828,0.9843,0.9836,0.9818,0.9804,0.9853,0.9856,0.9888,0.9871,0.9878,0.9891,0.9901,0.9903,0.9861,0.9856,0.9861,0.9886,0.9868,0.9902,0.9908,0.9897,0.9864,0.9878,0.9865,0.9867,0.9883,0.9851,0.9886,0.9905,0.9886,0.9874,0.9868,0.9836,0.9857,0.9855,0.9868,0.9865,0.9877,0.9884,0.9872,0.9857,0.9864,0.9859,0.9908,0.9902,0.9878,0.9883,0.9857,0.9851,0.9853,0.9838,0.9916,0.9896,0.988,0.9848,0.9857,0.9866,0.9865,0.9864,0.9851,0.9909,0.9868,0.9842,0.9872,0.9913,0.9882,0.9878,0.9861,0.9865,0.9891,0.9882,0.986,0.9892,0.989,0.9878,0.984,0.9905,0.9882,0.9878,0.9861,0.9865,0.9891,0.9882,0.986,0.9892,0.989,0.9878,0.984,0.9905,0.9879,0.9869,0.9859,0.9845,0.9883,0.9893,0.9883,0.9888,0.9894,0.9883,0.9865,0.9904,0.991,0.9872,0.9856,0.9847,0.9883,0.9862,0.9885,0.9842,0.9886,0.9882,0.9877,0.9884,0.9893,0.9865,0.9846,0.9913,0.9915,0.9907,0.9911,0.9915,0.9914,0.9912,0.9912,0.9908,0.99,0.9913,0.9911,0.9911,0.9914,0.9911,0.9912,0.9915,0.991,0.9916
cardio,0.9489,0.9265,0.9633,0.9356,0.9308,0.9659,0.9184,0.9386,0.5109,0.6873,0.8135,0.9428,0.895,0.957,0.9442,0.9245,0.8744,0.8846,0.8725,0.8593,0.8565,0.8854,0.9337,0.8962,0.8714,0.881,0.8805,0.8758,0.9619,0.9398,0.9499,0.9446,0.8898,0.885,0.8641,0.8766,0.8679,0.8768,0.9318,0.9368,0.8839,0.8991,0.8781,0.953,0.9608,0.9595,0.9143,0.9207,0.8815,0.951,0.919,0.9583,0.9542,0.9592,0.9413,0.9466,0.8793,0.898,0.8797,0.8924,0.9551,0.9576,0.9414,0.9341,0.9208,0.9195,0.9041,0.8934,0.9077,0.9111,0.9423,0.9424,0.9292,0.9351,0.8941,0.9027,0.9653,0.9481,0.9524,0.9462,0.9134,0.9218,0.8924,0.9143,0.966,0.9664,0.9302,0.9129,0.9082,0.9308,0.9376,0.9317,0.9073,0.966,0.9527,0.9076,0.9082,0.966,0.9334,0.9303,0.9195,0.8939,0.9528,0.9387,0.9386,0.9575,0.9551,0.9433,0.9113,0.9647,0.9334,0.9303,0.9195,0.8939,0.9528,0.9387,0.9386,0.9575,0.9551,0.9433,0.9113,0.9647,0.9457,0.9395,0.9169,0.9052,0.9502,0.9388,0.927,0.9596,0.9512,0.9354,0.9065,0.9622,0.9559,0.9307,0.9197,0.9225,0.9426,0.9354,0.9056,0.9036,0.953,0.9369,0.9261,0.9584,0.9514,0.9491,0.89,0.9635,0.9606,0.9609,0.9554,0.9632,0.9665,0.9656,0.9643,0.9561,0.9625,0.9664,0.965,0.9654,0.962,0.9653,0.9655,0.9655,0.9671,0.9656
campaign,0.7323,0.7028,0.7761,0.7698,0.7851,0.7699,0.7672,0.7235,0.379,0.712,0.8,0.7825,0.7262,0.6981,0.7475,0.7795,0.7404,0.773,0.7609,0.7779,0.7985,0.779,0.7418,0.7898,0.7421,0.7754,0.7894,0.788,0.7427,0.7833,0.7496,0.7564,0.7349,0.8156,0.7445,0.795,0.8297,0.767,0.825,0.8304,0.7844,0.7778,0.7835,0.767,0.765,0.7648,0.7873,0.8089,0.7855,0.771,0.7676,0.7654,0.7707,0.7679,0.7641,0.7838,0.8434,0.8247,0.7806,0.7786,0.765,0.7656,0.7992,0.7945,0.7699,0.7805,0.7783,0.7956,0.7484,0.7653,0.7872,0.7952,0.7876,0.7874,0.8038,0.7747,0.7184,0.7441,0.7875,0.7935,0.7718,0.7916,0.7568,0.7939,0.7468,0.7667,0.7885,0.7807,0.778,0.7984,0.7889,0.7777,0.7818,0.7812,0.7965,0.7913,0.7881,0.7474,0.7865,0.7792,0.7777,0.7887,0.795,0.7873,0.7837,0.7892,0.7937,0.7867,0.788,0.7617,,,,,,,,,,,,,0.7922,0.7819,0.779,0.7801,0.7908,0.7814,0.783,0.7803,0.7934,0.7873,0.777,0.7696,0.7637,0.7635,0.7572,0.744,0.7988,0.7869,0.785,0.8138,0.7916,0.7933,0.7796,0.7927,0.7944,0.7919,0.7873,0.7612,0.7562,0.7584,0.7638,0.7599,0.7621,0.7684,0.7493,0.7637,0.7679,0.761,0.7801,0.7763,0.7664,0.7741,0.7687,0.7729,0.7627,0.7718
cardiotocography,0.808,0.7817,0.8208,0.7843,0.736,0.5976,0.8486,0.7867,0.4226,0.5659,0.6593,0.7263,0.6668,0.7622,0.7309,0.7166,0.654,0.669,0.6572,0.6666,0.6646,0.6748,0.7217,0.6768,0.6552,0.6776,0.6718,0.6576,0.7876,0.7533,0.7474,0.7269,0.6636,0.659,0.6517,0.6524,0.6657,0.6643,0.7146,0.7226,0.6615,0.6757,0.6497,0.7497,0.783,0.7976,0.6811,0.6924,0.661,0.7663,0.7183,0.7945,0.8031,0.795,0.7207,0.7251,0.6648,0.6732,0.6582,0.6659,0.777,0.7713,0.7035,0.7109,0.6932,0.6927,0.6793,0.669,0.7359,0.7611,0.7267,0.7134,0.728,0.6944,0.6603,0.6845,0.8179,0.8119,0.7545,0.7462,0.6844,0.6893,0.6794,0.7329,0.8299,0.8297,0.7056,0.6964,0.6957,0.7116,0.7326,0.7086,0.7024,0.8091,0.7408,0.688,0.7342,0.8307,0.7174,0.7318,0.7155,0.6891,0.7506,0.7531,0.7292,0.8022,0.7691,0.7497,0.7121,0.8296,0.7174,0.7318,0.7155,0.6891,0.7506,0.7531,0.7292,0.8022,0.7691,0.7497,0.7121,0.8296,0.7152,0.717,0.7025,0.7145,0.7396,0.7444,0.7196,0.7902,0.7628,0.7401,0.7231,0.8246,0.7705,0.7337,0.6974,0.6612,0.727,0.7064,0.6894,0.699,0.7349,0.741,0.7055,0.7843,0.754,0.7552,0.7102,0.8244,0.8376,0.8241,0.8043,0.8337,0.8282,0.826,0.8286,0.8064,0.7955,0.8307,0.8256,0.8218,0.8168,0.8289,0.8294,0.8308,0.826,0.8222
glass,0.7159,0.8047,0.6097,0.618,0.8245,0.6348,0.7028,0.636,0.7451,0.9449,0.8889,0.7607,0.8149,,0.7372,0.8187,0.7908,0.8553,0.8463,0.8915,0.8465,0.8513,0.777,0.8409,0.8722,0.8642,0.8662,0.8612,0.6865,0.7857,0.7037,0.8258,0.7883,0.8716,0.8059,0.8786,0.8584,0.8904,0.7928,0.7845,0.8509,0.7975,0.8309,0.7783,0.7146,0.7276,0.8128,0.8018,0.854,0.7805,0.8346,0.7652,0.6711,0.7111,0.7607,0.7551,0.8224,0.8304,0.8508,0.826,0.8292,0.718,0.8297,0.855,0.8373,0.8544,0.8535,0.8522,0.7472,0.6712,0.8425,0.8706,0.8504,0.8757,0.8566,0.806,0.6329,0.6321,0.8244,0.8659,0.8563,0.8225,0.816,0.7916,0.6326,0.6476,0.8364,0.8539,0.8287,0.7245,0.8273,0.8652,0.8382,0.6462,0.8536,0.7959,0.7005,0.6569,0.8602,0.8782,0.8771,0.7584,0.8716,0.8769,0.8586,0.6546,0.8337,0.8509,0.8121,0.6329,0.8602,0.8782,0.8771,0.7584,0.8716,0.8769,0.8586,0.6546,0.8337,0.8509,0.8121,0.6329,0.8548,0.8793,0.8654,0.7552,0.8614,0.8593,0.8681,0.6406,0.8444,0.8821,0.8001,0.6557,0.7055,0.8318,0.815,0.7554,0.8577,0.8644,0.864,0.7831,0.8743,0.8558,0.8777,0.6529,0.8331,0.8508,0.8074,0.6447,0.6376,0.6523,0.6586,0.5933,0.6425,0.6346,0.6341,0.6378,0.6592,0.6598,0.657,0.6573,0.6426,0.6207,0.6441,0.6604,0.6509,0.6366
ionosphere,0.9036,0.9564,0.9651,0.7424,0.9765,0.9002,0.9387,0.867,0.9494,0.9374,0.9438,0.9638,0.963,,0.9564,0.9734,0.9767,0.9714,0.9726,0.9695,0.9745,0.971,0.97,0.9709,0.972,0.9705,0.9711,0.9728,0.9494,0.9363,0.9424,0.959,0.9758,0.9737,0.9756,0.973,0.9735,0.969,0.9705,0.968,0.9665,0.9584,0.9428,0.9442,0.9308,0.9427,0.9725,0.9557,0.9491,0.9386,0.9488,0.9388,0.9382,0.9377,0.9549,0.9566,0.9739,0.9604,0.9675,0.9435,0.9443,0.9375,0.9724,0.9746,0.9723,0.9733,0.9707,0.9706,0.9489,0.9475,0.9765,0.9739,0.9678,0.9691,0.9713,0.9577,0.9077,0.906,0.9727,0.9702,0.9695,0.9691,0.9745,0.9284,0.8995,0.903,0.9743,0.9726,0.9727,0.9182,0.9749,0.972,0.9641,0.8995,0.9702,0.9618,0.9287,0.9096,0.9763,0.9707,0.9682,0.9598,0.9752,0.9686,0.9694,0.9127,0.9744,0.968,0.9689,0.9077,0.9763,0.9707,0.9682,0.9598,0.9752,0.9686,0.9694,0.9127,0.9744,0.968,0.9689,0.9077,0.9763,0.9687,0.9678,0.9548,0.9736,0.9692,0.9671,0.9234,0.9731,0.9655,0.97,0.8999,0.9362,0.9756,0.9761,0.953,0.9756,0.9678,0.9664,0.9532,0.9747,0.9679,0.9662,0.9235,0.9732,0.9669,0.968,0.9024,0.9062,0.9216,0.9361,0.9016,0.9052,0.9233,0.9037,0.9288,0.9448,0.9115,0.9181,0.932,0.9061,0.9122,0.908,0.9123,0.9111,0.91
mammography,0.8774,0.839,0.8853,0.9059,0.8754,0.8983,0.8137,0.8645,0.7554,0.6279,0.5885,0.887,0.8789,,0.8633,0.9004,0.8881,0.8971,0.8939,0.8946,0.8909,0.898,0.8716,0.8983,0.8911,0.8992,0.8962,0.8962,0.8661,0.8821,0.8659,0.8961,0.8908,0.8975,0.8914,0.8975,0.8903,0.8982,0.8783,0.8742,0.8663,0.828,0.8255,0.857,0.8801,0.8762,0.875,0.8658,0.7648,0.8637,0.8518,0.8779,0.8765,0.8683,0.8792,0.8739,0.8714,0.8603,0.8655,0.8502,0.8764,0.8755,0.8666,0.8756,0.8701,0.864,0.8712,0.8648,0.8628,0.8546,0.8646,0.8679,0.8706,0.8697,0.8706,0.8644,0.8544,0.8375,0.8691,0.8705,0.8723,0.8671,0.859,0.8595,0.859,0.8584,0.8779,0.8603,0.8645,0.8682,0.8717,0.871,0.8663,0.8405,0.8678,0.869,0.8584,0.8625,0.8712,0.8665,0.8725,0.8631,0.8648,0.8716,0.8658,0.8471,0.8675,0.8669,0.8679,0.8744,,,,,,,,,,,,,0.862,0.8745,0.8681,0.8668,0.8728,0.8678,0.8753,0.8589,0.8722,0.8769,0.8605,0.8227,0.8678,0.8708,0.8598,0.868,0.8647,0.8708,0.8709,0.8575,0.8682,0.8745,0.8743,0.8543,0.8624,0.8659,0.8664,0.8645,0.8877,0.884,0.8863,0.8896,0.8865,0.8933,0.8791,0.879,0.8855,0.8833,0.8829,0.8835,0.8908,0.8813,0.8919,0.8803,0.8754,0.8829
optdigits,0.8369,0.9737,0.6244,0.6065,0.9458,0.5,0.7056,0.5735,0.8303,0.9539,0.9423,0.9447,0.863,0.8111,0.8926,0.8972,0.9565,0.9571,0.9601,0.9708,0.9392,0.9679,0.9191,0.9401,0.9601,0.9712,0.9672,0.9784,0.6949,0.8586,0.8566,0.8563,0.9387,0.9351,0.9459,0.9521,0.9642,0.9663,0.9071,0.8946,0.9595,0.9363,0.96,0.8163,0.6724,0.6646,0.9263,0.914,0.9651,0.8385,0.8634,0.7313,0.5913,0.6486,0.866,0.8674,0.9457,0.9321,0.9418,0.946,0.7477,0.6758,0.9016,0.9146,0.9245,0.9255,0.9363,0.9418,0.7289,0.8511,0.8966,0.879,0.9118,0.8941,0.928,0.9017,0.6011,0.665,0.8528,0.8612,0.8987,0.9187,0.9379,0.7637,0.5752,0.5837,0.9132,0.9339,0.9477,0.7796,0.8954,0.8902,0.9407,0.6665,0.8946,0.9304,0.8439,0.575,0.8951,0.9077,0.9137,0.9045,0.8631,0.8716,0.8632,0.6729,0.8628,0.8428,0.8754,0.6021,,,,,,,,,0.8628,0.8428,0.8754,,0.8954,0.9026,0.9027,0.8003,0.8748,0.8888,0.8935,0.6638,0.8466,0.8087,0.8927,0.5884,0.7925,0.8798,0.8836,0.8706,0.9043,0.9193,0.9265,0.8509,0.8514,0.8546,0.8839,0.6752,0.853,0.8167,0.9059,0.5809,0.6022,0.6932,0.804,0.5614,0.6005,0.6188,0.6187,0.7215,0.7309,0.5778,0.593,0.5968,0.5618,0.5776,0.5729,0.595,0.5884,0.5809
pima,0.729,0.7052,0.6986,0.5909,0.7411,0.7106,0.6951,0.671,0.4222,0.561,0.646,0.6334,0.6567,,0.696,0.6977,0.691,0.7008,0.6973,0.6977,0.6868,0.6973,0.6946,0.6995,0.7043,0.6964,0.693,0.7,0.7037,0.7008,0.7054,0.7067,0.6956,0.7045,0.7011,0.7017,0.6899,0.6997,0.6943,0.7111,0.7005,0.7042,0.7016,0.7001,0.6989,0.6991,0.7002,0.7174,0.7082,0.703,0.7018,0.7001,0.71,0.7013,0.7019,0.7078,0.697,0.7118,0.6945,0.722,0.6974,0.703,0.7008,0.6897,0.6996,0.7073,0.6885,0.6854,0.7034,0.7069,0.6942,0.6955,0.6921,0.7071,0.6903,0.6889,0.7157,0.7145,0.7018,0.7065,0.682,0.6849,0.7018,0.7038,0.7161,0.7159,0.7047,0.6963,0.7043,0.71,0.7003,0.7051,0.6853,0.7139,0.7101,0.6863,0.703,0.7152,0.6888,0.695,0.7041,0.7012,0.7073,0.6868,0.6831,0.7123,0.6966,0.6905,0.6761,0.7155,0.6888,0.695,0.7041,0.7012,0.7073,0.6868,0.6831,0.7123,0.6966,0.6905,0.6761,0.7155,0.6792,0.6979,0.6931,0.695,0.7013,0.6967,0.6962,0.7137,0.6932,0.6871,0.6921,0.7162,0.7045,0.6967,0.698,0.7017,0.7042,0.6944,0.7031,0.6976,0.6909,0.6897,0.6951,0.6977,0.6976,0.6766,0.7017,0.7147,0.7167,0.7158,0.7161,0.7196,0.7149,0.7163,0.7147,0.7163,0.7164,0.712,0.7176,0.7168,0.7154,0.714,0.7084,0.713,0.7126,0.7176
