dataset,IForest,LOF,OCSVM,ECOD,KNN,PCA,DeepSVDD,GOAD,NeuTraL,ICL,MCM,DRL,Disent,NPTAD,RECLv2-260202-cw0.1-ap0.95-bt0.8
win,0.64,0.74,0.74,0.38,0.74,0.66,0.4,0.42,0.8,0.6,0.78,0.72,0.68,0.7,0.78
gla,0.1556,0.2,0.1111,0.1778,0.1556,0.1111,0.0889,0.3333,0.5778,0.3333,0.2,0.2,0.1111,0.2,0.2889
wbc,0.6952,0.6762,0.6762,0.5524,0.6571,0.6762,0.6476,0.2286,0.0,0.2667,0.5333,0.6571,0.6857,0.6762,0.6667
ion,0.8079,0.8762,0.9222,0.6587,0.9238,0.8016,0.7524,0.8571,0.8683,0.8714,0.8952,0.9,0.8778,0.7984,0.9254
arr,0.6061,0.5485,0.5576,0.5909,0.5636,0.5576,0.5636,0.397,0.4152,0.4939,0.5455,0.5212,0.5515,0.3667,0.5667
bre,0.9715,0.9213,0.964,0.9506,0.9623,0.9615,0.9569,0.7559,0.6921,0.8176,0.9657,0.9423,0.9515,0.9464,0.949
pim,0.6806,0.6716,0.6843,0.5813,0.6993,0.691,0.6567,0.4552,0.5657,0.6179,0.6582,0.6209,0.6619,0.6537,0.6642
opt,0.2107,0.6093,0.0053,0.0267,0.3333,0.0,0.0147,0.1533,0.5293,0.4307,0.3573,0.216,0.1227,0.0093,0.5363
car,0.7364,0.6489,0.7898,0.6705,0.7091,0.8125,0.7182,0.2705,0.3273,0.575,0.758,0.6739,0.8125,0.8068,0.792
ctg,0.6459,0.6292,0.6356,0.6266,0.5888,0.2554,0.6322,0.3202,0.4382,0.5185,0.5451,0.4867,0.6064,0.6489,0.627
thy,0.8043,0.6086,0.7527,0.6215,0.7462,0.714,0.7484,0.7032,0.0237,0.3978,0.6602,0.6237,0.7355,0.6667,0.7484
sa2,0.8648,0.8704,0.9352,0.7211,0.9296,0.8535,0.7803,0.9408,0.062,0.7972,0.7859,0.8704,0.9437,0.9521,0.938
sat,0.6884,0.7558,0.683,0.5398,0.7648,0.6127,0.6222,0.6708,0.6891,0.7546,0.7365,0.8127,0.6431,0.7699,0.7529
pen,0.5346,0.8205,0.5359,0.4372,0.9308,0.45,0.3372,0.0038,0.5705,0.5282,0.8244,0.6308,0.6987,0.6885,0.8333
mam,0.3977,0.38,0.4169,0.5346,0.4008,0.4723,0.3631,0.3308,0.1,0.1582,0.4085,0.5392,0.4138,0.46,0.4477
cmp,0.4281,0.4224,0.4957,0.4888,0.5067,0.4915,0.4621,0.1455,0.4553,0.5263,0.5313,0.4567,0.4224,0.4222,0.5729
shu,0.9623,0.9822,0.9655,0.9171,0.981,0.9584,0.9612,0.974,0.9864,0.9761,0.9854,0.9841,0.9736,0.9782,0.9851
fra,0.3354,0.0,0.4577,0.3806,0.4919,0.3337,0.3301,0.5911,0.7089,0.6037,0.8008,0.4992,0.3654,0.3248,0.6667
nsl,0.8316,0.9417,0.7347,0.5403,0.9616,0.0,0.7179,0.8058,0.8778,0.7307,0.9592,0.9099,0.813,0.7321,0.9736
cen,0.1148,0.1352,0.2129,0.1222,0.2211,0.0,0.205,0.1941,0.1883,0.1639,0.1921,0.1962,0.1311,0.2246,0.2542
AVG_AUC,0.6056,0.6219,0.6138,0.5259,0.6634,0.5206,0.5479,0.4776,0.4938,0.5581,0.6561,0.623,0.6101,0.6013,0.6984
AVG_RANK,7.525,7.8,6.5,10.8,5.275,9.625,10.225,10.75,9.35,9.65,6.125,7.25,7.775,7.675,3.675
