Dataset,Samples,Dims,Anomalies
Abalone,4177,7,2081
Amazon,10000,768,500
Annthyroid,7200,6,534
Arrhythmia,452,274,66
Backdoor,95329,196,2329
Breastw,683,9,239
Campaign,41188,62,4640
Cardio,1831,21,176
Cardiotocography,2114,21,466
Census,299285,500,18568
Comm.and.crime,1994,101,993
Cover,286048,10,2747
Fault,1941,27,673
Fraud,284807,29,492
Glass,214,9,9
Hepatitis,80,19,13
Imgseg,2310,18,990
Ionosphere,351,33,126
Lympho,148,18,6
Mammography,11183,6,260
Mnist,7603,100,700
Musk,3062,166,97
Optdigits,5216,64,150
Parkinson,195,22,147
Pendigits,6870,16,156
Pima,768,8,268
Satellite,6435,36,2036
Satimage-2,5803,36,71
Shuttle,49097,9,3511
SpamBase,4207,57,1679
Speech,3686,400,61
Thyroid,3772,6,93
Vertebral,240,6,30
Vowels,1456,12,50
WDBC,367,30,10
WPBC,198,33,47
Wbc,378,30,21
Wilt,4819,5,257
Wine,129,13,10
Yeast,1484,8,507
