,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.6839,1.561,1.7813,1.6326,6.6589,0.0443,0.1409,0.1163,0.161,0.4625
feature_1,0.1163,0.039,1.5262,1.799,1.2636,1.5894,6.1782,0.0443,0.0727,0.1108,0.0952,0.3231
feature_2,-0.2646,0.0887,1.5991,1.3307,1.8031,1.5149,6.2477,0.0187,0.2447,0.1394,0.067,0.4699
feature_3,0.3067,0.1029,2.1179,2.2875,1.9472,2.1349,8.4875,0.2408,0.0678,0.0761,0.0849,0.4697
feature_4,-0.0048,0.0016,1.1136,1.2192,1.0174,1.1465,4.4968,0.044,0.033,0.0639,0.1349,0.2758
feature_5,-0.0431,0.0144,2.1672,1.6718,2.5404,1.9952,8.3747,0.4076,0.0574,0.1322,0.0536,0.6508
feature_6,-0.7645,0.2564,1.4666,1.3199,1.6429,1.4594,5.8888,0.0203,0.1482,0.1562,0.0868,0.4114
feature_7,-0.7497,0.2514,2.9181,3.6741,2.3797,3.2141,12.1861,0.0595,0.2041,0.0921,0.1914,0.5472
rank_correlation,-0.3333,1.0,0.2381,0.2381,0.1905,0.2857,0.3095,-0.1667,0.6905,0.381,0.3333,0.1667
cosine_similarity,-0.3087,1.0,0.8042,0.8068,0.7914,0.8125,0.8094,0.2941,0.8603,0.796,0.8445,0.7798
