,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.4042,1.4104,1.4017,1.3815,1.396,1.39,1.4253,1.4235,11.2326,0.0241,0.1014,0.0911,0.0466,0.2162,0.0663,0.1366,0.0265,0.7086
feature_1,0.1163,0.039,1.5807,1.5919,1.571,1.5681,1.5788,1.5702,1.594,1.6111,12.6658,0.1423,0.1505,0.245,0.0684,0.0597,0.1089,0.1328,0.0173,0.925
feature_2,-0.2646,0.0887,1.5968,1.5106,1.7557,1.8894,1.6476,1.6666,1.2191,1.0406,12.3264,0.0227,0.2293,0.044,0.1177,0.1244,0.0632,0.1605,0.0442,0.806
feature_3,0.3067,0.1029,1.9404,2.0216,1.7916,1.6606,1.8899,1.8726,2.2914,2.456,15.9242,0.1053,0.0079,0.086,0.1334,0.0476,0.0413,0.0114,0.0955,0.5284
feature_4,-0.0048,0.0016,1.5794,1.5684,1.5821,1.5921,1.5796,1.5867,1.5819,1.5744,12.6446,0.1413,0.0562,0.0852,0.0619,0.0927,0.061,0.2172,0.061,0.7763
feature_5,-0.0431,0.0144,2.3454,2.3191,2.4013,2.435,2.3632,2.3883,2.2112,2.1578,18.6215,0.3261,0.3245,0.042,0.1624,0.1915,0.1357,0.1339,0.0334,1.3494
feature_6,-0.7645,0.2564,1.4686,1.4506,1.4868,1.5546,1.4918,1.4614,1.4222,1.3932,11.7292,0.0494,0.0701,0.0929,0.058,0.0916,0.3622,0.1302,0.0304,0.8847
feature_7,-0.7497,0.2514,2.725,2.7694,2.6469,2.5594,2.6936,2.6962,2.9052,2.9961,21.9919,0.0524,0.035,0.2144,0.2831,0.0521,0.0686,0.0249,0.5426,1.273
rank_correlation,-0.3333,1.0,-0.119,-0.2143,-0.1667,-0.1905,-0.1667,-0.1667,-0.0476,-0.0476,-0.2143,-0.619,-0.381,0.5238,-0.119,-0.2619,0.2857,-0.5952,0.0476,-0.0714
cosine_similarity,-0.3087,1.0,0.7573,0.7591,0.7527,0.7493,0.7565,0.7527,0.763,0.7613,0.7586,0.2972,0.4077,0.7159,0.71,0.6867,0.7342,0.5515,0.648,0.7403
