,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.5079,1.3953,1.4015,0.5825,3.8872,0.0003,0.0042,0.0419,0.009,0.0553
feature_1,-0.0695,0.0201,0.7487,0.5381,0.5552,0.7609,2.603,0.0001,0.0031,0.0284,0.017,0.0486
feature_2,0.2017,0.0583,3.2377,0.5082,0.4751,2.9099,7.1309,0.9729,0.0001,0.0214,0.0007,0.9952
feature_3,0.0765,0.0221,0.1324,0.7183,0.7082,0.2294,1.7884,0.0063,0.0008,0.0039,0.0006,0.0115
feature_4,-0.2021,0.0585,0.6118,0.4517,0.4684,0.631,2.1629,0.0077,0.0002,0.0107,0.0003,0.0188
feature_5,-0.729,0.2109,0.1602,1.4693,1.4789,0.2806,3.3891,0.001,0.0016,0.0088,0.0084,0.0198
feature_6,-0.4608,0.1333,2.7614,1.4167,1.4022,2.5714,8.1517,0.0007,0.5459,0.026,0.1966,0.7692
feature_7,0.623,0.1802,0.2333,3.2499,3.2772,0.5257,7.2861,0.0023,0.015,0.0263,0.0042,0.0477
feature_8,-0.1164,0.0337,0.0712,0.4174,0.4101,0.1293,1.028,0.001,0.0004,0.0085,0.0003,0.0103
feature_9,0.2737,0.0792,0.084,0.2815,0.2665,0.142,0.7741,0.0039,0.0003,0.0025,0.0013,0.0079
feature_10,-0.0112,0.0032,0.0948,0.2075,0.1971,0.1374,0.6368,0.0016,0.0002,0.0453,0.0039,0.0509
feature_11,-0.204,0.059,0.1426,0.3902,0.3864,0.1861,1.1053,0.0004,0.0015,0.0552,0.0003,0.0575
feature_12,-0.1029,0.0298,1.9396,0.606,0.6121,1.802,4.9597,0.0003,0.0018,0.375,0.4611,0.8382
feature_13,-0.1789,0.0518,0.2322,3.0107,3.0366,0.4999,6.7795,0.0003,0.0055,0.1152,0.0099,0.1308
feature_14,-0.1098,0.0318,1.0641,0.3659,0.3622,0.9714,2.7636,0.0007,0.0048,0.0806,0.0755,0.1616
feature_15,-0.049,0.0142,0.5453,0.4863,0.504,0.5762,2.1117,0.0003,0.001,0.0081,0.0019,0.0114
rank_correlation,-0.2971,1.0,0.0059,0.3029,0.2824,0.0176,0.3471,0.35,0.1647,-0.2059,-0.1029,-0.0118
cosine_similarity,-0.2759,1.0,0.4814,0.788,0.7857,0.548,0.7723,0.1748,0.4077,0.2598,0.2639,0.4141
