,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0482,0.0139,1.7773,1.5782,0.8487,1.5219,1.7524,1.668,1.441,1.3248,11.9122,0.0463,0.461,0.0178,0.0027,0.0174,0.1321,0.0091,0.0353,0.7217
feature_1,-0.0695,0.0201,0.3642,0.5797,1.5014,0.4399,0.2901,0.4137,0.3462,0.5564,4.4915,0.0021,0.0382,0.0075,0.0189,0.0106,0.0017,0.0268,0.0258,0.1316
feature_2,0.2017,0.0583,0.6259,0.7086,1.0473,0.7323,0.7676,0.7129,0.8469,1.2437,6.6851,0.0039,0.019,0.0045,0.023,0.0236,0.0069,0.308,0.0066,0.3955
feature_3,0.0765,0.0221,0.3167,0.4463,1.02,0.3367,0.2775,0.3434,0.2702,0.4542,3.465,0.0032,0.0346,0.0102,0.0244,0.0103,0.0014,0.0153,0.0066,0.1059
feature_4,-0.2021,0.0585,0.3389,0.4374,0.848,0.3632,0.2782,0.3515,0.3032,0.3473,3.2677,0.0026,0.0132,0.0178,0.0283,0.0068,0.0071,0.0508,0.009,0.1356
feature_5,-0.729,0.2109,0.3477,0.4183,0.487,0.633,0.3496,0.4209,0.7825,0.4606,3.8996,0.3158,0.058,0.0589,0.0256,0.0145,0.007,0.0259,0.0056,0.5113
feature_6,-0.4608,0.1333,0.6618,0.7435,0.7146,1.0829,0.6499,0.7616,1.2997,0.7487,6.6626,0.5752,0.0258,0.0313,0.0115,0.0067,0.0048,0.0165,0.124,0.796
feature_7,0.623,0.1802,3.0907,2.4228,0.6595,1.5979,3.0973,2.6366,0.9579,1.867,16.3297,0.0094,0.0405,0.0051,0.0067,0.6606,0.0024,0.0147,0.0316,0.7709
feature_8,-0.1164,0.0337,0.4377,0.6179,0.794,1.1369,0.4186,0.6073,1.4822,0.6832,6.1777,0.0075,0.0081,0.0202,0.0628,0.0104,0.7415,0.0208,0.0638,0.9351
feature_9,0.2737,0.0792,0.2826,0.4072,0.8738,0.4119,0.248,0.3289,0.4199,0.416,3.3885,0.0033,0.148,0.0095,0.026,0.0113,0.0076,0.0238,0.0066,0.2362
feature_10,-0.0112,0.0032,0.5206,0.5416,0.7797,0.4897,0.6616,0.5646,0.5346,1.0216,5.114,0.0062,0.0051,0.0275,0.0195,0.0162,0.0102,0.0344,0.0184,0.1374
feature_11,-0.204,0.059,1.6918,1.5984,1.2997,1.6776,1.8118,1.7009,1.7821,1.8752,13.4375,0.0047,0.0048,0.2323,0.1627,0.0516,0.0041,0.0307,0.0698,0.5609
feature_12,-0.1029,0.0298,0.5593,0.6976,1.275,0.5779,0.462,0.5703,0.4766,0.5289,5.1475,0.0027,0.0273,0.019,0.0302,0.0734,0.009,0.0838,0.0251,0.2705
feature_13,-0.1789,0.0518,0.5097,0.578,0.9099,0.4584,0.4341,0.4955,0.3564,0.418,4.1599,0.0021,0.0166,0.0121,0.0391,0.0121,0.0039,0.0618,0.0068,0.1544
feature_14,-0.1098,0.0318,1.9859,1.7962,1.0434,1.7998,1.9735,1.8945,1.7733,1.5922,13.8588,0.0061,0.0106,0.0106,0.0333,0.021,0.0509,0.1825,0.4617,0.7768
feature_15,-0.049,0.0142,1.7618,1.4844,0.8127,1.0888,1.8432,1.5861,0.8362,1.511,10.9243,0.006,0.0243,0.0345,0.0358,0.0319,0.0013,0.0599,0.0941,0.288
rank_correlation,-0.2971,1.0,-0.0971,-0.0706,-0.3206,0.1,-0.0941,0.0176,0.1471,-0.1176,-0.0559,0.2294,0.1412,0.0,0.0471,-0.0618,-0.1118,-0.1471,-0.1853,0.3529
cosine_similarity,-0.2759,1.0,0.6297,0.6587,0.6001,0.6734,0.6217,0.6484,0.6489,0.636,0.6652,0.6511,0.2787,0.4272,0.4452,0.581,0.128,0.368,0.2871,0.743
