,reg,reg_abs,head1,head2,head_sum
feature_0,0.048190083,0.013940205,0.0062732236,0.015912274,0.022185497
feature_1,-0.06949481,0.02010314,0.0045155054,0.0104302,0.014945705
feature_2,0.20169538,0.05834551,0.012642732,0.0088301785,0.02147291
feature_3,0.07651357,0.022133494,0.024834417,0.0116397925,0.03647421
feature_4,-0.20213859,0.058473717,0.021509103,0.0070616985,0.028570801
feature_5,-0.72904414,0.21089453,0.0026225338,0.0108511625,0.013473696
feature_6,-0.46078756,0.13329451,0.06902354,0.011247681,0.08027122
feature_7,0.6229811,0.1802131,0.012688422,0.010938066,0.023626488
feature_8,-0.116437785,0.033682585,0.0086218305,0.015937688,0.024559518
feature_9,0.27374187,0.07918679,0.009521181,0.0057831407,0.015304321
feature_10,-0.011216885,0.0032447688,0.006804084,0.009710558,0.016514642
feature_11,-0.20401794,0.059017368,0.02810501,0.02327983,0.05138484
feature_12,-0.10294094,0.029778281,0.004756373,0.010159414,0.014915787
feature_13,-0.17892706,0.0517592,0.0066048414,0.005879788,0.01248463
feature_14,-0.109832354,0.031771798,0.018185198,0.010568171,0.02875337
feature_15,-0.04895336,0.014161003,0.007997929,0.0074273637,0.015425293
cosine_similarity,-0.27585357,1.0000001,0.61862165,0.6682702,0.6841915
