,reg,reg_abs,head1,head2,head_sum
feature_0,0.0658,0.0424,0.0288,0.0781,0.1069
feature_1,-0.2392,0.1543,0.0246,0.083,0.1076
feature_2,-0.0125,0.0081,0.0297,0.0672,0.0969
feature_3,0.2002,0.1291,0.0829,0.0678,0.1507
feature_4,-0.0344,0.0222,0.0324,0.0102,0.0426
feature_5,0.1284,0.0828,0.0252,0.0804,0.1055
feature_6,-0.1681,0.1084,0.0293,0.025,0.0543
feature_7,-0.1353,0.0873,0.0369,0.0242,0.0611
feature_8,0.0551,0.0355,0.039,0.0709,0.1099
feature_9,0.1204,0.0776,0.0216,0.0815,0.1031
feature_10,0.3912,0.2523,0.0373,0.0699,0.1072
cosine_similarity,0.3753,1.0,0.7837,0.7888,0.8197
