,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.3621,1.3124,1.2715,1.4037,5.3496,0.0912,0.0472,0.0822,0.0539,0.2745
feature_1,-0.2392,0.1543,1.265,1.2263,1.1956,1.2953,4.9822,0.0742,0.1012,0.0746,0.0587,0.3087
feature_2,-0.0125,0.0081,1.1188,1.1714,1.2147,1.0743,4.5792,0.0943,0.0972,0.0698,0.0494,0.3107
feature_3,0.2002,0.1291,1.2154,1.2289,1.2351,1.2029,4.8824,0.0765,0.0493,0.1083,0.1129,0.347
feature_4,-0.0344,0.0222,1.8757,1.711,1.5751,2.0188,7.1806,0.0827,0.0477,0.0555,0.3451,0.531
feature_5,0.1284,0.0828,1.2105,1.2325,1.2412,1.1962,4.8805,0.1146,0.0948,0.0586,0.055,0.3231
feature_6,-0.1681,0.1084,1.3845,1.4454,1.5269,1.3133,5.67,0.1001,0.0724,0.1237,0.0428,0.339
feature_7,-0.1353,0.0873,1.4393,1.3831,1.3196,1.4898,5.6318,0.0873,0.0877,0.0835,0.0688,0.3273
feature_8,0.0551,0.0355,1.2259,1.4034,1.5331,1.0986,5.261,0.0502,0.097,0.1243,0.0413,0.3129
feature_9,0.1204,0.0776,1.176,1.2114,1.2515,1.1393,4.7782,0.0737,0.0681,0.0713,0.0543,0.2674
feature_10,0.3912,0.2523,1.5107,1.4383,1.3782,1.572,5.8992,0.0783,0.1209,0.0831,0.0704,0.3526
rank_correlation,0.1364,1.0,0.2818,0.0818,-0.2091,0.3455,0.2273,-0.1273,0.3364,0.3818,0.3636,0.2545
cosine_similarity,0.3753,1.0,0.8018,0.7979,0.793,0.8016,0.8002,0.783,0.8504,0.799,0.4854,0.7796
