,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0506,0.0603,1.8927,1.683,1.8789,1.8442,7.2988,0.0931,0.0493,0.1759,0.0606,0.3789
feature_1,0.0371,0.0442,2.4256,1.5258,2.4735,2.058,8.4829,0.0492,0.2142,0.2349,0.0258,0.524
feature_2,-0.0261,0.0312,1.6675,1.7483,1.6741,1.6697,6.7596,0.1163,0.1014,0.0487,0.2102,0.4766
feature_3,0.0661,0.0788,1.7339,2.3954,1.7486,2.0534,7.9313,0.0448,0.1021,0.0287,0.0947,0.2704
feature_4,-0.1921,0.2291,1.9391,2.1553,1.9365,2.0024,8.0332,0.0308,0.1884,0.1138,0.2571,0.5902
feature_5,0.217,0.2588,1.4544,1.5078,1.4523,1.4707,5.8853,0.0889,0.1099,0.1156,0.0647,0.3791
feature_6,-0.0866,0.1032,1.2263,0.9476,1.2225,1.1133,4.5097,0.0574,0.0921,0.0588,0.1015,0.3098
feature_7,0.163,0.1944,1.4301,1.4984,1.405,1.4508,5.7843,0.1495,0.0638,0.0988,0.1136,0.4257
rank_correlation,0.1905,1.0,-0.3333,-0.2619,-0.3333,-0.381,-0.3095,-0.1905,0.119,0.0714,0.2381,-0.0238
cosine_similarity,0.2501,1.0,0.7745,0.8091,0.7702,0.7909,0.7901,0.7614,0.7671,0.695,0.769,0.8299
