,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0347,0.011,0.5653,0.5337,0.5313,0.5078,2.1381,0.0572,0.0326,0.036,0.0516,0.1775
feature_1,-0.1156,0.0367,0.5022,0.4872,0.4956,0.4981,1.983,0.0367,0.0282,0.0255,0.0588,0.1492
feature_2,0.011,0.0035,1.0717,1.1997,0.8912,1.0097,4.1722,0.0353,0.1232,0.025,0.0241,0.2076
feature_3,0.0898,0.0286,0.6093,0.6433,0.6274,0.6528,2.5329,0.0166,0.0225,0.0387,0.0322,0.1101
feature_4,-0.0107,0.0034,0.6445,0.6466,0.6787,0.651,2.6209,0.0338,0.0517,0.0352,0.0308,0.1514
feature_5,0.0051,0.0016,0.6533,0.6521,0.6375,0.6438,2.5866,0.0317,0.0227,0.0495,0.0599,0.1637
feature_6,-0.086,0.0273,0.7099,0.6532,0.7038,0.6533,2.7202,0.0261,0.053,0.0222,0.0611,0.1624
feature_7,0.0115,0.0037,0.5968,0.6015,0.6369,0.6343,2.4695,0.0558,0.0276,0.0251,0.0379,0.1464
feature_8,0.0341,0.0109,0.7786,0.715,0.7239,0.7335,2.951,0.0729,0.0937,0.0142,0.0501,0.2309
feature_9,0.0,0.0,1.0529,1.0855,1.4103,1.3383,4.887,0.0514,0.0695,0.0318,0.0298,0.1825
feature_10,-0.0109,0.0035,1.767,1.8039,1.4529,1.6028,6.6265,0.0373,0.031,0.2629,0.0886,0.4199
feature_11,0.1358,0.0432,0.8358,0.8214,0.7941,0.7819,3.2332,0.0331,0.0721,0.0318,0.0886,0.2256
feature_12,-0.6745,0.2145,0.9322,0.9857,0.8996,0.922,3.7395,0.0552,0.0672,0.0521,0.0573,0.2319
feature_13,-0.7633,0.2427,0.556,0.5575,0.5945,0.5846,2.2927,0.0319,0.0213,0.0345,0.0323,0.12
feature_14,0.0057,0.0018,0.6414,0.6339,0.742,0.7386,2.7559,0.0334,0.0429,0.0342,0.0435,0.154
feature_15,0.0042,0.0013,0.7632,0.7665,0.7587,0.7018,2.9902,0.0387,0.0341,0.1122,0.0339,0.2189
feature_16,0.1287,0.0409,0.6394,0.5936,0.6309,0.6118,2.4757,0.058,0.0356,0.0332,0.0606,0.1874
feature_17,-0.0899,0.0286,0.6356,0.602,0.6894,0.645,2.572,0.035,0.0402,0.0139,0.0363,0.1254
feature_18,0.881,0.2801,0.6627,0.6986,0.6957,0.7015,2.7585,0.0427,0.0696,0.0299,0.0539,0.196
feature_19,-0.0523,0.0166,0.6845,0.6637,0.7615,0.742,2.8517,0.1113,0.0303,0.0221,0.0426,0.2064
rank_correlation,-0.0015,1.0,-0.3038,-0.2842,-0.3113,-0.2872,-0.3158,-0.0045,0.0,-0.2241,0.3218,-0.0857
cosine_similarity,-0.1308,1.0,0.4401,0.4451,0.4508,0.4477,0.447,0.4476,0.4714,0.2605,0.4937,0.462
