,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0963,0.0057,1.1862,1.1402,1.2409,1.3127,4.88,0.1364,0.035,0.054,0.1029,0.3284
feature_1,-2.0724,0.1219,1.4024,1.2842,1.4025,1.5478,5.6369,0.0835,0.051,0.1744,0.0416,0.3506
feature_2,-3.8028,0.2236,2.9207,3.0667,2.7939,2.3942,11.1754,0.3112,0.0787,0.154,0.1151,0.6591
feature_3,-1.4379,0.0846,1.2833,1.328,1.3321,1.3768,5.3203,0.1182,0.1117,0.0467,0.0544,0.331
feature_4,-2.2115,0.13,1.5846,1.5958,1.4947,1.4785,6.1537,0.0383,0.2246,0.0688,0.0615,0.3933
feature_5,-1.7933,0.1054,2.0196,2.1217,1.9546,1.7006,7.7965,0.0648,0.0585,0.177,0.1891,0.4895
feature_6,-4.2773,0.2515,1.7448,1.6362,1.8664,2.3096,7.557,0.1093,0.0604,0.0318,0.2764,0.4779
feature_7,-1.3149,0.0773,1.9406,1.8693,2.0054,2.1049,7.9201,0.05,0.1962,0.1284,0.1018,0.4764
rank_correlation,-1.0,1.0,0.4762,0.4286,0.4286,0.6429,0.4286,0.0238,0.1905,-0.0476,0.3333,0.619
cosine_similarity,-1.0,1.0,0.9116,0.9056,0.9135,0.9252,0.9169,0.8213,0.7003,0.7633,0.8729,0.9148
