,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0,0.0,0.3985,0.3925,0.3845,0.4154,1.5909,0.0119,0.011,0.0076,0.0419,0.0725
feature_1,-0.0979,0.0109,0.4168,0.4356,0.4186,0.418,1.6889,0.0214,0.0178,0.0298,0.0399,0.1089
feature_2,-0.1469,0.0163,0.6137,0.5161,0.6601,0.6563,2.4462,0.0328,0.0799,0.0972,0.0265,0.2364
feature_3,0.1688,0.0188,0.5692,0.4151,0.6119,0.5612,2.1574,0.0993,0.0174,0.0392,0.0542,0.2101
feature_4,-0.2128,0.0237,0.6582,0.5707,0.6681,0.6258,2.5228,0.1233,0.0408,0.0644,0.0324,0.2609
feature_5,0.1949,0.0217,0.5261,0.6922,0.5183,0.533,2.2697,0.0308,0.0278,0.0814,0.0233,0.1632
feature_6,0.3121,0.0347,0.6651,0.7086,0.6278,0.6515,2.653,0.0566,0.0227,0.095,0.0478,0.2221
feature_7,-0.2068,0.023,0.3791,0.3994,0.3779,0.3889,1.5452,0.0142,0.0134,0.0136,0.0218,0.0631
feature_8,0.0281,0.0031,0.3149,0.3338,0.2984,0.3099,1.2569,0.0285,0.0113,0.0213,0.0175,0.0786
feature_9,0.1764,0.0196,0.3698,0.3566,0.3653,0.3617,1.4533,0.0201,0.0277,0.012,0.0148,0.0745
feature_10,-0.2932,0.0326,0.649,0.4297,0.6942,0.6227,2.3956,0.0379,0.0555,0.0198,0.0425,0.1557
feature_11,-0.1413,0.0157,0.4053,0.3685,0.4519,0.4178,1.6435,0.0292,0.0265,0.0275,0.0324,0.1156
feature_12,-0.3613,0.0402,0.4262,0.4863,0.4037,0.4104,1.7266,0.0172,0.0185,0.0113,0.0325,0.0795
feature_13,0.0614,0.0068,0.4282,0.4753,0.4687,0.4622,1.8344,0.009,0.0196,0.0252,0.014,0.0678
feature_14,0.0201,0.0022,0.3456,0.4201,0.3124,0.3427,1.4208,0.0169,0.013,0.0294,0.0214,0.0806
feature_15,0.1284,0.0143,0.5203,0.5989,0.4694,0.4903,2.0788,0.0123,0.0225,0.0146,0.0319,0.0813
feature_16,0.1054,0.0117,0.602,0.5635,0.5885,0.6117,2.3656,0.0205,0.0539,0.0183,0.0228,0.1155
feature_17,-0.4149,0.0461,0.4692,0.548,0.3928,0.4504,1.8604,0.0188,0.0348,0.058,0.0154,0.1269
feature_18,0.1933,0.0215,0.5064,0.4897,0.548,0.5181,2.0622,0.0491,0.0384,0.019,0.0144,0.1209
feature_19,-0.6361,0.0707,0.4929,0.5666,0.4263,0.4756,1.9614,0.0241,0.0298,0.0207,0.023,0.0977
feature_20,0.3032,0.0337,0.5369,0.5079,0.5083,0.5243,2.0774,0.0315,0.0328,0.0317,0.0435,0.1396
feature_21,-0.4849,0.0539,0.4785,0.5235,0.4142,0.4712,1.8873,0.0112,0.0288,0.0095,0.0121,0.0615
feature_22,-0.4904,0.0545,0.4645,0.553,0.4548,0.4606,1.9328,0.0201,0.0354,0.0205,0.0234,0.0994
feature_23,0.4181,0.0465,0.4673,0.4719,0.431,0.4507,1.8209,0.0165,0.0105,0.0184,0.0351,0.0804
feature_24,-0.4768,0.053,0.4187,0.4061,0.4341,0.434,1.693,0.0263,0.0222,0.0171,0.0222,0.0877
feature_25,0.2652,0.0295,0.4944,0.5953,0.4614,0.4917,2.0428,0.0103,0.0207,0.0197,0.0146,0.0654
feature_26,0.8055,0.0895,0.3896,0.4592,0.3778,0.3849,1.6116,0.0179,0.0349,0.0123,0.0213,0.0865
feature_27,0.0981,0.0109,0.3799,0.3858,0.3973,0.3911,1.5541,0.0222,0.018,0.027,0.025,0.0923
feature_28,0.4331,0.0482,0.7292,0.583,0.8447,0.7434,2.9003,0.049,0.133,0.0296,0.0221,0.2337
feature_29,0.4906,0.0545,0.4123,0.3781,0.4758,0.4329,1.6991,0.0306,0.0156,0.0141,0.04,0.1002
feature_30,0.5353,0.0595,0.519,0.5438,0.4754,0.5327,2.0709,0.0277,0.0162,0.0493,0.0471,0.1403
feature_31,-0.2935,0.0326,0.499,0.4799,0.5262,0.4998,2.0049,0.0149,0.0286,0.0173,0.0483,0.1091
rank_correlation,0.0312,1.0,0.2221,0.3182,0.1331,0.1906,0.2306,0.1001,0.2823,-0.1144,0.0685,0.14
cosine_similarity,0.0686,1.0,0.8235,0.8377,0.8084,0.8201,0.8255,0.621,0.7086,0.6183,0.763,0.7485
