,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1215,0.0169,0.3308,0.2657,0.3277,0.337,1.2613,0.0085,0.0158,0.0167,0.0171,0.0581
feature_1,0.0125,0.0017,0.3925,0.5569,0.353,0.4861,1.7886,0.0194,0.1003,0.0242,0.021,0.1649
feature_2,-0.3214,0.0446,0.2949,0.2468,0.2887,0.3906,1.221,0.0063,0.0151,0.0116,0.0187,0.0518
feature_3,-0.0167,0.0023,0.4589,0.511,0.4356,0.4758,1.8813,0.0132,0.0217,0.0402,0.0369,0.112
feature_4,0.1657,0.023,0.3836,0.3829,0.3691,0.4266,1.5623,0.0081,0.0208,0.0249,0.0294,0.0832
feature_5,-0.2017,0.028,0.2683,0.2708,0.2591,0.5525,1.3507,0.0127,0.0154,0.0087,0.0124,0.0492
feature_6,0.5885,0.0817,0.8156,0.8737,0.8814,0.6906,3.2613,0.2625,0.0157,0.0475,0.014,0.3397
feature_7,-0.1004,0.0139,0.4434,0.343,0.4391,0.3831,1.6087,0.0093,0.0388,0.0077,0.0333,0.0891
feature_8,0.0865,0.012,0.6313,0.56,0.6647,0.4843,2.3402,0.0155,0.0077,0.0806,0.0264,0.1302
feature_9,-0.0053,0.0007,0.4293,0.3424,0.4345,0.3559,1.5621,0.0154,0.0148,0.0301,0.0299,0.0902
feature_10,0.284,0.0394,0.2771,0.2506,0.2731,0.2559,1.0567,0.0132,0.019,0.0141,0.0252,0.0714
feature_11,0.1041,0.0144,0.3119,0.2458,0.3078,0.3404,1.2059,0.0093,0.0151,0.008,0.0209,0.0533
feature_12,0.0627,0.0087,0.5886,0.4379,0.591,0.4924,2.1098,0.0213,0.0352,0.0184,0.0303,0.1052
feature_13,-1.6842,0.2337,0.3872,0.3243,0.4086,0.3151,1.4352,0.0102,0.029,0.0091,0.0129,0.0612
feature_14,0.8667,0.1203,0.4895,0.4278,0.5042,0.5242,1.9457,0.011,0.0189,0.0219,0.0377,0.0895
feature_15,0.2459,0.0341,0.368,0.4036,0.3524,0.3827,1.5067,0.0284,0.0214,0.0358,0.0111,0.0967
feature_16,0.2459,0.0341,0.987,1.0343,1.0505,0.8573,3.9291,0.1816,0.0237,0.1315,0.017,0.3537
feature_17,-0.1525,0.0212,0.5519,0.5085,0.5444,0.5139,2.1187,0.0169,0.0244,0.0419,0.0392,0.1224
feature_18,-0.1456,0.0202,0.3332,0.3264,0.3314,0.3565,1.3475,0.0155,0.023,0.0175,0.0288,0.0847
feature_19,-0.3186,0.0442,0.4234,0.33,0.4127,0.351,1.5171,0.0127,0.0122,0.0121,0.0374,0.0744
feature_20,0.3019,0.0419,0.4221,0.3838,0.4377,0.3642,1.6079,0.0098,0.0393,0.0205,0.0129,0.0825
feature_21,-0.08,0.0111,0.4025,0.4121,0.4201,0.3829,1.6175,0.0173,0.0399,0.0101,0.0227,0.09
feature_22,0.3531,0.049,0.4447,0.456,0.4492,0.431,1.7809,0.0444,0.0173,0.0192,0.0403,0.1211
feature_23,-0.4337,0.0602,0.3629,0.3677,0.3601,0.4152,1.5058,0.0088,0.0254,0.034,0.0144,0.0826
feature_24,-0.0289,0.004,0.4056,0.3292,0.4066,0.394,1.5355,0.011,0.0158,0.0153,0.027,0.0691
feature_25,-0.0202,0.0028,0.477,0.7449,0.3891,0.6946,2.3056,0.0104,0.1143,0.0234,0.1055,0.2535
feature_26,0.0031,0.0004,0.6561,0.6829,0.6997,0.5506,2.5893,0.0429,0.0206,0.108,0.0137,0.1852
feature_27,-0.0197,0.0027,0.2031,0.1957,0.1938,0.2788,0.8714,0.0031,0.0102,0.0156,0.0154,0.0443
feature_28,-0.0162,0.0022,0.6249,0.6399,0.6601,0.5901,2.515,0.0085,0.0604,0.0209,0.0228,0.1126
feature_29,-0.0031,0.0004,0.4533,0.4039,0.4475,0.4079,1.7126,0.015,0.0243,0.0197,0.0486,0.1076
feature_30,-0.0272,0.0038,0.387,0.4182,0.3905,0.4362,1.6319,0.0461,0.0165,0.025,0.0333,0.121
feature_31,-0.0574,0.008,0.5661,0.9287,0.4602,0.8256,2.7806,0.043,0.0672,0.0448,0.0427,0.1977
feature_32,-0.1305,0.0181,0.6356,0.6448,0.6378,0.6053,2.5234,0.026,0.0469,0.0136,0.033,0.1195
rank_correlation,0.0531,1.0,-0.1775,-0.2186,-0.0809,-0.1387,-0.2309,-0.0735,-0.1648,-0.1761,-0.2714,-0.2794
cosine_similarity,-0.3597,1.0,0.5322,0.4861,0.5408,0.512,0.5216,0.3838,0.3526,0.3473,0.387,0.4548
