,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.2097,0.0883,0.7101,0.7795,0.742,0.7359,2.9674,0.0473,0.0318,0.0854,0.0198,0.1843
feature_1,-0.2154,0.0907,1.8094,2.1599,1.9296,1.941,7.84,0.0613,0.2584,0.0282,0.2632,0.6111
feature_2,0.0369,0.0155,1.935,1.5019,1.7528,1.4337,6.6234,0.0187,0.0201,0.336,0.0767,0.4515
feature_3,0.5408,0.2278,0.7025,1.1886,0.8974,1.2444,4.0329,0.1883,0.0106,0.0148,0.0103,0.2239
feature_4,0.116,0.0488,1.1703,1.3938,1.2588,1.4969,5.3197,0.0296,0.0497,0.0292,0.2176,0.3261
feature_5,0.1173,0.0494,1.227,0.93,1.0849,0.8166,4.0585,0.0622,0.0872,0.022,0.0248,0.1962
feature_6,-0.197,0.083,0.5869,0.7216,0.6674,0.7793,2.7552,0.0218,0.0755,0.0237,0.0716,0.1925
feature_7,-0.078,0.0329,1.2397,1.2855,1.2415,1.3858,5.1524,0.0344,0.0427,0.1596,0.0191,0.2558
feature_8,-0.2164,0.0911,2.1621,2.2114,2.2135,2.3389,8.9259,0.0431,0.3323,0.0405,0.1897,0.6057
feature_9,-0.262,0.1104,0.6069,0.4669,0.5378,0.4504,2.062,0.0367,0.0125,0.0626,0.0131,0.1249
feature_10,0.151,0.0636,2.0851,1.578,1.8121,1.4881,6.9634,0.2537,0.0495,0.0569,0.0387,0.3988
feature_11,-0.2104,0.0886,0.6825,0.5854,0.6429,0.6198,2.5306,0.0797,0.005,0.0515,0.0067,0.1429
feature_12,0.0232,0.0098,0.288,0.2738,0.2871,0.2813,1.1302,0.0387,0.0106,0.0093,0.0091,0.0677
rank_correlation,-0.2418,1.0,-0.0275,0.0714,0.0275,0.0659,0.0275,0.456,0.0659,-0.1099,-0.0604,0.0385
cosine_similarity,0.2146,1.0,0.6755,0.75,0.7109,0.7558,0.7263,0.7763,0.524,0.3509,0.5049,0.7026
