,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0279,0.0279,0.1434,0.1434,0.0531,0.0531
feature_1,0.0063,0.0063,0.1347,0.1347,0.0514,0.0514
feature_2,0.0083,0.0083,0.1505,0.1505,0.0575,0.0575
feature_3,0.0087,0.0087,0.1335,0.1335,0.0494,0.0494
feature_4,0.0149,0.0149,0.1523,0.1523,0.0563,0.0563
feature_5,0.1633,0.1633,0.2017,0.2017,0.0779,0.0779
feature_6,0.0037,0.0037,0.1458,0.1458,0.055,0.055
feature_7,0.1974,0.1974,0.1331,0.1331,0.0514,0.0514
feature_8,0.0046,0.0046,0.2345,0.2345,0.0904,0.0904
feature_9,0.5009,0.5009,0.1627,0.1627,0.0589,0.0589
feature_10,0.0047,0.0047,0.1399,0.1399,0.0518,0.0518
feature_11,0.0129,0.0129,0.1399,0.1399,0.0528,0.0528
feature_12,0.0118,0.0118,0.1132,0.1132,0.0424,0.0424
feature_13,0.0046,0.0046,0.1771,0.1771,0.0652,0.0652
feature_14,0.0027,0.0027,0.1777,0.1777,0.0666,0.0666
feature_15,0.0272,0.0272,0.1697,0.1697,0.0645,0.0645
rank_correlation,1.0,1.0,-0.1912,-0.1912,-0.1676,-0.1676
cosine_similarity,1.0,1.0,0.4484,0.4484,0.4432,0.4432
