,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.7556,0.7351,0.7303,0.7207,2.9417,0.0286,0.022,0.0297,0.0854,0.1657
feature_1,-0.0695,0.0201,0.8583,0.8628,0.885,0.853,3.4591,0.0466,0.0435,0.0484,0.0362,0.1748
feature_2,0.2017,0.0583,1.1704,1.2141,1.1988,1.2648,4.8481,0.1081,0.0423,0.0536,0.0872,0.2912
feature_3,0.0765,0.0221,1.0403,1.033,1.05,1.0188,4.1421,0.0412,0.0475,0.0689,0.0842,0.2418
feature_4,-0.2021,0.0585,0.8658,0.899,0.863,0.9572,3.5851,0.0519,0.0644,0.0747,0.0537,0.2447
feature_5,-0.729,0.2109,0.8055,0.8083,0.846,0.7846,3.2445,0.0211,0.0422,0.0409,0.0468,0.1511
feature_6,-0.4608,0.1333,0.701,0.7104,0.6632,0.7483,2.823,0.0242,0.2331,0.0293,0.0325,0.319
feature_7,0.623,0.1802,0.8781,0.8714,0.9108,0.8391,3.4994,0.0298,0.0548,0.0438,0.0346,0.1631
feature_8,-0.1164,0.0337,0.9414,0.9583,0.949,0.9843,3.8329,0.0412,0.0399,0.0952,0.0691,0.2455
feature_9,0.2737,0.0792,0.8842,0.8735,0.8663,0.864,3.4879,0.0287,0.0586,0.0779,0.0447,0.2099
feature_10,-0.0112,0.0032,0.9471,0.9396,0.9616,0.9174,3.7658,0.0328,0.0349,0.0661,0.0598,0.1935
feature_11,-0.204,0.059,0.8016,0.8204,0.8029,0.8585,3.2833,0.0581,0.0511,0.0711,0.0441,0.2243
feature_12,-0.1029,0.0298,1.4272,1.3676,1.4368,1.2615,5.4932,0.0746,0.0259,0.0433,0.1124,0.2561
feature_13,-0.1789,0.0518,0.8641,0.8507,0.8902,0.8169,3.4219,0.0384,0.0503,0.0358,0.0313,0.1559
feature_14,-0.1098,0.0318,1.1007,1.1291,1.1392,1.1408,4.5098,0.0407,0.0746,0.0583,0.0373,0.2109
feature_15,-0.049,0.0142,0.9493,0.9275,0.8861,0.9387,3.7017,0.0401,0.0687,0.0887,0.0637,0.2612
rank_correlation,-0.2971,1.0,-0.3353,-0.35,-0.3324,-0.2529,-0.3441,-0.2235,0.4029,-0.1441,-0.4559,-0.0794
cosine_similarity,-0.2759,1.0,0.6706,0.6736,0.6748,0.6743,0.6736,0.5635,0.7106,0.6046,0.5623,0.6832
