,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.1215,0.0169,0.3671,0.3637,0.3851,0.3718,0.356,0.361,0.3526,0.3797,2.937,0.0393,0.0195,0.0436,0.0041,0.0168,0.0358,0.0195,0.0178,0.1963
feature_1,0.0125,0.0017,0.7857,0.9313,0.7742,0.6408,1.0856,0.6222,0.9504,0.7981,6.5884,0.0286,0.0234,0.0102,0.4906,0.0282,0.0161,0.0135,0.0293,0.6399
feature_2,-0.3214,0.0446,0.3368,0.3715,0.3584,0.3607,0.3566,0.3352,0.3683,0.4004,2.8878,0.044,0.0244,0.0101,0.0127,0.0117,0.0257,0.0079,0.0324,0.1689
feature_3,-0.0167,0.0023,0.4071,0.4037,0.4757,0.4211,0.3905,0.3682,0.3681,0.4361,3.2705,0.0167,0.0104,0.0116,0.0366,0.0381,0.0203,0.0139,0.0205,0.1682
feature_4,0.1657,0.023,0.4689,0.4497,0.5103,0.4743,0.4393,0.4486,0.4226,0.4696,3.6833,0.0329,0.0415,0.0359,0.0098,0.0239,0.0613,0.0101,0.0447,0.2601
feature_5,-0.2017,0.028,0.3577,0.3148,0.3836,0.3755,0.2914,0.365,0.2942,0.3336,2.7158,0.0345,0.0264,0.0036,0.0084,0.0194,0.0221,0.0187,0.0083,0.1415
feature_6,0.5885,0.0817,0.6777,0.4339,0.4615,0.7222,0.3519,0.9406,0.5094,0.4054,4.5025,0.0176,0.0257,0.0092,0.0153,0.0208,0.0208,0.0121,0.0308,0.1524
feature_7,-0.1004,0.0139,0.4496,0.3915,0.5218,0.4732,0.3561,0.4298,0.3412,0.4338,3.397,0.0402,0.028,0.0064,0.0066,0.0191,0.0163,0.0088,0.0354,0.1609
feature_8,0.0865,0.012,0.7241,0.7981,0.7014,0.6395,0.8869,0.6428,0.8163,0.7156,5.9247,0.0204,0.0521,0.0397,0.0085,0.0382,0.1371,0.0303,0.038,0.3643
feature_9,-0.0053,0.0007,0.4039,0.3712,0.3558,0.4044,0.3647,0.4479,0.3909,0.3577,3.0966,0.0109,0.041,0.0275,0.0081,0.0251,0.0236,0.0285,0.0184,0.1832
feature_10,0.284,0.0394,0.4199,0.3411,0.3816,0.4465,0.3087,0.4957,0.3498,0.3489,3.0924,0.0097,0.02,0.0117,0.0174,0.0297,0.0261,0.0093,0.0139,0.1378
feature_11,0.1041,0.0144,0.4266,0.4792,0.4471,0.4333,0.4807,0.403,0.4793,0.4942,3.6433,0.0252,0.0567,0.0097,0.0064,0.0509,0.0157,0.034,0.0338,0.2323
feature_12,0.0627,0.0087,0.5346,0.5261,0.486,0.5173,0.5329,0.5551,0.5445,0.4982,4.1948,0.0699,0.0253,0.1083,0.009,0.0179,0.0122,0.0171,0.0278,0.2875
feature_13,-1.6842,0.2337,0.2928,0.2861,0.2761,0.3052,0.2755,0.3212,0.2958,0.2894,2.3421,0.0265,0.0168,0.0229,0.007,0.0142,0.0209,0.0094,0.0276,0.1453
feature_14,0.8667,0.1203,0.5514,0.5956,0.5561,0.6027,0.5528,0.5847,0.6105,0.651,4.7049,0.0159,0.0341,0.0739,0.0133,0.0588,0.0231,0.0219,0.0644,0.3054
feature_15,0.2459,0.0341,0.4042,0.3751,0.4311,0.4111,0.3698,0.3961,0.3576,0.3886,3.1336,0.0613,0.0262,0.0318,0.0192,0.0118,0.0318,0.0088,0.0154,0.2063
feature_16,0.2459,0.0341,0.4385,0.3882,0.3811,0.465,0.3559,0.5174,0.4113,0.3949,3.3522,0.017,0.0221,0.0375,0.016,0.0254,0.03,0.0238,0.0099,0.1817
feature_17,-0.1525,0.0212,0.4613,0.5056,0.4834,0.5068,0.4817,0.4796,0.5104,0.5478,3.9764,0.0056,0.0148,0.0259,0.0236,0.0419,0.0329,0.0104,0.0776,0.2328
