,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.7322,0.2455,2.0359,2.041,1.9864,2.0196,2.0098,1.9863,2.0101,2.0628,16.1519,0.1649,0.1711,0.049,0.1514,0.1293,0.1623,0.0991,0.0941,1.0211
feature_1,0.1163,0.039,1.7575,1.7573,1.7242,1.7396,1.7334,1.7227,1.738,1.7663,13.9388,0.1427,0.1016,0.1162,0.0255,0.1723,0.0579,0.1074,0.1385,0.862
feature_2,-0.2646,0.0887,1.6186,1.6199,1.6054,1.6144,1.6158,1.6139,1.6106,1.6251,12.9238,0.132,0.0484,0.0155,0.0587,0.1533,0.1578,0.1489,0.0948,0.8094
feature_3,0.3067,0.1029,2.2824,2.2724,2.3221,2.2931,2.3028,2.3063,2.3025,2.2518,18.3334,0.0815,0.0484,0.2122,0.5356,0.125,0.065,0.0453,0.0439,1.1568
feature_4,-0.0048,0.0016,1.6789,1.6664,1.7116,1.6845,1.6981,1.6962,1.6937,1.6481,13.4775,0.1058,0.1691,0.0744,0.0436,0.0861,0.0363,0.1316,0.1976,0.8445
feature_5,-0.0431,0.0144,1.0455,1.0408,1.0677,1.0516,1.0613,1.0665,1.0569,1.0292,8.4195,0.119,0.0147,0.0137,0.0302,0.1684,0.0989,0.0572,0.0326,0.5347
feature_6,-0.7645,0.2564,2.0648,2.053,2.057,2.0541,2.0627,2.0386,2.0561,2.0467,16.433,0.1401,0.3251,0.1406,0.0249,0.0394,0.0379,0.1687,0.1437,1.0205
feature_7,-0.7497,0.2514,1.8568,1.9018,1.8053,1.866,1.8311,1.868,1.8409,1.9492,14.9192,0.046,0.0887,0.3393,0.1058,0.0489,0.0414,0.162,0.0886,0.9209
rank_correlation,-0.3333,1.0,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.6667,0.7143,0.0714,0.4286,0.5714,0.1429,-0.5952,0.0238,0.4524,-0.0714,0.6667
cosine_similarity,-0.3087,1.0,0.8295,0.8323,0.8225,0.8287,0.826,0.826,0.8264,0.8365,0.8286,0.7327,0.8162,0.7854,0.5031,0.5551,0.6822,0.8259,0.6752,0.8271
