,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,-0.0547,0.0219,0.7744,0.8107,0.8195,0.7287,0.9031,0.8481,0.8347,0.8317,6.5509,0.0817,0.0262,0.0677,0.0486,0.0338,0.0448,0.0484,0.0195,0.3706
feature_1,0.0162,0.0065,0.5384,0.6288,0.5315,0.6106,0.5407,0.5812,0.5888,0.5223,4.5423,0.0616,0.02,0.06,0.0252,0.0339,0.0209,0.0325,0.017,0.2711
feature_2,-0.0066,0.0027,0.5759,0.6221,0.4859,0.5221,0.7891,0.6807,0.5753,0.4815,4.7326,0.0224,0.0179,0.0261,0.0346,0.0183,0.0231,0.0194,0.2553,0.417
feature_3,0.0055,0.0022,0.653,0.8918,0.5595,0.7432,0.9214,0.8838,0.7531,0.5377,5.9435,0.0533,0.0189,0.027,0.0547,0.0482,0.0277,0.0769,0.0363,0.3429
feature_4,-0.024,0.0096,0.6064,0.5433,0.6217,0.6019,0.5198,0.5445,0.5552,0.6105,4.6034,0.0422,0.0282,0.0299,0.0257,0.0231,0.0382,0.0558,0.0349,0.2781
feature_5,-0.1927,0.0772,0.7256,0.5385,0.7861,0.6732,0.4977,0.5403,0.6265,0.8017,5.1895,0.0213,0.044,0.0438,0.0361,0.0296,0.0397,0.0325,0.0164,0.2634
feature_6,-0.022,0.0088,0.7785,0.6999,0.8739,0.7112,0.7298,0.7271,0.7855,0.9007,6.2065,0.0982,0.0428,0.0474,0.0207,0.0765,0.0176,0.0293,0.0278,0.3602
feature_7,-0.0549,0.022,0.6161,0.7346,0.5776,0.5555,0.9464,0.8066,0.704,0.5835,5.5245,0.0302,0.0185,0.0158,0.0224,0.2631,0.0184,0.0175,0.0689,0.4547
feature_8,-0.0436,0.0175,0.6983,0.5764,0.8173,0.6173,0.5957,0.6084,0.6899,0.8465,5.4497,0.0386,0.0547,0.0383,0.0307,0.0581,0.0176,0.0309,0.0235,0.2924
feature_9,-0.09,0.0361,0.7774,0.5149,0.8098,0.6943,0.5267,0.5496,0.612,0.8163,5.3011,0.0479,0.2447,0.0334,0.0229,0.0147,0.0266,0.0194,0.0234,0.4331
feature_10,0.149,0.0597,0.8031,0.7394,0.8203,0.7719,0.7804,0.7659,0.7865,0.8441,6.3116,0.0519,0.0228,0.0448,0.0422,0.0351,0.0395,0.0445,0.0633,0.3442
feature_11,-0.2208,0.0885,0.8094,0.6367,0.8529,0.8017,0.5466,0.6179,0.6951,0.8453,5.8056,0.0728,0.057,0.0308,0.0619,0.019,0.0462,0.0251,0.0122,0.3251
feature_12,0.0686,0.0275,0.6769,0.726,0.6117,0.721,0.6957,0.7039,0.675,0.6028,5.4131,0.0113,0.0278,0.0245,0.0218,0.0528,0.0434,0.0251,0.0399,0.2465
feature_13,0.0186,0.0075,0.9287,0.9199,1.0355,0.9687,0.7873,0.8712,0.9663,1.0391,7.5167,0.03,0.1214,0.0406,0.0359,0.0336,0.1057,0.0375,0.0716,0.4763
feature_14,0.0841,0.0337,0.7321,0.5917,0.6673,0.679,0.6336,0.6185,0.6018,0.656,5.1801,0.032,0.0235,0.0733,0.0893,0.0324,0.043,0.0291,0.044,0.3666
feature_15,-0.0812,0.0325,0.7051,0.6874,0.81,0.6891,0.6861,0.6963,0.746,0.8264,5.8465,0.0432,0.0246,0.0336,0.0272,0.0432,0.1221,0.0349,0.0273,0.3561
feature_16,-0.2002,0.0803,0.7148,1.0477,0.6737,0.946,0.7897,0.9008,0.8986,0.6467,6.618,0.0742,0.0207,0.0269,0.2193,0.033,0.0283,0.1343,0.0286,0.5653
feature_17,0.1271,0.051,0.7342,0.523,0.8461,0.6447,0.506,0.5407,0.647,0.8569,5.2987,0.0524,0.0558,0.0962,0.0282,0.0166,0.0521,0.0345,0.0132,0.3488
feature_18,-0.4249,0.1703,0.7374,1.1056,0.6647,0.9717,0.8884,0.9666,0.9478,0.6414,6.9235,0.0253,0.0646,0.0296,0.0424,0.0643,0.0286,0.0873,0.1256,0.4676
feature_19,-0.1208,0.0484,0.8308,0.7636,0.7365,0.7857,0.8293,0.7916,0.7434,0.722,6.2029,0.054,0.0156,0.054,0.036,0.0207,0.1388,0.0394,0.0166,0.3751
feature_20,0.4893,0.1961,0.6553,0.7946,0.611,0.6673,0.873,0.8086,0.7332,0.613,5.7562,0.0301,0.0274,0.0178,0.04,0.0263,0.0547,0.1134,0.0229,0.3326
rank_correlation,-0.2792,1.0,0.374,0.0974,0.2104,0.3545,-0.0675,0.0545,0.2013,0.2026,0.2273,-0.0636,0.2779,-0.0688,0.4078,-0.2468,0.4143,0.2818,-0.313,0.0597
cosine_similarity,-0.086,1.0,0.6875,0.7276,0.6659,0.7191,0.6963,0.7115,0.7107,0.6611,0.7032,0.5655,0.4619,0.5487,0.6055,0.398,0.5691,0.8139,0.4265,0.6907
