,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.1287,0.0291,0.9037,0.9199,0.9104,0.8983,0.8981,0.9084,0.9137,0.9223,7.2747,0.0636,0.0455,0.0564,0.0594,0.0767,0.0523,0.0546,0.0479,0.4565
feature_1,0.0267,0.0061,0.8662,0.8579,0.8617,0.8606,0.8631,0.8618,0.8591,0.8659,6.8964,0.0614,0.0535,0.0343,0.0421,0.0734,0.0603,0.0633,0.0491,0.4375
feature_2,0.1802,0.0408,0.9342,1.0013,0.9472,0.9705,0.959,0.9605,0.9738,0.9246,7.671,0.049,0.058,0.0988,0.039,0.0392,0.0447,0.0476,0.0945,0.4708
feature_3,-0.009,0.002,0.9283,0.8956,0.9432,0.8824,0.8886,0.9206,0.9222,0.9904,7.3714,0.0594,0.0517,0.0687,0.0532,0.0695,0.0565,0.0616,0.0478,0.4685
feature_4,0.0109,0.0025,0.8665,0.8764,0.8841,0.9091,0.8881,0.8876,0.9061,0.8801,7.0981,0.0497,0.0549,0.057,0.0507,0.0558,0.0668,0.041,0.0638,0.4398
feature_5,0.997,0.2257,1.0841,1.1663,1.1295,1.1937,1.1586,1.1453,1.1765,1.0702,9.1241,0.0533,0.084,0.0347,0.0579,0.0655,0.0591,0.0925,0.0591,0.5061
feature_6,-0.1153,0.0261,0.8648,0.8688,0.8646,0.8949,0.8868,0.8722,0.876,0.8324,6.9603,0.0492,0.058,0.0419,0.0505,0.0517,0.0707,0.0367,0.0807,0.4395
feature_7,1.02,0.2309,0.9162,0.8843,0.8877,0.8604,0.8844,0.8844,0.8607,0.8983,7.0764,0.0558,0.0572,0.0403,0.0541,0.0458,0.0861,0.0483,0.0494,0.437
feature_8,-0.0222,0.005,0.9555,0.925,0.9164,0.923,0.9414,0.9233,0.9017,0.9074,7.3938,0.0475,0.0525,0.048,0.0815,0.0751,0.0793,0.0528,0.049,0.4857
feature_9,-0.3914,0.0886,0.948,0.8574,0.9349,0.8638,0.8914,0.8983,0.873,0.9984,7.265,0.096,0.074,0.0522,0.0361,0.0898,0.0321,0.0413,0.0665,0.4879
feature_10,-0.1457,0.033,0.9588,0.961,0.9669,0.9276,0.9304,0.9705,0.9712,1.0006,7.6871,0.0804,0.072,0.0853,0.0286,0.0549,0.0376,0.0512,0.0577,0.4679
feature_11,-0.1457,0.033,0.7307,0.7767,0.7718,0.8005,0.7697,0.7769,0.8056,0.7492,6.1812,0.047,0.0464,0.0286,0.0725,0.032,0.0404,0.0464,0.0531,0.3663
feature_12,-0.5629,0.1274,0.9048,0.8792,0.9016,0.8634,0.8752,0.8681,0.8674,0.932,7.0917,0.0587,0.0574,0.0267,0.1405,0.0332,0.0607,0.0411,0.0456,0.4638
feature_13,0.0407,0.0092,0.9556,0.9695,0.9915,0.9445,0.9366,0.9744,0.99,1.0359,7.798,0.0529,0.0651,0.0718,0.0417,0.0687,0.0657,0.0423,0.0747,0.4829
feature_14,0.0585,0.0132,1.0617,1.206,1.0391,1.214,1.179,1.1097,1.1291,0.8945,8.8332,0.0486,0.0596,0.1334,0.019,0.09,0.0516,0.0447,0.0622,0.509
feature_15,-0.5629,0.1274,1.0876,1.0284,1.0425,1.0127,1.0443,1.0504,1.0137,1.0612,8.3408,0.0547,0.0529,0.0698,0.1216,0.0315,0.0766,0.0655,0.0522,0.5247
rank_correlation,0.0,1.0,0.2941,0.1676,0.2529,0.0176,0.1088,0.1147,0.0441,0.3882,0.1235,0.2059,0.3588,-0.2265,0.2088,-0.4765,-0.0441,0.1353,0.0529,0.1294
cosine_similarity,0.4249,1.0,0.6684,0.6614,0.6666,0.6607,0.6648,0.6637,0.66,0.6668,0.6645,0.6432,0.6918,0.4709,0.6905,0.5422,0.6768,0.7076,0.596,0.6552
