,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.7287,0.7992,0.7592,0.7287,0.8455,0.8764,0.9919,1.0207,6.7503,0.0193,0.1086,0.0567,0.0648,0.0644,0.0317,0.1051,0.0235,0.4741
feature_1,-0.0695,0.0201,0.8132,0.8264,0.8393,0.8028,0.8547,0.8485,0.8595,0.8279,6.6723,0.0528,0.0594,0.0245,0.0347,0.0806,0.045,0.0505,0.0417,0.3893
feature_2,0.2017,0.0583,1.4867,1.4021,1.4351,1.4925,1.3244,1.2857,1.1439,1.1077,10.6781,0.0998,0.0472,0.1621,0.1394,0.0571,0.0629,0.0628,0.0616,0.6929
feature_3,0.0765,0.0221,0.7969,0.8246,0.7755,0.8011,0.8034,0.818,0.8567,0.8896,6.5659,0.0385,0.047,0.0343,0.0402,0.0799,0.0627,0.0629,0.0564,0.422
feature_4,-0.2021,0.0585,0.792,0.8455,0.7914,0.8,0.8627,0.8897,0.9772,1.0281,6.9865,0.0697,0.0392,0.0383,0.0403,0.0748,0.0593,0.0372,0.0705,0.4292
feature_5,-0.729,0.2109,0.8481,0.8212,0.8383,0.8415,0.8013,0.7864,0.7372,0.7122,6.3861,0.0715,0.0288,0.0646,0.0476,0.0331,0.0588,0.0381,0.0423,0.3847
feature_6,-0.4608,0.1333,1.0872,1.1328,1.0825,1.099,1.1398,1.1731,1.2572,1.3153,9.2868,0.0312,0.1343,0.0593,0.0606,0.0526,0.0488,0.0453,0.05,0.482
feature_7,0.623,0.1802,0.7459,0.7637,0.7276,0.7504,0.7474,0.7589,0.7914,0.8159,6.1011,0.0289,0.0236,0.0442,0.0573,0.0427,0.0754,0.0397,0.0587,0.3704
feature_8,-0.1164,0.0337,0.8702,0.8532,0.8856,0.8676,0.8594,0.8527,0.8187,0.7962,6.8036,0.024,0.0549,0.0371,0.0419,0.0843,0.086,0.0408,0.0556,0.4245
feature_9,0.2737,0.0792,0.7492,0.7655,0.7479,0.7548,0.7785,0.7898,0.8264,0.8477,6.2598,0.0294,0.0695,0.036,0.0368,0.1346,0.045,0.0441,0.0523,0.4477
feature_10,-0.0112,0.0032,0.9634,0.9323,0.9671,0.9573,0.9213,0.9116,0.8578,0.8404,7.3513,0.0439,0.0289,0.0878,0.0316,0.066,0.0821,0.0299,0.0568,0.427
feature_11,-0.204,0.059,0.8976,0.8749,0.9713,0.8732,0.9479,0.9164,0.8664,0.7673,7.1149,0.032,0.0697,0.0751,0.029,0.0334,0.0859,0.0628,0.0342,0.4222
feature_12,-0.1029,0.0298,1.2127,1.198,1.1711,1.2216,1.1524,1.1278,1.0981,1.0839,9.2656,0.0285,0.0921,0.024,0.1101,0.034,0.0563,0.0631,0.2053,0.6133
feature_13,-0.1789,0.0518,0.8713,0.8907,0.8417,0.881,0.8658,0.879,0.9153,0.9523,7.0971,0.0512,0.0842,0.0318,0.0527,0.0484,0.0489,0.0493,0.0668,0.4332
feature_14,-0.1098,0.0318,0.8968,0.8712,0.9331,0.8862,0.9043,0.8901,0.8454,0.7999,7.0271,0.073,0.0185,0.127,0.0319,0.0345,0.0581,0.0215,0.0539,0.4185
feature_15,-0.049,0.0142,1.1702,1.0869,1.1273,1.168,1.0273,1.0044,0.8875,0.8936,8.3652,0.1842,0.0234,0.0498,0.062,0.0328,0.0509,0.0483,0.0342,0.4856
rank_correlation,-0.2971,1.0,-0.1382,-0.2235,-0.1971,-0.1618,-0.2294,-0.2324,-0.2265,-0.1618,-0.2382,-0.0235,0.0176,0.1265,0.0441,-0.1735,0.1382,-0.2853,0.1059,-0.2294
cosine_similarity,-0.2759,1.0,0.6902,0.697,0.6895,0.6908,0.6976,0.7009,0.7077,0.7099,0.6996,0.5375,0.6188,0.6135,0.6475,0.6069,0.7169,0.6178,0.5683,0.6859
