,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.1107,0.0038,0.0346,0.0209,0.038,0.0248,0.0289,0.038,0.0336,0.0384,0.2571,0.0022,0.001,0.0056,0.0017,0.0014,0.0011,0.0033,0.0019,0.0181
feature_1,0.0059,0.0002,0.0234,0.017,0.0247,0.019,0.0219,0.0228,0.023,0.0246,0.1764,0.0016,0.0006,0.0019,0.0013,0.0021,0.0009,0.001,0.0009,0.0104
feature_2,0.0282,0.001,0.0242,0.0175,0.0245,0.0195,0.0229,0.0231,0.0232,0.0254,0.1802,0.0018,0.0013,0.0027,0.0009,0.0016,0.0011,0.0017,0.0013,0.0124
feature_3,-0.003,1e-04,0.0194,0.0167,0.0196,0.0153,0.0165,0.0189,0.0183,0.0196,0.1443,0.0006,0.0008,0.0023,0.0012,0.001,0.0015,0.0008,0.001,0.0092
feature_4,-0.0267,0.0009,0.0282,0.0203,0.0282,0.0227,0.0269,0.0265,0.0287,0.0302,0.2118,0.0035,0.0006,0.0035,0.0015,0.0016,0.0011,0.0027,0.0019,0.0165
feature_5,-0.1101,0.0038,0.0237,0.0165,0.0248,0.0185,0.0217,0.0244,0.0236,0.0265,0.1797,0.0008,0.0009,0.0028,0.0007,0.0029,0.002,0.003,0.0011,0.0141
feature_6,-0.0713,0.0025,0.0228,0.0191,0.0236,0.02,0.022,0.0226,0.0217,0.0227,0.1745,0.0048,0.0021,0.0011,0.0015,0.0014,0.0012,0.0016,0.0006,0.0142
feature_7,0.0354,0.0012,0.0216,0.0242,0.0208,0.0244,0.0233,0.0238,0.0227,0.0219,0.1827,0.001,0.0014,0.0014,0.0009,0.0016,0.0027,0.0015,0.0006,0.011
feature_8,0.0334,0.0012,0.023,0.027,0.0222,0.0232,0.0212,0.024,0.0234,0.0227,0.1867,0.0014,0.0026,0.0017,0.0015,0.0008,0.0013,0.001,0.0011,0.0113
feature_9,-0.0585,0.002,0.0208,0.0213,0.02,0.0222,0.0219,0.0204,0.0206,0.0192,0.1663,0.0014,0.0019,0.0019,0.0007,0.0013,0.001,0.0011,0.0032,0.0124
feature_10,0.0543,0.0019,0.017,0.0179,0.0177,0.0171,0.0159,0.0175,0.0177,0.017,0.1378,0.0012,0.0024,0.0017,0.0008,0.001,0.0013,0.0008,0.0015,0.0107
feature_11,0.0324,0.0011,0.0209,0.0228,0.0208,0.0202,0.0209,0.0204,0.0213,0.0206,0.1679,0.0006,0.002,0.001,0.0009,0.0007,0.0014,0.0013,0.0008,0.0087
feature_12,0.0383,0.0013,0.0241,0.0208,0.0244,0.0221,0.0246,0.0256,0.0246,0.0255,0.1917,0.0008,0.0009,0.0016,0.0008,0.0013,0.001,0.0009,0.0019,0.009
feature_13,-0.0407,0.0014,0.0234,0.0171,0.0231,0.0196,0.0241,0.0225,0.0223,0.0237,0.1759,0.002,0.0009,0.0007,0.0019,0.0012,0.001,0.0019,0.0009,0.0104
feature_14,0.0265,0.0009,0.0231,0.0165,0.0224,0.0185,0.0239,0.0212,0.0217,0.0231,0.1705,0.0012,0.0011,0.002,0.0008,0.0007,0.001,0.0014,0.0012,0.0096
feature_15,0.0246,0.0009,0.0355,0.0187,0.0337,0.0251,0.039,0.0286,0.0308,0.0337,0.2451,0.0013,0.0008,0.0037,0.0024,0.0009,0.0021,0.0008,0.0006,0.0127
feature_16,-0.0692,0.0024,0.0229,0.0172,0.0222,0.0203,0.0254,0.0202,0.0213,0.0217,0.1713,0.0007,0.0017,0.0018,0.0012,0.0008,0.0013,0.0007,0.0007,0.0088
feature_17,-0.0582,0.002,0.0206,0.0222,0.0198,0.0205,0.0209,0.0196,0.0214,0.02,0.1649,0.0007,0.001,0.0013,0.0009,0.001,0.0016,0.0009,0.0008,0.0083
feature_18,-0.0117,0.0004,0.0232,0.0393,0.0217,0.0272,0.0213,0.0232,0.0238,0.0203,0.2002,0.003,0.0032,0.0012,0.001,0.0007,0.0007,0.0007,0.0009,0.0113
feature_19,0.0076,0.0003,0.0261,0.0468,0.0236,0.0297,0.0215,0.0238,0.0249,0.0216,0.218,0.0007,0.0011,0.0008,0.0017,0.0015,0.0008,0.0011,0.0015,0.0091
feature_20,-0.0205,0.0007,0.0229,0.0345,0.0217,0.0326,0.0267,0.0265,0.0244,0.0217,0.2109,0.0007,0.0012,0.0011,0.002,0.0009,0.0027,0.0008,0.001,0.0105
feature_21,0.0167,0.0006,0.0219,0.0285,0.021,0.0278,0.0256,0.0247,0.0238,0.0222,0.1955,0.0009,0.0018,0.0009,0.0014,0.002,0.001,0.0017,0.0011,0.0107
feature_22,0.0338,0.0012,0.0247,0.0283,0.024,0.0294,0.0276,0.0256,0.0242,0.0229,0.2068,0.0018,0.0021,0.0016,0.0019,0.0014,0.0012,0.0015,0.0015,0.013
feature_23,-0.1689,0.0058,0.0204,0.0182,0.0197,0.0209,0.023,0.0204,0.0202,0.0198,0.1626,0.0021,0.0013,0.0018,0.0013,0.001,0.001,0.0011,0.002,0.0116
feature_24,0.0568,0.002,0.0307,0.0213,0.029,0.027,0.0355,0.0271,0.0294,0.0319,0.232,0.0023,0.0012,0.003,0.0009,0.0011,0.0014,0.0014,0.001,0.0124
