,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.8314,0.0251,0.1925,0.1922,0.1961,0.1969,0.1884,0.2225,0.1847,0.2117,1.585,0.0039,0.012,0.0243,0.0085,0.0093,0.0081,0.0028,0.01,0.0789
feature_1,-0.9869,0.0297,0.2175,0.2381,0.2254,0.2327,0.2662,0.2241,0.2234,0.2308,1.8582,0.0163,0.0126,0.0147,0.0067,0.0147,0.0177,0.0657,0.0127,0.1611
feature_2,-0.5865,0.0177,0.181,0.1556,0.1902,0.187,0.1391,0.1714,0.172,0.155,1.3513,0.0043,0.0118,0.0054,0.0094,0.0052,0.0067,0.0019,0.034,0.0787
feature_3,0.8555,0.0258,0.2348,0.2223,0.2259,0.2259,0.2095,0.2314,0.233,0.2135,1.7964,0.0169,0.0138,0.0135,0.0146,0.0095,0.0075,0.0193,0.0223,0.1173
feature_4,-0.3522,0.0106,0.1564,0.1641,0.1556,0.1604,0.1372,0.185,0.1523,0.1768,1.2878,0.0036,0.0074,0.0055,0.0104,0.0081,0.008,0.004,0.0139,0.0609
feature_5,0.0089,0.0003,0.2151,0.2321,0.2047,0.223,0.2199,0.2522,0.2195,0.2463,1.8128,0.0081,0.0141,0.0131,0.0084,0.0556,0.0134,0.0044,0.0135,0.1307
feature_6,0.3452,0.0104,0.1901,0.1684,0.1841,0.1889,0.133,0.1786,0.1804,0.1579,1.3815,0.0023,0.0094,0.0105,0.0049,0.0299,0.0104,0.0021,0.0169,0.0864
feature_7,0.0085,0.0003,0.1662,0.196,0.1654,0.1735,0.1756,0.2241,0.1661,0.2186,1.4855,0.0103,0.005,0.0092,0.008,0.0133,0.0185,0.0048,0.0066,0.0757
feature_8,-0.3805,0.0115,0.2048,0.1862,0.2002,0.2128,0.1546,0.2192,0.1991,0.1937,1.5707,0.0036,0.018,0.0459,0.0055,0.0037,0.0085,0.0033,0.0113,0.0998
feature_9,0.1058,0.0032,0.1988,0.1709,0.1912,0.2098,0.1642,0.2138,0.1848,0.193,1.5265,0.0102,0.0162,0.0074,0.011,0.0098,0.008,0.0068,0.0126,0.0818
feature_10,-0.3092,0.0093,0.2128,0.2311,0.1986,0.2049,0.264,0.2343,0.2114,0.2524,1.8095,0.0133,0.0399,0.0109,0.0145,0.0269,0.0109,0.0082,0.0156,0.1402
feature_11,1.3946,0.042,0.1846,0.2212,0.1882,0.189,0.2548,0.2226,0.1885,0.2348,1.6838,0.0743,0.0108,0.0111,0.0069,0.0089,0.0131,0.0101,0.0098,0.145
feature_12,0.2938,0.0089,0.1837,0.1868,0.1776,0.1868,0.1902,0.1973,0.1771,0.1967,1.4962,0.0041,0.026,0.0098,0.0127,0.0068,0.0084,0.0032,0.0217,0.0927
feature_13,-1.099,0.0331,0.2234,0.257,0.2026,0.2143,0.2951,0.2696,0.2321,0.299,1.9931,0.0145,0.0105,0.0137,0.0058,0.0349,0.0934,0.0048,0.0059,0.1833
feature_14,-0.4428,0.0133,0.1695,0.1642,0.1695,0.1734,0.1538,0.1853,0.1538,0.1727,1.3422,0.0058,0.0086,0.0197,0.006,0.0078,0.007,0.0118,0.0188,0.0855
feature_15,0.4917,0.0148,0.2095,0.2169,0.1965,0.209,0.2076,0.2253,0.2129,0.219,1.6966,0.015,0.0161,0.0124,0.0117,0.0122,0.0081,0.0169,0.0065,0.0989
feature_16,0.565,0.017,0.24,0.1884,0.2292,0.2227,0.1827,0.1672,0.2266,0.1764,1.6333,0.0182,0.0141,0.0087,0.0167,0.0055,0.0078,0.0365,0.0074,0.1148
feature_17,0.1614,0.0049,0.2459,0.3014,0.2268,0.2393,0.3494,0.289,0.2651,0.3209,2.2378,0.0132,0.0379,0.0261,0.021,0.0104,0.0094,0.006,0.0095,0.1334
feature_18,-0.3448,0.0104,0.2188,0.2177,0.2151,0.227,0.2369,0.2191,0.2117,0.225,1.7714,0.0099,0.0179,0.0251,0.0113,0.0075,0.0113,0.0255,0.0067,0.1151
feature_19,-0.4823,0.0145,0.1939,0.2042,0.1919,0.1928,0.2101,0.1912,0.2015,0.1984,1.584,0.0119,0.0128,0.0169,0.0192,0.0087,0.0091,0.0101,0.0126,0.1013
feature_20,-0.0832,0.0025,0.1926,0.1699,0.2101,0.2015,0.1567,0.1626,0.1933,0.1573,1.4439,0.0083,0.0113,0.0133,0.0141,0.0139,0.0119,0.0049,0.0237,0.1014
feature_21,2.1497,0.0648,0.1906,0.189,0.1879,0.1901,0.1992,0.1996,0.1915,0.2007,1.5485,0.0103,0.007,0.0127,0.0158,0.0044,0.0064,0.0134,0.0073,0.0773
feature_22,-0.1123,0.0034,0.1978,0.1581,0.1886,0.1816,0.134,0.1494,0.1814,0.1421,1.3331,0.0069,0.0083,0.0057,0.0088,0.0306,0.0105,0.0027,0.0482,0.1216
feature_23,-2.2728,0.0685,0.2069,0.1934,0.2133,0.2079,0.2034,0.2082,0.2046,0.1991,1.6367,0.0125,0.0078,0.0077,0.0128,0.0132,0.0144,0.011,0.0079,0.0872
feature_24,0.2538,0.0076,0.198,0.206,0.1972,0.2,0.2263,0.2358,0.1898,0.2401,1.6932,0.0148,0.005,0.0057,0.0217,0.0034,0.008,0.0065,0.0063,0.0715
feature_25,0.6018,0.0181,0.2119,0.232,0.206,0.2083,0.2056,0.1973,0.2322,0.1884,1.6818,0.003,0.0341,0.0172,0.0068,0.0161,0.0104,0.0093,0.0062,0.1032
feature_26,0.409,0.0123,0.1767,0.1487,0.1997,0.1888,0.159,0.1537,0.1689,0.1499,1.3455,0.0168,0.0092,0.0055,0.0058,0.0099,0.0201,0.0061,0.0101,0.0834
feature_27,-0.0986,0.003,0.2372,0.2444,0.2141,0.2041,0.1749,0.1766,0.2667,0.1631,1.6812,0.0045,0.0124,0.0094,0.0146,0.0039,0.0093,0.0067,0.0108,0.0715
feature_28,-0.3733,0.0112,0.1969,0.1689,0.2035,0.1952,0.1407,0.171,0.1834,0.1595,1.4191,0.0056,0.0074,0.0101,0.0049,0.0227,0.0101,0.0041,0.0103,0.0753
feature_29,-0.1004,0.003,0.2768,0.2431,0.2434,0.2704,0.197,0.2721,0.2599,0.2473,2.01,0.002,0.0139,0.0092,0.0093,0.0058,0.0093,0.0048,0.011,0.0653
feature_30,-0.4459,0.0134,0.2229,0.237,0.2244,0.2271,0.2516,0.2475,0.2213,0.2569,1.8887,0.0083,0.0076,0.0185,0.0048,0.0168,0.0324,0.008,0.0091,0.1055
feature_31,0.0046,1e-04,0.19,0.1832,0.1865,0.1918,0.191,0.2078,0.1791,0.192,1.5213,0.0072,0.0107,0.0084,0.0244,0.0059,0.0062,0.0109,0.0137,0.0874
feature_32,0.222,0.0067,0.183,0.2247,0.1894,0.1886,0.2935,0.2244,0.1892,0.2447,1.7376,0.0108,0.0389,0.0104,0.0316,0.0126,0.0059,0.0059,0.0089,0.125
feature_33,0.1859,0.0056,0.1981,0.2013,0.2019,0.1962,0.2144,0.1924,0.2023,0.1854,1.5919,0.0082,0.0091,0.0073,0.0054,0.0509,0.0127,0.0122,0.0094,0.1152
feature_34,0.2042,0.0062,0.1891,0.2068,0.1863,0.196,0.1899,0.228,0.1846,0.216,1.5967,0.0078,0.0115,0.0121,0.006,0.0045,0.0156,0.0155,0.0073,0.0804
feature_35,-0.1694,0.0051,0.2434,0.2828,0.2474,0.268,0.3737,0.2918,0.2448,0.3165,2.2685,0.0647,0.0108,0.0254,0.0256,0.0054,0.0164,0.067,0.0072,0.2225
feature_36,-0.1169,0.0035,0.1874,0.1985,0.1911,0.189,0.215,0.2244,0.1837,0.2261,1.6152,0.003,0.0128,0.0119,0.0279,0.0161,0.0068,0.005,0.01,0.0935
feature_37,0.0124,0.0004,0.2339,0.2907,0.2147,0.2213,0.3457,0.2802,0.2504,0.3201,2.157,0.0073,0.0407,0.009,0.0064,0.0405,0.0107,0.0093,0.0073,0.1311
