,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.2231,1.2279,1.2192,1.2157,1.2099,1.2172,1.2282,1.2119,9.753,0.0827,0.0981,0.0519,0.0993,0.085,0.0684,0.0653,0.0527,0.6034
feature_1,-0.2392,0.1543,1.3956,1.3957,1.4055,1.4012,1.405,1.4108,1.3822,1.3916,11.1876,0.0816,0.1476,0.0871,0.0828,0.0488,0.0666,0.0923,0.0819,0.6888
feature_2,-0.0125,0.0081,1.433,1.427,1.4542,1.4552,1.4934,1.47,1.4059,1.4792,11.6177,0.1611,0.1108,0.1082,0.0884,0.0956,0.0493,0.0701,0.0711,0.7546
feature_3,0.2002,0.1291,1.3139,1.3086,1.3327,1.3324,1.3736,1.3491,1.2892,1.3572,10.6567,0.045,0.0965,0.0908,0.0605,0.0456,0.0959,0.1258,0.0998,0.66
feature_4,-0.0344,0.0222,1.2035,1.206,1.1729,1.1795,1.1474,1.1558,1.2405,1.1732,9.4788,0.0281,0.0997,0.0531,0.0683,0.0891,0.1111,0.0481,0.1049,0.6024
feature_5,0.1284,0.0828,1.4356,1.4461,1.4287,1.4207,1.3827,1.4094,1.4472,1.3899,11.3604,0.1593,0.045,0.0578,0.0837,0.1339,0.0752,0.0869,0.0981,0.74
feature_6,-0.1681,0.1084,1.3947,1.3893,1.4215,1.4212,1.467,1.4405,1.3616,1.4474,11.3431,0.0538,0.0768,0.1612,0.0854,0.0928,0.0527,0.0943,0.0896,0.7066
feature_7,-0.1353,0.0873,1.3505,1.3393,1.3767,1.3808,1.4219,1.391,1.318,1.4099,10.9881,0.0884,0.0415,0.0765,0.0927,0.084,0.091,0.0762,0.1119,0.6622
feature_8,0.0551,0.0355,1.3521,1.3535,1.3507,1.349,1.3505,1.3513,1.3538,1.3499,10.8108,0.0735,0.085,0.0921,0.1314,0.0806,0.0225,0.0926,0.0851,0.6628
feature_9,0.1204,0.0776,1.2228,1.2253,1.2264,1.231,1.2366,1.229,1.2202,1.2394,9.8308,0.0896,0.0845,0.0475,0.1054,0.0892,0.0451,0.068,0.0765,0.6056
feature_10,0.3912,0.2523,1.4192,1.4333,1.3516,1.3512,1.2387,1.3074,1.5008,1.2808,10.8831,0.0794,0.0455,0.0789,0.0537,0.0743,0.2024,0.0953,0.0641,0.6935
rank_correlation,0.1364,1.0,0.2545,0.3455,0.1636,0.1818,0.1636,0.1273,0.3455,0.1636,0.1636,-0.2273,-0.3273,0.1364,-0.5545,-0.5545,0.4182,0.7182,0.0273,0.1727
cosine_similarity,0.3753,1.0,0.8185,0.8197,0.8131,0.8128,0.8022,0.8094,0.8245,0.8054,0.8134,0.6842,0.7097,0.7803,0.7041,0.7151,0.907,0.8634,0.7743,0.8118
