,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.2211,1.4879,1.3572,1.3232,5.3894,0.0784,0.0638,0.0428,0.1314,0.3164
feature_1,-0.2392,0.1543,1.0626,1.4963,1.2991,1.2367,5.0945,0.1139,0.0515,0.0052,0.0934,0.2639
feature_2,-0.0125,0.0081,1.2878,1.3845,1.3556,1.3249,5.3528,0.0432,0.0844,0.1995,0.1002,0.4272
feature_3,0.2002,0.1291,0.9421,1.4567,1.2228,1.1534,4.775,0.0493,0.0181,0.0074,0.2472,0.3219
feature_4,-0.0344,0.0222,1.6663,0.5448,1.0685,1.195,4.4746,0.3591,0.0397,0.0138,0.0162,0.4288
feature_5,0.1284,0.0828,1.2741,0.8023,1.0185,1.0752,4.1701,0.0507,0.184,0.0503,0.0304,0.3154
feature_6,-0.1681,0.1084,1.5278,1.0213,1.2519,1.3125,5.1135,0.0554,0.0193,0.3021,0.1225,0.4992
feature_7,-0.1353,0.0873,1.8282,1.7007,1.7533,1.8178,7.1,0.0515,0.072,0.0977,0.0905,0.3118
feature_8,0.0551,0.0355,1.0542,1.146,1.1043,1.0907,4.3953,0.09,0.0201,0.1153,0.0989,0.3243
feature_9,0.1204,0.0776,1.0925,1.4782,1.2985,1.2514,5.1207,0.0264,0.22,0.05,0.0122,0.3085
feature_10,0.3912,0.2523,1.5915,2.5952,2.1346,1.9901,8.3115,0.0181,0.0482,0.0436,0.0276,0.1375
rank_correlation,0.1364,1.0,-0.0727,0.5545,0.3091,0.1727,0.2364,-0.2455,-0.2818,-0.3455,0.0455,-0.5818
cosine_similarity,0.3753,1.0,0.7988,0.9028,0.8731,0.8584,0.8678,0.3898,0.5585,0.4628,0.6483,0.6698
