,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.7322,0.2455,2.1794,1.9226,1.5907,2.2196,1.3717,2.2221,1.2972,2.2277,15.031,0.0242,0.9712,0.0054,0.0247,0.0299,0.0021,0.0691,0.0205,1.1472
feature_1,0.1163,0.039,2.1386,1.9039,1.5941,2.1729,1.4105,2.1771,1.3437,2.1797,14.9204,0.0131,0.0021,0.8901,0.0623,0.0427,0.002,0.0637,0.0228,1.0987
feature_2,-0.2646,0.0887,0.719,1.0469,1.4682,0.666,1.7174,0.6649,1.7993,0.6584,8.7403,0.019,0.0036,0.014,0.0908,0.1002,0.0048,0.0631,0.0778,0.3732
feature_3,0.3067,0.1029,2.2273,2.175,2.1292,2.2368,2.0603,2.2402,2.0652,2.2398,17.3736,0.057,0.002,0.0021,0.0102,0.0385,0.05,0.2639,0.715,1.1387
feature_4,-0.0048,0.0016,0.7621,1.0784,1.4485,0.7133,1.6863,0.7103,1.8025,0.7058,8.9071,0.2334,0.003,0.0212,0.0155,0.0665,0.021,0.0231,0.0496,0.4333
feature_5,-0.0431,0.0144,0.2626,0.8166,1.5196,0.1735,1.9283,0.1743,2.096,0.1601,7.131,0.068,0.0043,0.026,0.1286,0.0065,0.0036,0.0977,0.006,0.3407
feature_6,-0.7645,0.2564,3.9843,3.4269,2.7646,4.0858,2.3831,4.071,2.1762,4.0932,26.985,0.5204,0.0018,0.0162,0.0711,0.3644,0.9111,0.0212,0.059,1.9651
feature_7,-0.7497,0.2514,1.3188,1.5193,1.7763,1.2893,1.9412,1.2848,1.9909,1.2836,12.4042,0.0402,0.0065,0.0166,0.0426,0.3372,0.0032,0.199,0.0241,0.6695
rank_correlation,-0.3333,1.0,0.6905,0.6905,0.7857,0.6905,0.4762,0.6905,0.2143,0.6905,0.6905,0.0714,-0.0476,-0.5238,-0.0476,0.5,0.1667,0.0714,0.2381,0.7143
cosine_similarity,-0.3087,1.0,0.8625,0.8667,0.8339,0.8599,0.7919,0.8596,0.7668,0.8595,0.8657,0.5992,0.5428,0.1133,0.5539,0.8498,0.5762,0.6549,0.3249,0.8602
