,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.8872,0.7211,1.6429,1.2136,0.8256,0.5645,0.7131,0.8857,7.4537,0.0332,0.0067,0.0179,0.0474,0.0018,0.0038,0.0652,0.005,0.181
feature_1,-0.0695,0.0201,0.9172,1.0297,0.9131,1.0123,0.6512,1.2282,0.8586,0.8947,7.5051,0.0353,0.0103,0.0189,0.0305,0.0072,0.005,0.0182,0.0523,0.1778
feature_2,0.2017,0.0583,0.9388,0.9649,0.7222,0.885,0.9313,1.0039,0.9299,0.8971,7.2731,0.1616,0.0066,0.0894,0.0245,0.0183,0.0141,0.0194,0.1244,0.4582
feature_3,0.0765,0.0221,0.8201,0.8311,0.7148,0.707,0.9756,0.8012,0.9518,0.8975,6.6991,0.0835,0.0076,0.397,0.0711,0.0066,0.0103,0.057,0.0354,0.6685
feature_4,-0.2021,0.0585,0.8033,0.7326,0.751,0.8344,0.7594,0.6328,0.6248,0.6484,5.7867,0.0142,0.007,0.027,0.0838,0.0094,0.0039,0.0332,0.0415,0.22
feature_5,-0.729,0.2109,0.8987,1.0307,0.6061,0.8313,0.713,1.2397,0.9071,0.8682,7.0949,0.0997,0.0087,0.0423,0.0152,0.0126,0.0109,0.0658,0.0576,0.3128
feature_6,-0.4608,0.1333,1.075,0.9094,1.9702,1.5021,0.9331,0.7781,0.8475,1.0645,9.0798,0.0173,0.0071,0.0143,0.0343,0.0067,0.0092,0.031,0.0223,0.1421
feature_7,0.623,0.1802,0.9984,1.0232,0.6791,0.7377,1.2799,0.9705,1.229,1.1076,8.0255,0.055,0.0122,0.0288,0.2729,0.0101,0.0076,0.4314,0.1124,0.9304
feature_8,-0.1164,0.0337,1.1103,1.1189,0.82,0.834,1.4606,1.0371,1.3806,1.2556,9.0171,0.0513,0.8134,0.0722,0.0615,0.0179,0.0156,0.0444,0.0411,1.1173
feature_9,0.2737,0.0792,0.7888,0.6905,1.3009,1.0429,0.69,0.6224,0.6372,0.7702,6.543,0.0171,0.0106,0.0094,0.0256,0.007,0.0088,0.0181,0.0466,0.1434
feature_10,-0.0112,0.0032,0.9694,0.9843,0.7319,0.7461,1.246,0.9237,1.1911,1.0897,7.882,0.0202,0.0081,0.0104,0.0138,0.8418,0.0054,0.0411,0.0181,0.9587
feature_11,-0.204,0.059,0.9526,0.9006,0.8718,0.9508,0.9443,0.8164,0.8401,0.838,7.1145,0.0597,0.0248,0.0889,0.1178,0.008,0.0397,0.0357,0.0191,0.3937
feature_12,-0.1029,0.0298,1.127,1.2925,0.867,1.1188,0.9058,1.5341,1.1398,1.1026,9.0875,0.1402,0.0103,0.0377,0.0325,0.0055,0.0077,0.0271,0.1279,0.3888
feature_13,-0.1789,0.0518,0.6937,0.6882,0.5472,0.6642,0.6297,0.7002,0.6197,0.6032,5.146,0.0423,0.013,0.0317,0.0156,0.0101,0.0227,0.0291,0.0755,0.2402
feature_14,-0.1098,0.0318,0.9101,1.0088,0.9201,1.0056,0.6711,1.185,0.8575,0.881,7.4393,0.0147,0.0118,0.0277,0.0385,0.0119,0.0145,0.0197,0.0541,0.1928
feature_15,-0.049,0.0142,1.0406,1.018,1.1456,1.0928,1.003,1.0026,0.9996,1.0266,8.3288,0.1121,0.0122,0.0347,0.0708,0.0098,0.0335,0.0458,0.1296,0.4486
rank_correlation,-0.2971,1.0,-0.0853,-0.0353,-0.2235,-0.1412,-0.0882,-0.0382,-0.2147,-0.2324,-0.2412,-0.0147,0.1353,0.1029,0.0971,0.1059,0.1882,0.0235,0.1676,-0.1735
cosine_similarity,-0.2759,1.0,0.7232,0.7211,0.6686,0.7077,0.7002,0.7123,0.709,0.7159,0.7202,0.5972,0.1338,0.301,0.6874,0.0444,0.5335,0.6985,0.647,0.5795
