,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.5765,1.2293,0.9302,1.8624,1.3158,1.8858,1.8276,1.4549,12.0824,0.0925,0.0591,0.0296,0.0594,0.0493,0.0782,0.0298,0.0619,0.4598
feature_1,-0.2392,0.1543,1.3504,1.2258,1.1322,1.4353,1.2527,1.4446,1.4452,1.3059,10.5922,0.0929,0.1001,0.1083,0.0236,0.1343,0.0606,0.0504,0.0627,0.6328
feature_2,-0.0125,0.0081,1.1923,1.0117,0.8214,1.3624,1.0486,1.3815,1.3309,1.1194,9.2683,0.0248,0.0461,0.1521,0.0087,0.0821,0.0463,0.035,0.0691,0.4643
feature_3,0.2002,0.1291,1.6928,1.7346,1.7646,1.7006,1.7507,1.6934,1.6879,1.7325,13.7569,0.0214,0.05,0.0268,0.064,0.0247,0.0312,0.2137,0.2526,0.6845
feature_4,-0.0344,0.0222,1.3463,1.4035,1.4478,1.311,1.3944,1.3113,1.3221,1.3692,10.9056,0.0688,0.1137,0.0096,0.4013,0.0696,0.0642,0.0305,0.0337,0.7916
feature_5,0.1284,0.0828,1.4705,1.2239,0.9856,1.6867,1.2754,1.706,1.6422,1.3684,11.3588,0.0788,0.122,0.1308,0.0367,0.0475,0.0374,0.029,0.0836,0.5658
feature_6,-0.1681,0.1084,1.484,1.4396,1.4264,1.4831,1.4452,1.4859,1.5084,1.4651,11.7377,0.2705,0.0676,0.0339,0.0113,0.1751,0.0727,0.019,0.0782,0.7282
feature_7,-0.1353,0.0873,1.1038,1.5059,1.8529,0.7823,1.4142,0.756,0.806,1.2519,9.473,0.1423,0.0385,0.3101,0.1101,0.05,0.1494,0.037,0.047,0.8845
feature_8,0.0551,0.0355,1.197,1.2467,1.333,1.114,1.2375,1.0996,1.1368,1.2141,9.5789,0.0484,0.2749,0.0573,0.0398,0.0986,0.0625,0.0283,0.0284,0.6383
feature_9,0.1204,0.0776,1.3131,1.0328,0.7991,1.5284,1.0892,1.544,1.5358,1.2141,10.0565,0.0607,0.0486,0.0202,0.1441,0.0482,0.0593,0.0136,0.1882,0.5829
feature_10,0.3912,0.2523,1.2164,1.7174,2.136,0.8142,1.5891,0.7825,0.8358,1.3872,10.4786,0.0312,0.0088,0.1013,0.0187,0.112,0.0696,0.4885,0.03,0.86
rank_correlation,0.1364,1.0,0.2909,0.5545,0.5364,-0.0091,0.6273,-0.0364,-0.0091,0.5182,0.3273,0.1727,-0.2909,0.1364,-0.2091,0.1909,0.0636,0.4909,0.1545,0.4364
cosine_similarity,0.3753,1.0,0.8025,0.8582,0.8812,0.7383,0.8467,0.7325,0.7441,0.8253,0.8151,0.6333,0.4733,0.616,0.3218,0.7989,0.7404,0.8416,0.6592,0.8507
