,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.3408,1.3643,1.3492,1.3706,5.425,0.0995,0.0505,0.0983,0.1004,0.3486
feature_1,0.1163,0.039,1.6318,1.6395,1.6373,1.6447,6.5533,0.0946,0.1411,0.088,0.0852,0.4088
feature_2,-0.2646,0.0887,1.3338,1.3861,1.346,1.394,5.4599,0.0966,0.0552,0.1182,0.0772,0.3472
feature_3,0.3067,0.1029,1.2992,1.3504,1.3093,1.3706,5.3295,0.1026,0.039,0.0911,0.0877,0.3204
feature_4,-0.0048,0.0016,1.4575,1.4377,1.4657,1.4313,5.7923,0.1106,0.074,0.0908,0.0855,0.3609
feature_5,-0.0431,0.0144,3.4181,3.3432,3.4348,3.3144,13.5105,0.1141,0.3898,0.134,0.2291,0.8669
feature_6,-0.7645,0.2564,2.1451,2.1355,2.0377,2.1182,8.4366,0.1382,0.068,0.1531,0.1479,0.5072
feature_7,-0.7497,0.2514,1.7018,1.6819,1.7356,1.6795,6.7987,0.1376,0.0401,0.1255,0.1075,0.4106
rank_correlation,-0.3333,1.0,0.0476,0.0,0.0476,0.0,0.0,0.4048,-0.619,0.5238,0.3571,0.0476
cosine_similarity,-0.3087,1.0,0.6767,0.6833,0.672,0.6851,0.6793,0.815,0.3006,0.8111,0.6959,0.6669
