,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.2097,0.0883,1.2982,1.4013,1.5126,1.7029,5.915,0.12,0.1096,0.0436,0.1061,0.3793
feature_1,-0.2154,0.0907,1.2157,1.2152,1.2236,1.2364,4.8909,0.0489,0.0637,0.0996,0.1037,0.3159
feature_2,0.0369,0.0155,1.0259,1.0163,1.0047,0.9807,4.0275,0.0497,0.0816,0.0733,0.0606,0.2652
feature_3,0.5408,0.2278,1.0843,1.0306,0.9642,0.814,3.893,0.1151,0.0237,0.0597,0.052,0.2505
feature_4,0.116,0.0488,1.2135,1.2004,1.1842,1.1695,4.7677,0.069,0.0677,0.0348,0.1646,0.3361
feature_5,0.1173,0.0494,0.9761,0.993,1.0141,1.0665,4.0497,0.0734,0.0764,0.0609,0.0542,0.2648
feature_6,-0.197,0.083,1.1328,1.1454,1.1545,1.1682,4.6009,0.0634,0.0899,0.079,0.0752,0.3076
feature_7,-0.078,0.0329,1.0169,1.0449,1.0766,1.1611,4.2995,0.0778,0.0696,0.0829,0.0613,0.2916
feature_8,-0.2164,0.0911,0.9515,1.0267,1.1287,1.3703,4.4773,0.0797,0.0767,0.034,0.0479,0.2382
feature_9,-0.262,0.1104,1.0694,1.072,1.0846,1.1257,4.3517,0.0614,0.07,0.0931,0.06,0.2845
feature_10,0.151,0.0636,0.8389,0.9009,0.9817,1.1749,3.8964,0.0651,0.0756,0.0842,0.0438,0.2686
feature_11,-0.2104,0.0886,1.1032,1.0799,1.0509,0.987,4.2209,0.0602,0.0616,0.0884,0.0556,0.2658
feature_12,0.0232,0.0098,1.7924,1.6688,1.5155,1.1667,6.1435,0.04,0.0912,0.0869,0.0495,0.2677
rank_correlation,-0.2418,1.0,-0.0824,-0.0549,-0.1593,0.0549,-0.1593,0.3187,-0.4341,0.0275,-0.1099,-0.1593
cosine_similarity,0.2146,1.0,0.7821,0.7865,0.7901,0.7886,0.7899,0.8916,0.7018,0.7687,0.7266,0.808
