,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0506,0.0603,1.2723,1.2352,1.3787,1.2801,5.1664,0.1498,0.0905,0.0633,0.0252,0.3288
feature_1,0.0371,0.0442,1.7741,1.8072,1.6631,1.7507,6.9952,0.0478,0.1828,0.0539,0.1443,0.4288
feature_2,-0.0261,0.0312,1.2673,1.2111,1.4247,1.2958,5.1989,0.1059,0.0638,0.0981,0.046,0.3139
feature_3,0.0661,0.0788,0.9024,0.9357,0.8791,0.9067,3.6239,0.0311,0.105,0.0544,0.0244,0.215
feature_4,-0.1921,0.2291,1.9667,2.0838,1.4872,1.8666,7.4042,0.0903,0.0625,0.055,0.2341,0.4419
feature_5,0.217,0.2588,2.9433,3.0562,2.4141,2.8582,11.2718,0.3659,0.1598,0.059,0.1307,0.7155
feature_6,-0.0866,0.1032,1.6775,1.7348,1.8147,1.7354,6.9625,0.1381,0.1248,0.0595,0.1157,0.438
feature_7,0.163,0.1944,1.2113,1.1942,1.0645,1.1693,4.6393,0.0408,0.0762,0.1492,0.0181,0.2842
rank_correlation,0.1905,1.0,0.4524,0.4524,0.3095,0.4048,0.4048,0.1905,-0.0238,-0.0238,0.1905,0.5238
cosine_similarity,0.2501,1.0,0.9061,0.9108,0.8589,0.8981,0.896,0.8133,0.769,0.7913,0.8108,0.8942
