,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.5854,0.5854,0.1925,0.1925,0.0732,0.0732
feature_1,0.0443,0.0443,0.222,0.222,0.0855,0.0855
feature_2,0.0145,0.0145,0.3526,0.3526,0.1321,0.1321
feature_3,0.0134,0.0134,0.1489,0.1489,0.0567,0.0567
feature_4,0.0123,0.0123,0.3022,0.3022,0.1156,0.1156
feature_5,0.154,0.154,0.4483,0.4483,0.1643,0.1643
feature_6,0.0862,0.0862,0.337,0.337,0.1223,0.1223
feature_7,0.09,0.09,0.3163,0.3163,0.1188,0.1188
rank_correlation,1.0,1.0,0.2143,0.2143,0.2143,0.2143
cosine_similarity,1.0,1.0,0.4877,0.4877,0.4894,0.4894
