,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.3831,1.387,1.3777,1.3815,5.5294,0.104,0.1139,0.0238,0.0961,0.3378
feature_1,0.1163,0.039,2.7819,2.7639,2.7832,2.7567,11.0856,0.0814,0.1165,0.0629,0.4214,0.6822
feature_2,-0.2646,0.0887,1.5181,1.5835,1.5127,1.5225,6.1368,0.1949,0.1015,0.0516,0.0476,0.3957
feature_3,0.3067,0.1029,0.8956,0.9115,0.898,0.8959,3.601,0.0304,0.136,0.0469,0.0151,0.2284
feature_4,-0.0048,0.0016,0.7988,0.7967,0.8013,0.7967,3.1936,0.0323,0.085,0.0221,0.0592,0.1986
feature_5,-0.0431,0.0144,4.5451,4.5723,4.5533,4.5536,18.2242,0.4324,0.0386,0.5805,0.1016,1.153
feature_6,-0.7645,0.2564,1.1497,1.1683,1.1449,1.1617,4.6246,0.0834,0.1183,0.0414,0.0484,0.2915
feature_7,-0.7497,0.2514,2.9277,2.8168,2.929,2.9315,11.6049,0.0412,0.2903,0.1707,0.2106,0.7128
rank_correlation,-0.3333,1.0,0.0,0.0,0.0,0.0,0.0,-0.0476,0.7619,-0.0476,-0.1429,0.0
cosine_similarity,-0.3087,1.0,0.5843,0.5807,0.5832,0.5854,0.5835,0.3786,0.8652,0.2833,0.4928,0.5786
