,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,0.1999,0.2004,0.1996,0.2,0.7999,0.104,0.1139,0.0238,0.0961,0.3378
feature_1,0.1163,0.039,0.4021,0.4002,0.4015,0.399,1.6028,0.0814,0.1165,0.0629,0.4214,0.6822
feature_2,-0.2646,0.0887,0.2188,0.2271,0.2198,0.2209,0.8866,0.1949,0.1015,0.0516,0.0476,0.3957
feature_3,0.3067,0.1029,0.1294,0.1315,0.1298,0.1299,0.5207,0.0304,0.136,0.0469,0.0151,0.2284
feature_4,-0.0048,0.0016,0.1156,0.1153,0.1157,0.1154,0.4619,0.0323,0.085,0.0221,0.0592,0.1986
feature_5,-0.0431,0.0144,0.6576,0.6613,0.6587,0.6595,2.6371,0.4324,0.0386,0.5805,0.1016,1.153
feature_6,-0.7645,0.2564,0.1664,0.1688,0.1665,0.1682,0.6698,0.0834,0.1183,0.0414,0.0484,0.2915
feature_7,-0.7497,0.2514,0.4255,0.4106,0.4237,0.4224,1.6823,0.0412,0.2903,0.1707,0.2106,0.7128
rank_correlation,-0.3333,1.0,0.0,0.0,0.0,0.0,0.0,-0.0476,0.7619,-0.0476,-0.1429,0.0
cosine_similarity,-0.3087,1.0,0.5848,0.5813,0.584,0.5848,0.5838,0.3786,0.8652,0.2833,0.4928,0.5786
