,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.7322,0.2455,0.1925,0.1925,0.0732,0.0732
feature_1,0.1163,0.039,0.222,0.222,0.0855,0.0855
feature_2,-0.2646,0.0887,0.3526,0.3526,0.1321,0.1321
feature_3,0.3067,0.1029,0.1489,0.1489,0.0567,0.0567
feature_4,-0.0048,0.0016,0.3022,0.3022,0.1156,0.1156
feature_5,-0.0431,0.0144,0.4483,0.4483,0.1643,0.1643
feature_6,-0.7645,0.2564,0.337,0.337,0.1223,0.1223
feature_7,-0.7497,0.2514,0.3163,0.3163,0.1188,0.1188
rank_correlation,-0.3333,1.0,-0.119,-0.119,-0.119,-0.119
cosine_similarity,-0.3087,1.0,0.7002,0.7002,0.6997,0.6997
