,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0547,0.0219,0.6161,0.618,0.6346,0.6285,2.4971,0.0403,0.0647,0.0298,0.0553,0.19
feature_1,0.0162,0.0065,0.6441,0.6181,0.5844,0.5677,2.4143,0.051,0.0255,0.0473,0.0196,0.1435
feature_2,-0.0066,0.0027,0.55,0.575,0.6073,0.6134,2.3457,0.0407,0.0543,0.0424,0.0288,0.1661
feature_3,0.0055,0.0022,0.6665,0.6656,0.6942,0.6554,2.6817,0.0331,0.0347,0.0402,0.06,0.168
feature_4,-0.024,0.0096,0.6445,0.7071,0.7666,0.8899,3.0081,0.1465,0.0385,0.0218,0.0425,0.2493
feature_5,-0.1927,0.0772,0.5738,0.643,0.7056,0.733,2.6554,0.0365,0.0353,0.0375,0.0212,0.1304
feature_6,-0.022,0.0088,0.7101,0.8617,1.0388,1.1396,3.7502,0.0413,0.2549,0.0207,0.0171,0.3339
feature_7,-0.0549,0.022,0.6485,0.6395,0.6341,0.6771,2.5991,0.043,0.0285,0.0728,0.0258,0.1701
feature_8,-0.0436,0.0175,0.5654,0.6755,0.7938,0.8274,2.8621,0.0227,0.0225,0.0401,0.0487,0.134
feature_9,-0.09,0.0361,0.7676,0.7581,0.7362,0.7091,2.971,0.0379,0.0136,0.077,0.0368,0.1652
feature_10,0.149,0.0597,0.6395,0.645,0.7067,0.6786,2.6698,0.0309,0.0319,0.068,0.0395,0.1703
feature_11,-0.2208,0.0885,0.7396,0.7788,0.8058,0.8229,3.1471,0.0363,0.0969,0.0431,0.0307,0.207
feature_12,0.0686,0.0275,1.0769,1.0054,0.905,0.9275,3.9147,0.0938,0.0222,0.0725,0.063,0.2515
feature_13,0.0186,0.0075,0.9291,0.792,0.6129,0.5552,2.8892,0.0446,0.0153,0.0341,0.0853,0.1793
feature_14,0.0841,0.0337,0.4731,0.4984,0.5722,0.5858,2.1294,0.0192,0.021,0.075,0.0199,0.1352
feature_15,-0.0812,0.0325,0.4997,0.5539,0.6371,0.645,2.3357,0.0345,0.0105,0.0364,0.0412,0.1227
feature_16,-0.2002,0.0803,0.5749,0.5345,0.4887,0.46,2.0582,0.0316,0.0114,0.0237,0.0671,0.1338
feature_17,0.1271,0.051,0.7097,0.6836,0.6746,0.6526,2.7206,0.0323,0.0471,0.0476,0.0525,0.1795
feature_18,-0.4249,0.1703,1.98,1.6196,1.1432,0.909,5.6518,0.0249,0.0441,0.0352,0.1428,0.247
feature_19,-0.1208,0.0484,0.6038,0.6644,0.7093,0.7662,2.7438,0.0602,0.0085,0.0402,0.0286,0.1375
feature_20,0.4893,0.1961,0.6978,0.7155,0.7231,0.7097,2.8461,0.0488,0.02,0.0379,0.0546,0.1613
rank_correlation,-0.2792,1.0,0.1234,0.1247,0.2571,0.2143,0.1156,-0.3091,-0.1506,0.0857,0.1584,-0.1377
cosine_similarity,-0.086,1.0,0.7652,0.7533,0.7162,0.6817,0.7378,0.509,0.367,0.6115,0.759,0.6537
