,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0547,0.0219,0.617,0.6231,0.649,0.7768,2.6658,0.0408,0.0159,0.0165,0.1247,0.1979
feature_1,0.0162,0.0065,0.4967,0.4939,0.5103,0.5619,2.0628,0.0297,0.0285,0.0143,0.0685,0.141
feature_2,-0.0066,0.0027,0.6824,0.6994,0.6761,0.7066,2.7646,0.0368,0.0625,0.0333,0.0445,0.1771
feature_3,0.0055,0.0022,0.5329,0.5393,0.5483,0.5409,2.1613,0.0326,0.0406,0.0182,0.0379,0.1294
feature_4,-0.024,0.0096,0.4501,0.4538,0.4756,0.5393,1.9189,0.0443,0.0297,0.019,0.0244,0.1175
feature_5,-0.1927,0.0772,1.1102,1.0902,1.1032,1.1497,4.4533,0.0706,0.1046,0.0388,0.0437,0.2577
feature_6,-0.022,0.0088,0.5343,0.5447,0.544,0.544,2.167,0.0809,0.0125,0.025,0.0212,0.1396
feature_7,-0.0549,0.022,0.4101,0.4271,0.4204,0.4601,1.7178,0.0282,0.02,0.0419,0.0233,0.1134
feature_8,-0.0436,0.0175,0.3644,0.3843,0.3775,0.4143,1.5406,0.0199,0.0342,0.0265,0.0229,0.1036
feature_9,-0.09,0.0361,0.4305,0.4523,0.4514,0.5333,1.8675,0.0199,0.0551,0.0436,0.0181,0.1366
feature_10,0.149,0.0597,0.6232,0.6412,0.6114,0.6186,2.4945,0.0564,0.0352,0.0229,0.0393,0.1538
feature_11,-0.2208,0.0885,1.015,1.0153,1.0059,1.0275,4.0637,0.0218,0.0715,0.0984,0.0598,0.2515
feature_12,0.0686,0.0275,1.2451,1.2123,1.2256,1.0129,4.6959,0.0413,0.1162,0.0149,0.0783,0.2506
feature_13,0.0186,0.0075,1.2257,1.227,1.2202,1.1684,4.8413,0.0155,0.1402,0.1086,0.0514,0.3157
feature_14,0.0841,0.0337,0.569,0.6003,0.5629,0.6019,2.3342,0.0327,0.0351,0.0653,0.0211,0.1542
feature_15,-0.0812,0.0325,0.3847,0.3973,0.3929,0.4304,1.6053,0.02,0.019,0.043,0.0229,0.105
feature_16,-0.2002,0.0803,0.3548,0.3838,0.3793,0.4269,1.5448,0.0426,0.0097,0.0259,0.0242,0.1024
feature_17,0.1271,0.051,0.7532,0.7856,0.7541,0.8405,3.1334,0.0469,0.0373,0.0618,0.0571,0.2031
feature_18,-0.4249,0.1703,1.4415,1.4062,1.4324,1.3425,5.6226,0.0891,0.0119,0.1974,0.0422,0.3406
feature_19,-0.1208,0.0484,0.8396,0.8284,0.8442,0.7736,3.2857,0.0422,0.0615,0.0506,0.0361,0.1904
feature_20,0.4893,0.1961,1.9194,1.7944,1.8152,1.53,7.059,0.1876,0.0587,0.0341,0.1383,0.4188
rank_correlation,-0.2792,1.0,0.3597,0.3519,0.3584,0.3779,0.3558,0.4494,-0.0026,0.461,0.1182,0.3831
cosine_similarity,-0.086,1.0,0.8513,0.8441,0.8455,0.829,0.8437,0.8817,0.5318,0.753,0.731,0.8348
