,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1287,0.0291,0.7812,0.7426,0.757,0.8371,3.1179,0.0433,0.0444,0.0338,0.0714,0.1929
feature_1,0.0267,0.0061,0.7543,0.85,0.7808,0.7403,3.1255,0.0463,0.063,0.022,0.0763,0.2076
feature_2,0.1802,0.0408,0.9697,1.0548,0.9816,0.9052,3.9113,0.062,0.0654,0.0689,0.0623,0.2585
feature_3,-0.009,0.002,0.8349,0.7159,0.779,0.8983,3.2281,0.0438,0.0766,0.0217,0.0534,0.1955
feature_4,0.0109,0.0025,1.271,1.2879,1.2422,1.307,5.1081,0.0754,0.1114,0.0876,0.0434,0.3177
feature_5,0.997,0.2257,0.858,0.7826,0.8384,0.8571,3.3362,0.084,0.0452,0.024,0.0442,0.1974
feature_6,-0.1153,0.0261,0.7091,0.578,0.6691,0.7216,2.6778,0.0251,0.035,0.0445,0.0552,0.1598
feature_7,1.02,0.2309,0.8757,0.8071,0.8546,0.8733,3.4107,0.0636,0.0427,0.0533,0.0484,0.208
feature_8,-0.0222,0.005,0.9764,0.9236,0.9455,1.0481,3.8936,0.0412,0.0943,0.052,0.0608,0.2483
feature_9,-0.3914,0.0886,0.8386,0.7872,0.8658,0.8324,3.324,0.0829,0.042,0.0249,0.0606,0.2104
feature_10,-0.1457,0.033,1.6832,2.2128,1.9963,1.5282,7.4205,0.1788,0.1412,0.0996,0.0857,0.5052
feature_11,-0.1457,0.033,0.8887,0.7558,0.7888,0.9045,3.3378,0.0654,0.0541,0.0275,0.0506,0.1976
feature_12,-0.5629,0.1274,1.4978,1.2745,1.3866,1.4019,5.5609,0.0501,0.0547,0.1717,0.0349,0.3115
feature_13,0.0407,0.0092,0.7419,0.7043,0.7196,0.7475,2.9133,0.0683,0.0297,0.0178,0.0624,0.1782
feature_14,0.0585,0.0132,1.2126,1.3946,1.2864,1.268,5.1616,0.0295,0.0459,0.1463,0.1207,0.3424
feature_15,-0.5629,0.1274,1.1069,1.1284,1.108,1.1295,4.4728,0.0403,0.0544,0.1045,0.0697,0.2689
rank_correlation,0.0,1.0,0.1794,0.1,0.2294,0.0529,0.2206,0.2559,-0.3647,0.2882,-0.2294,0.1118
cosine_similarity,0.4249,1.0,0.6249,0.5743,0.6063,0.6204,0.6079,0.6029,0.4786,0.558,0.5271,0.5834
