,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1287,0.0291,0.1294,0.125,0.1262,0.1373,0.518,0.0433,0.0444,0.0338,0.0714,0.1929
feature_1,0.0267,0.0061,0.1285,0.1396,0.1321,0.126,0.5262,0.0463,0.063,0.022,0.0763,0.2076
feature_2,0.1802,0.0408,0.164,0.1735,0.1664,0.1541,0.6579,0.062,0.0654,0.0689,0.0623,0.2585
feature_3,-0.009,0.002,0.1353,0.1212,0.1278,0.145,0.5292,0.0438,0.0766,0.0217,0.0534,0.1955
feature_4,0.0109,0.0025,0.2118,0.2128,0.2094,0.2171,0.851,0.0754,0.1114,0.0876,0.0434,0.3177
feature_5,0.997,0.2257,0.1406,0.1319,0.1382,0.1411,0.5517,0.084,0.0452,0.024,0.0442,0.1974
feature_6,-0.1153,0.0261,0.1146,0.0996,0.1093,0.1165,0.4399,0.0251,0.035,0.0445,0.0552,0.1598
feature_7,1.02,0.2309,0.1441,0.1363,0.1407,0.1434,0.5645,0.0636,0.0427,0.0533,0.0484,0.208
feature_8,-0.0222,0.005,0.162,0.1557,0.158,0.1716,0.6473,0.0412,0.0943,0.052,0.0608,0.2483
feature_9,-0.3914,0.0886,0.1365,0.1332,0.1409,0.1384,0.5489,0.0829,0.042,0.0249,0.0606,0.2104
feature_10,-0.1457,0.033,0.2921,0.3589,0.3321,0.2718,1.255,0.1788,0.1412,0.0996,0.0857,0.5052
feature_11,-0.1457,0.033,0.1458,0.1278,0.1314,0.1454,0.5505,0.0654,0.0541,0.0275,0.0506,0.1976
feature_12,-0.5629,0.1274,0.2451,0.2158,0.2303,0.2285,0.9196,0.0501,0.0547,0.1717,0.0349,0.3115
feature_13,0.0407,0.0092,0.1219,0.1173,0.1189,0.1232,0.4813,0.0683,0.0297,0.0178,0.0624,0.1782
feature_14,0.0585,0.0132,0.2064,0.2285,0.2166,0.2146,0.8662,0.0295,0.0459,0.1463,0.1207,0.3424
feature_15,-0.5629,0.1274,0.1841,0.1849,0.1837,0.1879,0.7407,0.0403,0.0544,0.1045,0.0697,0.2689
rank_correlation,0.0,1.0,0.2029,0.1324,0.2118,0.0618,0.2353,0.2559,-0.3647,0.2882,-0.2294,0.1118
cosine_similarity,0.4249,1.0,0.6179,0.5807,0.6024,0.6143,0.6047,0.6029,0.4786,0.558,0.5271,0.5834
