,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.1918,0.1918,0.2126,0.2126,0.0804,0.0804
feature_1,0.0161,0.0161,0.2219,0.2219,0.0839,0.0839
feature_2,0.015,0.015,0.1446,0.1446,0.0546,0.0546
feature_3,0.0529,0.0529,0.1455,0.1455,0.0545,0.0545
feature_4,0.0212,0.0212,0.1441,0.1441,0.0534,0.0534
feature_5,0.0224,0.0224,0.1686,0.1686,0.0635,0.0635
feature_6,0.0044,0.0044,0.1453,0.1453,0.0542,0.0542
feature_7,0.0248,0.0248,0.1599,0.1599,0.0606,0.0606
feature_8,0.0482,0.0482,0.121,0.121,0.0448,0.0448
feature_9,0.1161,0.1161,0.1544,0.1544,0.0582,0.0582
feature_10,0.0828,0.0828,0.1712,0.1712,0.0644,0.0644
feature_11,0.0271,0.0271,0.1365,0.1365,0.0512,0.0512
feature_12,0.1059,0.1059,0.1065,0.1065,0.0401,0.0401
feature_13,0.2239,0.2239,0.1697,0.1697,0.0637,0.0637
feature_14,0.0366,0.0366,0.1855,0.1855,0.07,0.07
feature_15,0.011,0.011,0.1301,0.1301,0.0482,0.0482
rank_correlation,1.0,1.0,0.2294,0.2294,0.2118,0.2118
cosine_similarity,1.0,1.0,0.7194,0.7194,0.7198,0.7198
