,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.1609,0.1627,0.1616,0.1599,0.645,0.1034,0.0329,0.0441,0.0629,0.2433
feature_1,-0.0695,0.0201,0.2086,0.2011,0.207,0.2075,0.8243,0.0725,0.0409,0.0917,0.1091,0.3141
feature_2,0.2017,0.0583,0.1451,0.1538,0.1453,0.1489,0.5932,0.0597,0.1008,0.0298,0.0327,0.223
feature_3,0.0765,0.0221,0.0803,0.0806,0.0804,0.0796,0.321,0.0248,0.0313,0.0217,0.0434,0.1213
feature_4,-0.2021,0.0585,0.1502,0.1562,0.1507,0.1517,0.6088,0.0664,0.0639,0.0609,0.0379,0.2291
feature_5,-0.729,0.2109,0.1091,0.1097,0.1093,0.1091,0.4372,0.0479,0.0354,0.0509,0.0322,0.1664
feature_6,-0.4608,0.1333,0.1599,0.1657,0.1605,0.1635,0.6496,0.0402,0.0303,0.1375,0.0347,0.2427
feature_7,0.623,0.1802,0.1605,0.1579,0.1591,0.1599,0.6374,0.0324,0.0788,0.0615,0.0647,0.2373
feature_8,-0.1164,0.0337,0.207,0.2099,0.2072,0.2072,0.8313,0.0726,0.0853,0.1031,0.0431,0.3041
feature_9,0.2737,0.0792,0.0909,0.0929,0.0916,0.0907,0.3661,0.0393,0.0323,0.0227,0.0382,0.1325
feature_10,-0.0112,0.0032,0.2294,0.2214,0.228,0.2283,0.907,0.085,0.0989,0.0576,0.1068,0.3483
feature_11,-0.204,0.059,0.1857,0.1824,0.1862,0.1836,0.7379,0.0979,0.0616,0.0767,0.0458,0.282
feature_12,-0.1029,0.0298,0.089,0.0921,0.0901,0.0896,0.3609,0.0251,0.0282,0.0391,0.0418,0.1341
feature_13,-0.1789,0.0518,0.1695,0.1753,0.1722,0.1711,0.6881,0.0972,0.0323,0.0608,0.0742,0.2645
feature_14,-0.1098,0.0318,0.1045,0.1078,0.1049,0.1057,0.4229,0.0252,0.0573,0.0265,0.0511,0.1601
feature_15,-0.049,0.0142,0.4114,0.3923,0.4079,0.4055,1.6172,0.1106,0.1899,0.1152,0.1815,0.5972
rank_correlation,-0.2971,1.0,-0.3588,-0.3147,-0.35,-0.2882,-0.3147,-0.3382,-0.1471,0.0912,-0.6412,-0.3824
cosine_similarity,-0.2759,1.0,0.5755,0.5878,0.5771,0.5796,0.58,0.5468,0.522,0.6687,0.4753,0.5808
