,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1107,0.0038,0.0254,0.0271,0.0276,0.0271,0.1073,0.0011,0.0013,0.0017,0.0028,0.0069
feature_1,0.0059,0.0002,0.0296,0.0251,0.0266,0.0253,0.1066,0.001,0.0007,0.0006,0.0015,0.0038
feature_2,0.0282,0.001,0.0306,0.0243,0.0269,0.0237,0.1055,0.0013,0.0006,0.0012,0.0013,0.0044
feature_3,-0.003,1e-04,0.0227,0.0217,0.0214,0.0218,0.0875,0.0012,0.0005,0.0016,0.0012,0.0044
feature_4,-0.0267,0.0009,0.0292,0.0266,0.0283,0.0262,0.1103,0.0012,0.0007,0.001,0.0027,0.0056
feature_5,-0.1101,0.0038,0.0283,0.0244,0.0267,0.0254,0.1048,0.0039,0.0021,0.0013,0.0009,0.0082
feature_6,-0.0713,0.0025,0.0214,0.0218,0.0225,0.0225,0.0883,0.0013,0.0008,0.001,0.0019,0.005
feature_7,0.0354,0.0012,0.0221,0.0237,0.0221,0.0235,0.0914,0.0017,0.001,0.0015,0.0012,0.0055
feature_8,0.0334,0.0012,0.0202,0.0192,0.0189,0.0204,0.0787,0.0015,0.0006,0.001,0.001,0.004
feature_9,-0.0585,0.002,0.0277,0.0227,0.0252,0.0229,0.0985,0.0027,0.0008,0.0016,0.0008,0.006
feature_10,0.0543,0.0019,0.0225,0.0214,0.0213,0.022,0.0872,0.0024,0.0009,0.0008,0.0019,0.006
feature_11,0.0324,0.0011,0.0206,0.0213,0.0205,0.0218,0.0841,0.0024,0.0009,0.0013,0.0008,0.0054
feature_12,0.0383,0.0013,0.023,0.0208,0.0199,0.0203,0.0839,0.0016,0.0011,0.0024,0.0011,0.0062
feature_13,-0.0407,0.0014,0.0285,0.0256,0.0272,0.0249,0.1062,0.0014,0.0008,0.001,0.0015,0.0047
feature_14,0.0265,0.0009,0.0233,0.0204,0.0219,0.0202,0.0859,0.0014,0.0007,0.0008,0.0011,0.004
feature_15,0.0246,0.0009,0.0317,0.0271,0.0291,0.0259,0.1138,0.0025,0.0014,0.0008,0.0006,0.0052
feature_16,-0.0692,0.0024,0.0385,0.0293,0.0338,0.0279,0.1295,0.0019,0.0009,0.0007,0.0024,0.0059
feature_17,-0.0582,0.002,0.0352,0.0272,0.0301,0.0266,0.1191,0.001,0.0006,0.0005,0.0026,0.0048
feature_18,-0.0117,0.0004,0.0286,0.0242,0.025,0.024,0.1019,0.002,0.0014,0.001,0.0021,0.0065
feature_19,0.0076,0.0003,0.0225,0.0203,0.0217,0.0208,0.0853,0.0014,0.0011,0.0012,0.0022,0.0059
feature_20,-0.0205,0.0007,0.0271,0.0229,0.0258,0.0233,0.0991,0.002,0.005,0.0017,0.0028,0.0114
feature_21,0.0167,0.0006,0.0349,0.0265,0.0308,0.0268,0.1189,0.0012,0.0012,0.0014,0.0012,0.005
feature_22,0.0338,0.0012,0.0228,0.0206,0.0232,0.0219,0.0885,0.0015,0.0006,0.0016,0.0024,0.0061
feature_23,-0.1689,0.0058,0.038,0.0308,0.0312,0.0349,0.1349,0.0007,0.001,0.0022,0.0016,0.0055
feature_24,0.0568,0.002,0.0252,0.0242,0.0233,0.0241,0.0968,0.0021,0.0018,0.0009,0.0014,0.0062
feature_25,-0.0444,0.0015,0.0229,0.0217,0.0205,0.022,0.0871,0.0017,0.0011,0.0011,0.0009,0.0048
feature_26,-0.1191,0.0041,0.0217,0.0186,0.0192,0.0196,0.0791,0.001,0.0007,0.001,0.002,0.0046
feature_27,0.0785,0.0027,0.024,0.0232,0.0247,0.0233,0.0952,0.002,0.0016,0.0009,0.0031,0.0075
feature_28,-0.016,0.0006,0.0238,0.0227,0.0247,0.0242,0.0954,0.0029,0.0006,0.0006,0.002,0.0061
feature_29,-0.0032,1e-04,0.0219,0.0251,0.0249,0.0252,0.0971,0.0009,0.0062,0.0011,0.0017,0.0099
feature_30,0.0202,0.0007,0.0259,0.0278,0.0285,0.0284,0.1106,0.0034,0.001,0.0012,0.0015,0.0071
feature_31,-0.0144,0.0005,0.0221,0.025,0.0258,0.0265,0.0993,0.0009,0.0013,0.0015,0.0019,0.0055
feature_32,-0.052,0.0018,0.023,0.0227,0.0241,0.023,0.0928,0.0019,0.0019,0.0019,0.0024,0.0081
feature_33,-0.0098,0.0003,0.0406,0.0345,0.0386,0.0328,0.1465,0.0015,0.0006,0.0016,0.0011,0.0049
feature_34,-0.0098,0.0003,0.0241,0.0211,0.0227,0.0211,0.0891,0.0009,0.0005,0.0011,0.0015,0.004
feature_35,0.0033,1e-04,0.0389,0.0375,0.0375,0.037,0.1509,0.0012,0.0017,0.0007,0.0017,0.0053
feature_36,-0.0451,0.0016,0.03,0.0289,0.0284,0.029,0.1163,0.0011,0.0013,0.0026,0.0006,0.0057
feature_37,0.1213,0.0042,0.0206,0.027,0.0255,0.0266,0.0996,0.0013,0.009,0.0032,0.0022,0.0157
feature_38,-0.0179,0.0006,0.02,0.0249,0.0231,0.0248,0.0929,0.0014,0.0045,0.0017,0.0019,0.0095
feature_39,0.1025,0.0035,0.0201,0.0197,0.0197,0.0204,0.08,0.0015,0.0007,0.0015,0.001,0.0048
feature_40,0.0404,0.0014,0.0256,0.0343,0.0292,0.0334,0.1225,0.0013,0.0008,0.0006,0.0021,0.0048
feature_41,0.0372,0.0013,0.0248,0.028,0.0269,0.0276,0.1073,0.003,0.0022,0.0015,0.0019,0.0086
feature_42,-0.0071,0.0002,0.0257,0.0259,0.0246,0.0246,0.1008,0.0025,0.0014,0.0015,0.0013,0.0067
feature_43,-0.0389,0.0013,0.0214,0.0224,0.022,0.0223,0.0881,0.0022,0.0011,0.001,0.0013,0.0057
feature_44,-0.0996,0.0034,0.0282,0.0226,0.0232,0.0228,0.0968,0.0019,0.0012,0.0029,0.0011,0.007
feature_45,-0.0725,0.0025,0.0291,0.0243,0.028,0.026,0.1073,0.0026,0.001,0.0011,0.0016,0.0062
feature_46,-0.0545,0.0019,0.0245,0.0204,0.023,0.0209,0.0888,0.001,0.0009,0.0011,0.0017,0.0045
feature_47,-0.0337,0.0012,0.0291,0.0269,0.029,0.0254,0.1104,0.0016,0.0011,0.0008,0.0022,0.0057
feature_48,0.0688,0.0024,0.0437,0.0358,0.0398,0.0338,0.1531,0.0022,0.0004,0.001,0.0011,0.0047
feature_49,0.1094,0.0038,0.04,0.0322,0.0363,0.0312,0.1397,0.0018,0.0007,0.0009,0.0026,0.0059
feature_50,-0.035,0.0012,0.034,0.0277,0.0307,0.0273,0.1197,0.0012,0.0009,0.0005,0.0017,0.0042
feature_51,0.0429,0.0015,0.0267,0.0242,0.0251,0.0238,0.0998,0.0011,0.0014,0.0009,0.002,0.0053
feature_52,-0.0043,1e-04,0.0215,0.0263,0.0254,0.0276,0.1008,0.0019,0.0018,0.0014,0.0021,0.0072
feature_53,0.0489,0.0017,0.0234,0.0251,0.0262,0.0254,0.1,0.0019,0.0045,0.0016,0.0013,0.0094
feature_54,-0.0314,0.0011,0.0189,0.0243,0.0233,0.0236,0.09,0.0012,0.0051,0.0016,0.0021,0.01
feature_55,0.0662,0.0023,0.0278,0.0228,0.0241,0.0234,0.098,0.0012,0.0005,0.0008,0.0007,0.0033
feature_56,0.0029,1e-04,0.0234,0.0289,0.0251,0.0275,0.1048,0.0019,0.004,0.0033,0.003,0.0121
feature_57,0.0427,0.0015,0.0215,0.024,0.0203,0.0228,0.0886,0.0012,0.002,0.0011,0.0009,0.0051
feature_58,0.0299,0.001,0.0275,0.0257,0.0242,0.0257,0.1031,0.0014,0.0007,0.0007,0.0011,0.0039
feature_59,-0.0415,0.0014,0.022,0.0236,0.0239,0.0233,0.0927,0.0013,0.0008,0.0008,0.0016,0.0046
feature_60,-0.0323,0.0011,0.0249,0.0277,0.0271,0.028,0.1076,0.0008,0.002,0.0009,0.0021,0.0057
feature_61,0.0046,0.0002,0.0232,0.0224,0.0233,0.0226,0.0916,0.0012,0.0007,0.0011,0.0016,0.0047
feature_62,-0.0284,0.001,0.0265,0.0265,0.0284,0.0269,0.1083,0.0013,0.001,0.0012,0.0028,0.0064
feature_63,-0.0356,0.0012,0.0225,0.0245,0.0245,0.0245,0.096,0.0021,0.0011,0.001,0.0005,0.0048
feature_64,-0.0574,0.002,0.0285,0.029,0.0338,0.032,0.1234,0.0011,0.0028,0.0013,0.0031,0.0083
feature_65,0.0625,0.0022,0.0323,0.0263,0.0286,0.0264,0.1136,0.0012,0.0011,0.0007,0.0032,0.0062
feature_66,-0.0417,0.0014,0.0266,0.0241,0.0254,0.024,0.1001,0.0022,0.0008,0.0015,0.0011,0.0057
feature_67,0.0123,0.0004,0.0439,0.0341,0.0388,0.0339,0.1507,0.0012,0.0005,0.0007,0.0009,0.0033
feature_68,0.0438,0.0015,0.0279,0.024,0.0256,0.0245,0.102,0.0011,0.0013,0.0008,0.0012,0.0045
feature_69,-0.1056,0.0037,0.0228,0.0231,0.0236,0.0227,0.0923,0.0009,0.0011,0.0049,0.0021,0.009
feature_70,0.073,0.0025,0.0259,0.0316,0.0314,0.0322,0.1212,0.001,0.0034,0.0022,0.0061,0.0128
feature_71,0.04,0.0014,0.0186,0.0237,0.0226,0.0238,0.0887,0.0012,0.0059,0.0031,0.0021,0.0124
feature_72,0.1257,0.0043,0.0223,0.0349,0.03,0.032,0.1193,0.0013,0.0023,0.003,0.0018,0.0084
feature_73,-0.021,0.0007,0.0215,0.0245,0.0242,0.0251,0.0953,0.0018,0.0014,0.0012,0.0023,0.0067
feature_74,-0.0107,0.0004,0.0282,0.0254,0.0292,0.0272,0.11,0.0051,0.0019,0.0024,0.0017,0.0111
feature_75,0.0491,0.0017,0.0257,0.0221,0.0237,0.0233,0.0947,0.0012,0.0018,0.0012,0.002,0.0062
feature_76,0.0675,0.0023,0.0201,0.023,0.0221,0.023,0.0881,0.002,0.0013,0.0016,0.0025,0.0073
feature_77,-0.0475,0.0016,0.0247,0.0262,0.0257,0.0266,0.1031,0.0018,0.0009,0.0009,0.0022,0.0059
feature_78,0.0149,0.0005,0.0243,0.0244,0.0263,0.0263,0.1013,0.0013,0.0014,0.0021,0.0049,0.0097
feature_79,-0.019,0.0007,0.024,0.0251,0.0252,0.0239,0.0982,0.0018,0.0023,0.0013,0.0016,0.0071
feature_80,-0.0743,0.0026,0.0397,0.035,0.0375,0.0331,0.1453,0.0023,0.0006,0.0009,0.0007,0.0045
feature_81,-0.0322,0.0011,0.0481,0.0361,0.0423,0.0351,0.1617,0.0019,0.0007,0.001,0.0012,0.0048
feature_82,0.0136,0.0005,0.051,0.0403,0.0459,0.0391,0.1764,0.0015,0.0005,0.0013,0.0011,0.0043
feature_83,-0.0086,0.0003,0.035,0.0269,0.0311,0.0268,0.1198,0.001,0.0013,0.0012,0.0013,0.0048
feature_84,-0.0102,0.0004,0.0211,0.0267,0.0247,0.0259,0.0984,0.0009,0.0016,0.0023,0.0029,0.0077
feature_85,-0.0187,0.0006,0.0205,0.0243,0.0242,0.0239,0.0929,0.0028,0.0021,0.0015,0.0019,0.0082
feature_86,-0.0026,1e-04,0.0301,0.0378,0.0382,0.039,0.1451,0.0062,0.0018,0.0074,0.0009,0.0163
feature_87,-0.0049,0.0002,0.0208,0.0224,0.0217,0.0229,0.0878,0.0013,0.002,0.0059,0.0017,0.0109
feature_88,-0.0093,0.0003,0.0222,0.0269,0.0252,0.0259,0.1002,0.0018,0.0021,0.009,0.0011,0.0139
feature_89,0.0068,0.0002,0.0276,0.0268,0.0274,0.0276,0.1094,0.0016,0.0019,0.008,0.0011,0.0127
feature_90,0.0197,0.0007,0.0173,0.0224,0.0202,0.0213,0.0811,0.0012,0.0016,0.003,0.0012,0.007
feature_91,-0.0588,0.002,0.0172,0.0185,0.0182,0.0185,0.0724,0.0015,0.0009,0.0008,0.001,0.0041
feature_92,0.0865,0.003,0.0229,0.0239,0.0253,0.0245,0.0966,0.0012,0.0022,0.0011,0.0019,0.0065
feature_93,-0.0324,0.0011,0.0185,0.0243,0.024,0.0254,0.0922,0.0014,0.0016,0.001,0.0021,0.0061
feature_94,0.0493,0.0017,0.0221,0.0266,0.0254,0.0264,0.1004,0.0023,0.0025,0.0013,0.0024,0.0085
feature_95,-0.02,0.0007,0.0234,0.0284,0.0275,0.0271,0.1063,0.0023,0.0009,0.0015,0.0011,0.0059
feature_96,-0.0241,0.0008,0.0212,0.0195,0.0205,0.0198,0.081,0.0014,0.0008,0.0026,0.0019,0.0067
feature_97,-0.0072,0.0002,0.0388,0.0307,0.0341,0.0294,0.1331,0.0011,0.0009,0.0005,0.0011,0.0036
feature_98,-0.0942,0.0033,0.0328,0.0264,0.0288,0.0256,0.1136,0.001,0.0007,0.0006,0.0009,0.0032
feature_99,0.0067,0.0002,0.0301,0.0282,0.0292,0.0288,0.1163,0.001,0.0007,0.001,0.0012,0.004
feature_100,-0.0237,0.0008,0.0294,0.0276,0.029,0.0278,0.1138,0.002,0.0013,0.0026,0.0017,0.0076
feature_101,0.0269,0.0009,0.0244,0.0257,0.0258,0.0253,0.1012,0.0019,0.0035,0.0032,0.0018,0.0105
feature_102,-0.0735,0.0025,0.0241,0.0324,0.0304,0.0322,0.1191,0.0012,0.0112,0.0028,0.0032,0.0185
feature_103,0.0682,0.0024,0.0224,0.0275,0.0254,0.0256,0.101,0.0012,0.0013,0.0056,0.001,0.0091
feature_104,-0.003,1e-04,0.0167,0.0236,0.0206,0.0221,0.083,0.0013,0.003,0.0023,0.0016,0.0081
feature_105,0.0304,0.0011,0.0182,0.0239,0.0218,0.024,0.088,0.0008,0.0025,0.0026,0.0016,0.0074
feature_106,-0.0837,0.0029,0.0176,0.024,0.0203,0.0227,0.0845,0.0009,0.0015,0.0034,0.0009,0.0067
feature_107,-0.0126,0.0004,0.0282,0.025,0.0273,0.0258,0.1062,0.002,0.0014,0.0012,0.0016,0.0062
feature_108,0.0805,0.0028,0.0181,0.0207,0.0204,0.0207,0.08,0.0013,0.0009,0.0015,0.001,0.0047
feature_109,0.0975,0.0034,0.0241,0.028,0.0275,0.0279,0.1075,0.0021,0.0043,0.0008,0.0018,0.0091
feature_110,0.0032,1e-04,0.0247,0.0263,0.0297,0.0287,0.1094,0.0039,0.0027,0.0015,0.0016,0.0097
feature_111,0.0103,0.0004,0.0247,0.0309,0.031,0.0316,0.1181,0.0033,0.001,0.0021,0.003,0.0095
feature_112,0.0405,0.0014,0.0231,0.0256,0.0257,0.0255,0.0998,0.003,0.0009,0.001,0.001,0.006
feature_113,0.0191,0.0007,0.0246,0.029,0.0267,0.0281,0.1083,0.0013,0.0014,0.0015,0.0018,0.006
feature_114,-0.0038,1e-04,0.0279,0.025,0.0264,0.025,0.1042,0.0019,0.0006,0.0014,0.0011,0.0049
feature_115,-0.0038,1e-04,0.0301,0.0265,0.0283,0.0271,0.112,0.0045,0.0008,0.001,0.0014,0.0077
feature_116,0.0454,0.0016,0.022,0.024,0.024,0.0243,0.0943,0.0021,0.0016,0.0013,0.0012,0.0062
feature_117,-0.0005,0.0,0.0209,0.0249,0.0256,0.0251,0.0965,0.0011,0.0014,0.0014,0.0021,0.0059
feature_118,0.004,1e-04,0.0217,0.0304,0.027,0.0287,0.1078,0.0016,0.0025,0.0026,0.0023,0.0089
feature_119,-0.0111,0.0004,0.0223,0.0269,0.0268,0.0277,0.1037,0.0011,0.002,0.0139,0.0023,0.0193
feature_120,0.0191,0.0007,0.0229,0.029,0.0268,0.0284,0.1071,0.0014,0.0026,0.0153,0.0016,0.021
feature_121,-0.0565,0.002,0.0193,0.022,0.0193,0.0215,0.082,0.001,0.0015,0.002,0.0011,0.0056
feature_122,0.0406,0.0014,0.0199,0.0224,0.0203,0.0223,0.085,0.0018,0.001,0.0012,0.0013,0.0053
feature_123,-0.0635,0.0022,0.0306,0.0238,0.0267,0.025,0.1062,0.0011,0.0014,0.0009,0.0023,0.0057
feature_124,0.1095,0.0038,0.0321,0.0233,0.0278,0.0253,0.1085,0.0013,0.001,0.0007,0.0021,0.0051
feature_125,-0.0401,0.0014,0.0195,0.0202,0.0207,0.021,0.0814,0.0012,0.0011,0.0013,0.0014,0.005
feature_126,-0.0036,1e-04,0.0212,0.0262,0.0244,0.0258,0.0977,0.001,0.0009,0.0006,0.0009,0.0035
feature_127,-0.0231,0.0008,0.0228,0.0248,0.0238,0.0244,0.0957,0.002,0.0005,0.0013,0.0009,0.0046
feature_128,-0.0271,0.0009,0.0379,0.0316,0.035,0.0304,0.1348,0.0012,0.0017,0.0009,0.0018,0.0057
feature_129,0.0347,0.0012,0.0387,0.0306,0.034,0.0297,0.133,0.001,0.0006,0.0007,0.001,0.0033
feature_130,0.062,0.0021,0.0436,0.0328,0.0351,0.0329,0.1444,0.0011,0.0006,0.0007,0.0013,0.0037
feature_131,-0.0262,0.0009,0.0357,0.0292,0.0318,0.0298,0.1264,0.0008,0.0005,0.0005,0.0008,0.0027
feature_132,-0.0492,0.0017,0.0303,0.0225,0.0256,0.0242,0.1026,0.0012,0.0015,0.0007,0.0027,0.0061
feature_133,0.0592,0.002,0.0258,0.0285,0.0292,0.0279,0.1114,0.0018,0.0023,0.0021,0.003,0.0092
feature_134,-0.0013,0.0,0.0232,0.0241,0.0239,0.023,0.0942,0.0018,0.0038,0.0036,0.0024,0.0116
feature_135,-0.0408,0.0014,0.0296,0.0384,0.0358,0.0371,0.1409,0.0014,0.0257,0.0021,0.003,0.032
feature_136,-0.0102,0.0004,0.0248,0.0264,0.0246,0.0249,0.1007,0.0018,0.0035,0.0053,0.0014,0.0119
feature_137,0.0295,0.001,0.0187,0.0222,0.0211,0.0211,0.0831,0.0012,0.0026,0.0008,0.0008,0.0053
feature_138,0.0269,0.0009,0.0211,0.0277,0.0244,0.0265,0.0998,0.0009,0.0015,0.0011,0.0007,0.0042
feature_139,-0.0773,0.0027,0.0215,0.021,0.0212,0.0208,0.0845,0.001,0.0005,0.0009,0.0009,0.0033
feature_140,-0.0228,0.0008,0.0209,0.0243,0.0231,0.0237,0.0921,0.0015,0.0014,0.001,0.0019,0.0058
feature_141,-0.0195,0.0007,0.0269,0.0391,0.0321,0.0374,0.1356,0.0011,0.0011,0.0017,0.001,0.0049
feature_142,0.1019,0.0035,0.0225,0.0284,0.0266,0.0276,0.105,0.0018,0.0059,0.0013,0.0016,0.0106
feature_143,-0.0825,0.0029,0.0195,0.0262,0.025,0.0251,0.0957,0.002,0.0012,0.0023,0.0019,0.0074
feature_144,-0.0489,0.0017,0.019,0.0257,0.0246,0.0253,0.0946,0.0021,0.0029,0.0011,0.0012,0.0073
feature_145,0.0469,0.0016,0.0302,0.0341,0.0356,0.0332,0.1331,0.003,0.0023,0.0007,0.0018,0.0078
