,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0,0.0,0.0037,0.0037,0.0013,0.0013
feature_1,0.0,0.0,0.0039,0.0039,0.0016,0.0016
feature_2,0.0145,0.0145,0.0048,0.0048,0.0018,0.0018
feature_3,0.0,0.0,0.0036,0.0036,0.0013,0.0013
feature_4,0.0,0.0,0.004,0.004,0.0015,0.0015
feature_5,0.0,0.0,0.0046,0.0046,0.0016,0.0016
feature_6,0.0,0.0,0.0044,0.0044,0.0018,0.0018
feature_7,0.0,0.0,0.0043,0.0043,0.0016,0.0016
feature_8,0.0,0.0,0.0038,0.0038,0.0014,0.0014
feature_9,0.0,0.0,0.0046,0.0046,0.0017,0.0017
feature_10,0.0,0.0,0.005,0.005,0.0018,0.0018
feature_11,0.0035,0.0035,0.0046,0.0046,0.0016,0.0016
feature_12,0.0,0.0,0.0046,0.0046,0.0018,0.0018
feature_13,0.0079,0.0079,0.0041,0.0041,0.0015,0.0015
feature_14,0.0,0.0,0.0046,0.0046,0.0016,0.0016
feature_15,0.0,0.0,0.0053,0.0053,0.0019,0.0019
feature_16,0.0,0.0,0.0033,0.0033,0.0013,0.0013
feature_17,0.0,0.0,0.0045,0.0045,0.0019,0.0019
feature_18,0.0,0.0,0.0059,0.0059,0.0024,0.0024
feature_19,0.0,0.0,0.0035,0.0035,0.0013,0.0013
feature_20,0.0,0.0,0.0044,0.0044,0.0017,0.0017
feature_21,0.0,0.0,0.0047,0.0047,0.0016,0.0016
feature_22,0.0,0.0,0.0041,0.0041,0.0014,0.0014
feature_23,0.0,0.0,0.0042,0.0042,0.0016,0.0016
feature_24,0.0,0.0,0.0047,0.0047,0.0019,0.0019
feature_25,0.0,0.0,0.0036,0.0036,0.0013,0.0013
feature_26,0.0,0.0,0.0046,0.0046,0.0018,0.0018
feature_27,0.0,0.0,0.0033,0.0033,0.0012,0.0012
feature_28,0.0,0.0,0.0041,0.0041,0.0015,0.0015
feature_29,0.0,0.0,0.0048,0.0048,0.0019,0.0019
feature_30,0.0008,0.0008,0.0046,0.0046,0.0018,0.0018
feature_31,0.0,0.0,0.0046,0.0046,0.0018,0.0018
feature_32,0.0,0.0,0.0042,0.0042,0.0016,0.0016
feature_33,0.0,0.0,0.0043,0.0043,0.0014,0.0014
feature_34,0.0,0.0,0.0041,0.0041,0.0015,0.0015
feature_35,0.0,0.0,0.0044,0.0044,0.0016,0.0016
feature_36,0.0,0.0,0.0036,0.0036,0.0013,0.0013
feature_37,0.0,0.0,0.0049,0.0049,0.0018,0.0018
feature_38,0.0,0.0,0.0047,0.0047,0.0017,0.0017
feature_39,0.0,0.0,0.0037,0.0037,0.0014,0.0014
feature_40,0.0,0.0,0.0054,0.0054,0.0022,0.0022
feature_41,0.0,0.0,0.0049,0.0049,0.0018,0.0018
feature_42,0.0,0.0,0.005,0.005,0.0022,0.0022
feature_43,0.0,0.0,0.004,0.004,0.0014,0.0014
feature_44,0.0,0.0,0.0046,0.0046,0.0019,0.0019
feature_45,0.0036,0.0036,0.0041,0.0041,0.0015,0.0015
feature_46,0.0037,0.0037,0.0045,0.0045,0.0017,0.0017
feature_47,0.0,0.0,0.0037,0.0037,0.0014,0.0014
feature_48,0.0,0.0,0.0047,0.0047,0.0017,0.0017
feature_49,0.0,0.0,0.0047,0.0047,0.0018,0.0018
feature_50,0.0,0.0,0.0042,0.0042,0.0017,0.0017
feature_51,0.0,0.0,0.0047,0.0047,0.0018,0.0018
feature_52,0.0,0.0,0.0051,0.0051,0.0019,0.0019
feature_53,0.0,0.0,0.0042,0.0042,0.0017,0.0017
feature_54,0.0,0.0,0.0037,0.0037,0.0014,0.0014
feature_55,0.0,0.0,0.0034,0.0034,0.0013,0.0013
feature_56,0.0,0.0,0.004,0.004,0.0015,0.0015
feature_57,0.0,0.0,0.0042,0.0042,0.0015,0.0015
feature_58,0.0,0.0,0.004,0.004,0.0015,0.0015
feature_59,0.0,0.0,0.0043,0.0043,0.0016,0.0016
feature_60,0.0,0.0,0.0048,0.0048,0.0019,0.0019
feature_61,0.0,0.0,0.0038,0.0038,0.0014,0.0014
feature_62,0.0,0.0,0.0041,0.0041,0.0014,0.0014
feature_63,0.0,0.0,0.0053,0.0053,0.0021,0.0021
feature_64,0.0,0.0,0.0036,0.0036,0.0013,0.0013
feature_65,0.0,0.0,0.0054,0.0054,0.0021,0.0021
feature_66,0.0,0.0,0.0044,0.0044,0.0017,0.0017
feature_67,0.0,0.0,0.0041,0.0041,0.0015,0.0015
feature_68,0.0,0.0,0.0041,0.0041,0.0015,0.0015
feature_69,0.0013,0.0013,0.0034,0.0034,0.0013,0.0013
feature_70,0.001,0.001,0.005,0.005,0.0019,0.0019
feature_71,0.0,0.0,0.0045,0.0045,0.0017,0.0017
feature_72,0.0033,0.0033,0.0043,0.0043,0.0015,0.0015
feature_73,0.0,0.0,0.0042,0.0042,0.0016,0.0016
feature_74,0.0,0.0,0.0044,0.0044,0.0016,0.0016
feature_75,0.0,0.0,0.0045,0.0045,0.0018,0.0018
feature_76,0.0,0.0,0.0046,0.0046,0.0018,0.0018
feature_77,0.0,0.0,0.0042,0.0042,0.0015,0.0015
feature_78,0.0,0.0,0.0043,0.0043,0.0015,0.0015
feature_79,0.0,0.0,0.0034,0.0034,0.0013,0.0013
feature_80,0.0,0.0,0.0036,0.0036,0.0014,0.0014
feature_81,0.0004,0.0004,0.0047,0.0047,0.0018,0.0018
feature_82,0.0,0.0,0.0049,0.0049,0.0018,0.0018
