,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1107,0.0038,0.0191,0.023,0.0212,0.0185,0.0818,0.0017,0.0013,0.0008,0.0014,0.0052
feature_1,0.0059,0.0002,0.0344,0.0356,0.0347,0.0361,0.1408,0.0008,0.0028,0.0035,0.0016,0.0088
feature_2,0.0282,0.001,0.0229,0.0246,0.0232,0.0223,0.093,0.0011,0.0014,0.0014,0.0019,0.0057
feature_3,-0.003,1e-04,0.0262,0.0218,0.0252,0.0263,0.0995,0.0014,0.0008,0.0013,0.0028,0.0063
feature_4,-0.0267,0.0009,0.0177,0.0201,0.0184,0.0171,0.0733,0.0007,0.0009,0.0018,0.0011,0.0044
feature_5,-0.1101,0.0038,0.0251,0.0232,0.0255,0.0247,0.0985,0.002,0.0015,0.0013,0.0011,0.006
feature_6,-0.0713,0.0025,0.0372,0.0338,0.0362,0.0377,0.1448,0.0032,0.0027,0.0005,0.0026,0.0091
feature_7,0.0354,0.0012,0.0227,0.0239,0.0221,0.0236,0.0922,0.0019,0.0012,0.0007,0.0022,0.006
feature_8,0.0334,0.0012,0.0226,0.0245,0.0229,0.0235,0.0934,0.0025,0.0019,0.0004,0.0011,0.0059
feature_9,-0.0585,0.002,0.0238,0.0219,0.0238,0.0246,0.0941,0.0006,0.0012,0.0026,0.0015,0.0059
feature_10,0.0543,0.0019,0.0217,0.0272,0.0234,0.0192,0.0916,0.0011,0.0014,0.0022,0.0008,0.0055
feature_11,0.0324,0.0011,0.0202,0.0266,0.0204,0.0181,0.0853,0.0011,0.0015,0.001,0.0019,0.0055
feature_12,0.0383,0.0013,0.0279,0.0279,0.0287,0.0284,0.1128,0.0013,0.001,0.0027,0.0023,0.0072
feature_13,-0.0407,0.0014,0.0246,0.0275,0.0252,0.024,0.1013,0.0006,0.0009,0.0026,0.002,0.0061
feature_14,0.0265,0.0009,0.02,0.0226,0.0196,0.0213,0.0834,0.0022,0.001,0.0009,0.0012,0.0054
feature_15,0.0246,0.0009,0.0177,0.0159,0.0181,0.0178,0.0694,0.0014,0.0006,0.0009,0.0013,0.0042
feature_16,-0.0692,0.0024,0.0366,0.0356,0.0355,0.0399,0.1476,0.0024,0.0016,0.0035,0.0019,0.0093
feature_17,-0.0582,0.002,0.0383,0.0431,0.0382,0.0395,0.1591,0.0026,0.0026,0.0027,0.0017,0.0096
feature_18,-0.0117,0.0004,0.0214,0.0319,0.0232,0.0198,0.0963,0.0015,0.0019,0.0014,0.001,0.0058
feature_19,0.0076,0.0003,0.0209,0.0276,0.0233,0.0201,0.0918,0.0014,0.0013,0.0019,0.0011,0.0057
feature_20,-0.0205,0.0007,0.0156,0.0215,0.0169,0.0147,0.0686,0.0015,0.0011,0.0009,0.0009,0.0043
