,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1107,0.0038,0.0029,0.0033,0.003,0.0028,0.012,0.0017,0.0013,0.0008,0.0014,0.0052
feature_1,0.0059,0.0002,0.005,0.0051,0.0051,0.0052,0.0204,0.0008,0.0028,0.0035,0.0016,0.0088
feature_2,0.0282,0.001,0.0033,0.0035,0.0034,0.0033,0.0135,0.0011,0.0014,0.0014,0.0019,0.0057
feature_3,-0.003,1e-04,0.0037,0.0032,0.0036,0.0037,0.0142,0.0014,0.0008,0.0013,0.0028,0.0063
feature_4,-0.0267,0.0009,0.0026,0.0029,0.0027,0.0026,0.0107,0.0007,0.0009,0.0018,0.0011,0.0044
feature_5,-0.1101,0.0038,0.0036,0.0034,0.0036,0.0035,0.0142,0.002,0.0015,0.0013,0.0011,0.006
feature_6,-0.0713,0.0025,0.0053,0.0049,0.0052,0.0053,0.0208,0.0032,0.0027,0.0005,0.0026,0.0091
feature_7,0.0354,0.0012,0.0033,0.0035,0.0032,0.0034,0.0133,0.0019,0.0012,0.0007,0.0022,0.006
feature_8,0.0334,0.0012,0.0033,0.0035,0.0033,0.0034,0.0135,0.0025,0.0019,0.0004,0.0011,0.0059
feature_9,-0.0585,0.002,0.0034,0.0032,0.0034,0.0035,0.0135,0.0006,0.0012,0.0026,0.0015,0.0059
feature_10,0.0543,0.0019,0.0032,0.0039,0.0034,0.003,0.0135,0.0011,0.0014,0.0022,0.0008,0.0055
feature_11,0.0324,0.0011,0.003,0.0038,0.003,0.0028,0.0127,0.0011,0.0015,0.001,0.0019,0.0055
feature_12,0.0383,0.0013,0.0041,0.004,0.0041,0.0041,0.0164,0.0013,0.001,0.0027,0.0023,0.0072
feature_13,-0.0407,0.0014,0.0036,0.004,0.0037,0.0035,0.0148,0.0006,0.0009,0.0026,0.002,0.0061
feature_14,0.0265,0.0009,0.0029,0.0032,0.0029,0.0031,0.0121,0.0022,0.001,0.0009,0.0012,0.0054
feature_15,0.0246,0.0009,0.0025,0.0023,0.0026,0.0025,0.01,0.0014,0.0006,0.0009,0.0013,0.0042
feature_16,-0.0692,0.0024,0.0053,0.0051,0.0052,0.0056,0.0213,0.0024,0.0016,0.0035,0.0019,0.0093
feature_17,-0.0582,0.002,0.0056,0.0062,0.0056,0.0057,0.0231,0.0026,0.0026,0.0027,0.0017,0.0096
feature_18,-0.0117,0.0004,0.0033,0.0045,0.0034,0.0031,0.0143,0.0015,0.0019,0.0014,0.001,0.0058
feature_19,0.0076,0.0003,0.0032,0.0039,0.0033,0.0031,0.0135,0.0014,0.0013,0.0019,0.0011,0.0057
feature_20,-0.0205,0.0007,0.0024,0.003,0.0025,0.0023,0.0101,0.0015,0.0011,0.0009,0.0009,0.0043
feature_21,0.0167,0.0006,0.0031,0.0029,0.0032,0.0031,0.0123,0.002,0.0008,0.001,0.0016,0.0054
feature_22,0.0338,0.0012,0.0042,0.0044,0.0042,0.0044,0.0172,0.0012,0.0013,0.0031,0.0019,0.0075
feature_23,-0.1689,0.0058,0.0042,0.0044,0.0041,0.004,0.0167,0.0008,0.0027,0.0018,0.0017,0.007
feature_24,0.0568,0.002,0.0049,0.0052,0.0048,0.0048,0.0197,0.0009,0.0015,0.0032,0.0029,0.0085
feature_25,-0.0444,0.0015,0.0045,0.0039,0.0045,0.0045,0.0174,0.0011,0.0015,0.0037,0.0012,0.0075
feature_26,-0.1191,0.0041,0.0049,0.0045,0.0047,0.0053,0.0194,0.0008,0.0037,0.0021,0.0022,0.0088
feature_27,0.0785,0.0027,0.0031,0.0029,0.0032,0.0031,0.0124,0.0006,0.0007,0.0027,0.0014,0.0053
feature_28,-0.016,0.0006,0.0037,0.0039,0.0037,0.0037,0.0149,0.0012,0.0017,0.002,0.0017,0.0065
feature_29,-0.0032,1e-04,0.0043,0.0042,0.0043,0.0045,0.0173,0.0027,0.0019,0.001,0.0021,0.0078
feature_30,0.0202,0.0007,0.0038,0.0041,0.0039,0.0038,0.0156,0.0015,0.0027,0.0011,0.0014,0.0066
feature_31,-0.0144,0.0005,0.0036,0.0039,0.0036,0.0036,0.0147,0.0037,0.001,0.0009,0.0008,0.0064
feature_32,-0.052,0.0018,0.0052,0.0044,0.0049,0.0051,0.0196,0.0017,0.005,0.0006,0.0012,0.0085
feature_33,-0.0098,0.0003,0.0032,0.0032,0.0032,0.0033,0.0129,0.0012,0.0025,0.0009,0.0011,0.0058
feature_34,-0.0098,0.0003,0.0034,0.0032,0.0036,0.0036,0.0138,0.0021,0.0008,0.0014,0.0018,0.0061
feature_35,0.0033,1e-04,0.0035,0.0034,0.0034,0.0035,0.0139,0.0013,0.002,0.0008,0.0022,0.0062
feature_36,-0.0451,0.0016,0.0034,0.0038,0.0033,0.0033,0.0139,0.0017,0.0015,0.0011,0.0019,0.0062
feature_37,0.1213,0.0042,0.0042,0.0038,0.0042,0.0042,0.0164,0.0017,0.003,0.0008,0.0017,0.0071
feature_38,-0.0179,0.0006,0.003,0.0032,0.0031,0.0029,0.0121,0.0016,0.0011,0.0011,0.0012,0.005
feature_39,0.1025,0.0035,0.0038,0.0047,0.0038,0.0036,0.0159,0.0018,0.0021,0.0014,0.0015,0.0067
feature_40,0.0404,0.0014,0.0032,0.0031,0.0031,0.0031,0.0126,0.0015,0.0011,0.0006,0.0026,0.0059
feature_41,0.0372,0.0013,0.0028,0.0024,0.0026,0.0027,0.0106,0.0009,0.0011,0.0006,0.0021,0.0048
feature_42,-0.0071,0.0002,0.0056,0.0061,0.0054,0.0052,0.0223,0.0029,0.0029,0.0023,0.0014,0.0095
feature_43,-0.0389,0.0013,0.0033,0.003,0.0033,0.0032,0.0127,0.0012,0.0011,0.0008,0.0018,0.005
feature_44,-0.0996,0.0034,0.004,0.0036,0.0041,0.004,0.0157,0.0028,0.0015,0.0015,0.001,0.0068
feature_45,-0.0725,0.0025,0.003,0.0031,0.003,0.0028,0.0119,0.0013,0.0015,0.0009,0.0012,0.0049
feature_46,-0.0545,0.0019,0.0042,0.0038,0.0041,0.0041,0.0162,0.0019,0.0028,0.0008,0.0014,0.0069
feature_47,-0.0337,0.0012,0.0033,0.0029,0.0032,0.0033,0.0126,0.0007,0.0013,0.001,0.0027,0.0057
feature_48,0.0688,0.0024,0.0036,0.0036,0.0038,0.0038,0.0147,0.0013,0.0018,0.0008,0.0026,0.0065
