,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.1107,0.0038,0.0037,0.0037,0.0013,0.0013
feature_1,0.0059,0.0002,0.0039,0.0039,0.0016,0.0016
feature_2,0.0282,0.001,0.0048,0.0048,0.0018,0.0018
feature_3,-0.003,1e-04,0.0036,0.0036,0.0013,0.0013
feature_4,-0.0267,0.0009,0.004,0.004,0.0015,0.0015
feature_5,-0.1101,0.0038,0.0046,0.0046,0.0016,0.0016
feature_6,-0.0713,0.0025,0.0044,0.0044,0.0018,0.0018
feature_7,0.0354,0.0012,0.0043,0.0043,0.0016,0.0016
feature_8,0.0334,0.0012,0.0038,0.0038,0.0014,0.0014
feature_9,-0.0585,0.002,0.0046,0.0046,0.0017,0.0017
feature_10,0.0543,0.0019,0.005,0.005,0.0018,0.0018
feature_11,0.0324,0.0011,0.0046,0.0046,0.0016,0.0016
feature_12,0.0383,0.0013,0.0046,0.0046,0.0018,0.0018
feature_13,-0.0407,0.0014,0.0041,0.0041,0.0015,0.0015
feature_14,0.0265,0.0009,0.0046,0.0046,0.0016,0.0016
feature_15,0.0246,0.0009,0.0053,0.0053,0.0019,0.0019
feature_16,-0.0692,0.0024,0.0033,0.0033,0.0013,0.0013
feature_17,-0.0582,0.002,0.0045,0.0045,0.0019,0.0019
feature_18,-0.0117,0.0004,0.0059,0.0059,0.0024,0.0024
feature_19,0.0076,0.0003,0.0035,0.0035,0.0013,0.0013
feature_20,-0.0205,0.0007,0.0044,0.0044,0.0017,0.0017
feature_21,0.0167,0.0006,0.0047,0.0047,0.0016,0.0016
feature_22,0.0338,0.0012,0.0041,0.0041,0.0014,0.0014
feature_23,-0.1689,0.0058,0.0042,0.0042,0.0016,0.0016
feature_24,0.0568,0.002,0.0047,0.0047,0.0019,0.0019
feature_25,-0.0444,0.0015,0.0036,0.0036,0.0013,0.0013
feature_26,-0.1191,0.0041,0.0046,0.0046,0.0018,0.0018
feature_27,0.0785,0.0027,0.0033,0.0033,0.0012,0.0012
feature_28,-0.016,0.0006,0.0041,0.0041,0.0015,0.0015
feature_29,-0.0032,1e-04,0.0048,0.0048,0.0019,0.0019
feature_30,0.0202,0.0007,0.0046,0.0046,0.0018,0.0018
feature_31,-0.0144,0.0005,0.0046,0.0046,0.0018,0.0018
feature_32,-0.052,0.0018,0.0042,0.0042,0.0016,0.0016
feature_33,-0.0098,0.0003,0.0043,0.0043,0.0014,0.0014
feature_34,-0.0098,0.0003,0.0041,0.0041,0.0015,0.0015
feature_35,0.0033,1e-04,0.0044,0.0044,0.0016,0.0016
feature_36,-0.0451,0.0016,0.0036,0.0036,0.0013,0.0013
feature_37,0.1213,0.0042,0.0049,0.0049,0.0018,0.0018
feature_38,-0.0179,0.0006,0.0047,0.0047,0.0017,0.0017
feature_39,0.1025,0.0035,0.0037,0.0037,0.0014,0.0014
feature_40,0.0404,0.0014,0.0054,0.0054,0.0022,0.0022
feature_41,0.0372,0.0013,0.0049,0.0049,0.0018,0.0018
feature_42,-0.0071,0.0002,0.005,0.005,0.0022,0.0022
feature_43,-0.0389,0.0013,0.004,0.004,0.0014,0.0014
feature_44,-0.0996,0.0034,0.0046,0.0046,0.0019,0.0019
feature_45,-0.0725,0.0025,0.0041,0.0041,0.0015,0.0015
feature_46,-0.0545,0.0019,0.0045,0.0045,0.0017,0.0017
feature_47,-0.0337,0.0012,0.0037,0.0037,0.0014,0.0014
feature_48,0.0688,0.0024,0.0047,0.0047,0.0017,0.0017
feature_49,0.1094,0.0038,0.0047,0.0047,0.0018,0.0018
feature_50,-0.035,0.0012,0.0042,0.0042,0.0017,0.0017
feature_51,0.0429,0.0015,0.0047,0.0047,0.0018,0.0018
feature_52,-0.0043,1e-04,0.0051,0.0051,0.0019,0.0019
feature_53,0.0489,0.0017,0.0042,0.0042,0.0017,0.0017
feature_54,-0.0314,0.0011,0.0037,0.0037,0.0014,0.0014
feature_55,0.0662,0.0023,0.0034,0.0034,0.0013,0.0013
feature_56,0.0029,1e-04,0.004,0.004,0.0015,0.0015
feature_57,0.0427,0.0015,0.0042,0.0042,0.0015,0.0015
feature_58,0.0299,0.001,0.004,0.004,0.0015,0.0015
feature_59,-0.0415,0.0014,0.0043,0.0043,0.0016,0.0016
feature_60,-0.0323,0.0011,0.0048,0.0048,0.0019,0.0019
feature_61,0.0046,0.0002,0.0038,0.0038,0.0014,0.0014
feature_62,-0.0284,0.001,0.0041,0.0041,0.0014,0.0014
feature_63,-0.0356,0.0012,0.0053,0.0053,0.0021,0.0021
feature_64,-0.0574,0.002,0.0036,0.0036,0.0013,0.0013
feature_65,0.0625,0.0022,0.0054,0.0054,0.0021,0.0021
feature_66,-0.0417,0.0014,0.0044,0.0044,0.0017,0.0017
feature_67,0.0123,0.0004,0.0041,0.0041,0.0015,0.0015
feature_68,0.0438,0.0015,0.0041,0.0041,0.0015,0.0015
