,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.6475,0.1017,0.3959,0.3894,0.3774,0.3821,1.5448,0.0184,0.0141,0.0276,0.0113,0.0714
feature_1,-0.5266,0.0827,0.4741,0.4314,0.4282,0.5356,1.8692,0.025,0.0502,0.0245,0.0193,0.119
feature_2,0.5555,0.0873,0.4488,0.4898,0.5098,0.4202,1.8686,0.0488,0.0197,0.0276,0.0161,0.1122
feature_3,0.5295,0.0832,0.5297,0.5489,0.5396,0.4837,2.1019,0.049,0.0376,0.038,0.0307,0.1553
feature_4,-0.3439,0.054,0.5807,0.6651,0.7264,0.5235,2.4957,0.0549,0.0303,0.0323,0.0221,0.1397
feature_5,0.0226,0.0035,0.6041,0.6623,0.6863,0.5136,2.4663,0.0321,0.0206,0.0435,0.0479,0.1442
feature_6,0.0379,0.006,0.5389,0.5758,0.5915,0.5055,2.2118,0.0421,0.022,0.0227,0.1017,0.1885
feature_7,0.0663,0.0104,0.4798,0.5054,0.5174,0.4613,1.9639,0.0287,0.0163,0.0413,0.0253,0.1116
feature_8,0.0612,0.0096,0.5123,0.5533,0.5596,0.448,2.0733,0.0199,0.0141,0.0449,0.0698,0.1486
feature_9,0.0924,0.0145,0.4811,0.4362,0.4146,0.5167,1.8486,0.0186,0.0329,0.0369,0.01,0.0984
feature_10,0.0908,0.0143,0.5392,0.5686,0.6175,0.5676,2.2928,0.0201,0.1071,0.0239,0.0666,0.2175
feature_11,-0.0384,0.006,0.4902,0.4734,0.4659,0.5105,1.94,0.0342,0.0333,0.0251,0.0327,0.1253
feature_12,-0.0212,0.0033,0.507,0.5023,0.4843,0.4785,1.972,0.0246,0.023,0.0269,0.0217,0.0961
feature_13,0.0024,0.0004,0.5026,0.5373,0.5535,0.4576,2.051,0.0252,0.0164,0.0412,0.0364,0.1192
feature_14,-0.179,0.0281,0.5139,0.5126,0.5138,0.5334,2.0737,0.0543,0.0199,0.0293,0.0389,0.1425
feature_15,-0.3096,0.0486,0.5518,0.5578,0.5602,0.543,2.2129,0.0326,0.0193,0.0304,0.0171,0.0994
feature_16,-0.3873,0.0608,0.732,0.6605,0.6039,0.767,2.7634,0.0302,0.0924,0.0289,0.0531,0.2047
feature_17,-0.445,0.0699,0.6695,0.6094,0.6313,0.8209,2.7311,0.0205,0.0993,0.0544,0.0127,0.1868
feature_18,-0.3741,0.0588,0.7967,0.9017,0.9481,0.7195,3.366,0.0715,0.0297,0.029,0.1651,0.2953
feature_19,-0.3775,0.0593,0.761,0.6565,0.5804,0.8038,2.8017,0.0211,0.0337,0.0469,0.0112,0.1128
feature_20,-0.4461,0.0701,0.7267,0.7847,0.7735,0.6318,2.9168,0.0819,0.0283,0.0371,0.049,0.1963
feature_21,-0.4192,0.0659,0.6496,0.6401,0.6112,0.6116,2.5126,0.0281,0.0206,0.0447,0.0139,0.1072
feature_22,-0.1994,0.0313,0.9933,0.8541,0.805,1.1469,3.7994,0.082,0.0621,0.0525,0.021,0.2176
feature_23,-0.1005,0.0158,0.5886,0.653,0.6819,0.5054,2.4289,0.0345,0.0148,0.0807,0.0258,0.1558
feature_24,0.0155,0.0024,0.6554,0.6475,0.6286,0.6211,2.5526,0.031,0.0242,0.0573,0.0333,0.1458
feature_25,0.0759,0.0119,0.7631,0.6538,0.6459,0.9567,3.0195,0.0308,0.0944,0.0259,0.0244,0.1755
rank_correlation,-0.468,1.0,0.0236,-0.0065,-0.0496,0.1576,0.0516,0.1036,0.1679,-0.0462,-0.4092,-0.0215
cosine_similarity,-0.5256,1.0,0.7559,0.7556,0.7502,0.7458,0.7554,0.747,0.6469,0.6936,0.5107,0.7265
