,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.377,0.377,0.1032,0.1032,0.0389,0.0389
feature_1,0.2101,0.2101,0.088,0.088,0.0317,0.0317
feature_2,0.1846,0.1846,0.1064,0.1064,0.0382,0.0382
feature_3,0.0646,0.0646,0.0757,0.0757,0.0276,0.0276
feature_4,0.122,0.122,0.0989,0.0989,0.0411,0.0411
feature_5,0.0071,0.0071,0.0699,0.0699,0.0257,0.0257
feature_6,0.0153,0.0153,0.1006,0.1006,0.0382,0.0382
feature_7,0.0038,0.0038,0.1182,0.1182,0.0452,0.0452
feature_8,0.0004,0.0004,0.0964,0.0964,0.0367,0.0367
feature_9,0.0009,0.0009,0.087,0.087,0.0328,0.0328
feature_10,0.0067,0.0067,0.14,0.14,0.0601,0.0601
feature_11,0.0014,0.0014,0.1384,0.1384,0.0532,0.0532
feature_12,0.0002,0.0002,0.0993,0.0993,0.0367,0.0367
feature_13,0.0005,0.0005,0.098,0.098,0.0394,0.0394
feature_14,0.0033,0.0033,0.0809,0.0809,0.0286,0.0286
feature_15,0.0001,0.0001,0.0878,0.0878,0.0322,0.0322
feature_16,0.0,0.0,0.1155,0.1155,0.0411,0.0411
feature_17,0.0002,0.0002,0.0601,0.0601,0.024,0.024
feature_18,0.0003,0.0003,0.1167,0.1167,0.0417,0.0417
feature_19,0.0,0.0,0.112,0.112,0.0392,0.0392
feature_20,0.0,0.0,0.0911,0.0911,0.0327,0.0327
feature_21,0.0,0.0,0.13,0.13,0.048,0.048
feature_22,0.0016,0.0016,0.0907,0.0907,0.0325,0.0325
feature_23,0.0,0.0,0.0843,0.0843,0.0321,0.0321
feature_24,0.0,0.0,0.1011,0.1011,0.0372,0.0372
feature_25,0.0,0.0,0.0923,0.0923,0.0343,0.0343
rank_correlation,1.0,1.0,-0.044,-0.044,-0.021,-0.021
cosine_similarity,1.0,1.0,0.3892,0.3892,0.387,0.387
