,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.6475,0.1017,0.3873,0.3414,0.3593,0.3495,1.4375,0.0194,0.013,0.0364,0.0218,0.0907
feature_1,-0.5266,0.0827,0.6338,0.5796,0.5767,0.5821,2.3722,0.0262,0.0588,0.0376,0.0295,0.1521
feature_2,0.5555,0.0873,0.4839,0.4788,0.4938,0.4783,1.9347,0.0591,0.0247,0.0161,0.0243,0.1242
feature_3,0.5295,0.0832,1.0165,0.9916,1.0806,1.0309,4.1196,0.0396,0.0117,0.0669,0.1361,0.2543
feature_4,-0.3439,0.054,0.658,0.6054,0.6009,0.5886,2.4529,0.0362,0.0458,0.0457,0.0295,0.1571
feature_5,0.0226,0.0035,0.5184,0.5865,0.6167,0.6074,2.329,0.0485,0.065,0.0125,0.0212,0.1471
feature_6,0.0379,0.006,0.4406,0.4496,0.4199,0.4242,1.7343,0.0237,0.0112,0.0507,0.0217,0.1073
feature_7,0.0663,0.0104,0.8093,0.885,0.8956,0.9139,3.5037,0.1016,0.021,0.0545,0.0341,0.2112
feature_8,0.0612,0.0096,0.76,0.6664,0.6626,0.6665,2.7555,0.0696,0.0407,0.0433,0.0231,0.1767
feature_9,0.0924,0.0145,0.7237,0.6347,0.6225,0.6193,2.6001,0.0411,0.0521,0.0456,0.0298,0.1686
feature_10,0.0908,0.0143,0.4053,0.3992,0.3794,0.3912,1.5751,0.0326,0.0157,0.0223,0.0297,0.1003
feature_11,-0.0384,0.006,0.6776,0.696,0.6983,0.6668,2.7387,0.0485,0.0438,0.0494,0.0345,0.1762
feature_12,-0.0212,0.0033,0.6678,0.6651,0.6625,0.6515,2.6468,0.0337,0.0171,0.0453,0.0684,0.1645
feature_13,0.0023,0.0004,0.6815,0.6455,0.6051,0.6226,2.5547,0.0348,0.0094,0.0563,0.0596,0.1601
feature_14,-0.179,0.0281,0.9908,1.2043,1.2036,1.2511,4.6497,0.0387,0.0496,0.0406,0.1554,0.2843
feature_15,-0.3096,0.0486,0.2344,0.2714,0.2667,0.2689,1.0414,0.0205,0.0057,0.0219,0.0157,0.0639
feature_16,-0.3873,0.0608,0.9079,0.8021,0.787,0.7337,3.2307,0.0278,0.1236,0.0372,0.0137,0.2023
feature_17,-0.445,0.0699,0.4201,0.3777,0.3983,0.3896,1.5856,0.0271,0.0156,0.034,0.0236,0.1003
feature_18,-0.3741,0.0588,0.6449,0.6494,0.6438,0.6085,2.5466,0.0251,0.0799,0.0272,0.0276,0.1598
feature_19,-0.3775,0.0593,0.2814,0.371,0.3702,0.3832,1.4058,0.0432,0.0068,0.0134,0.0166,0.0799
feature_20,-0.4461,0.0701,0.2842,0.3291,0.3335,0.3386,1.2854,0.0188,0.0093,0.0375,0.0134,0.0789
feature_21,-0.4192,0.0659,0.8542,0.7019,0.6745,0.6556,2.8862,0.0345,0.0963,0.0294,0.0206,0.1808
feature_22,-0.1994,0.0313,0.2931,0.3379,0.3295,0.3328,1.2933,0.0151,0.0085,0.0363,0.0197,0.0796
feature_23,-0.1005,0.0158,0.9591,0.7464,0.7196,0.7911,3.2163,0.0802,0.0157,0.0524,0.0518,0.2002
feature_24,0.0155,0.0024,0.366,0.4015,0.3804,0.3802,1.528,0.0274,0.0095,0.0158,0.0418,0.0945
feature_25,0.0759,0.0119,0.9005,1.1824,1.2192,1.2737,4.5759,0.0272,0.1496,0.0717,0.0367,0.2852
rank_correlation,-0.468,1.0,-0.1097,-0.2068,-0.1925,-0.2212,-0.1699,-0.2581,0.0209,-0.2301,-0.3791,-0.1747
cosine_similarity,-0.5256,1.0,0.6875,0.6643,0.6698,0.6566,0.6713,0.5974,0.5564,0.6638,0.5467,0.6723
