,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.6475,0.1017,0.0634,0.0573,0.0604,0.0584,0.2394,0.0194,0.013,0.0364,0.0218,0.0907
feature_1,-0.5266,0.0827,0.1035,0.0966,0.0971,0.0975,0.3947,0.0262,0.0588,0.0376,0.0295,0.1521
feature_2,0.5555,0.0873,0.0809,0.0799,0.0824,0.0798,0.323,0.0591,0.0247,0.0161,0.0243,0.1242
feature_3,0.5295,0.0832,0.1711,0.1663,0.1802,0.1702,0.6878,0.0396,0.0117,0.0669,0.1361,0.2543
feature_4,-0.3439,0.054,0.1075,0.1007,0.1009,0.0997,0.4088,0.0362,0.0458,0.0457,0.0295,0.1571
feature_5,0.0226,0.0035,0.0898,0.0979,0.1015,0.0991,0.3882,0.0485,0.065,0.0125,0.0212,0.1471
feature_6,0.0379,0.006,0.0729,0.0745,0.0704,0.0716,0.2895,0.0237,0.0112,0.0507,0.0217,0.1073
feature_7,0.0663,0.0104,0.1375,0.1472,0.147,0.1495,0.5813,0.1016,0.021,0.0545,0.0341,0.2112
feature_8,0.0612,0.0096,0.1232,0.1114,0.1122,0.113,0.4598,0.0696,0.0407,0.0433,0.0231,0.1767
feature_9,0.0924,0.0145,0.1171,0.1061,0.1058,0.105,0.434,0.0411,0.0521,0.0456,0.0298,0.1686
feature_10,0.0908,0.0143,0.0664,0.0658,0.063,0.0653,0.2605,0.0326,0.0157,0.0223,0.0297,0.1003
feature_11,-0.0384,0.006,0.1136,0.1157,0.1162,0.1123,0.4578,0.0485,0.0438,0.0494,0.0345,0.1762
feature_12,-0.0212,0.0033,0.1111,0.1106,0.1105,0.1093,0.4416,0.0337,0.0171,0.0453,0.0684,0.1645
feature_13,0.0023,0.0004,0.1109,0.1069,0.1014,0.1053,0.4245,0.0348,0.0094,0.0563,0.0596,0.1601
feature_14,-0.179,0.0281,0.1716,0.1995,0.1957,0.2021,0.769,0.0387,0.0496,0.0406,0.1554,0.2843
feature_15,-0.3096,0.0486,0.0401,0.045,0.0437,0.0443,0.1732,0.0205,0.0057,0.0219,0.0157,0.0639
feature_16,-0.3873,0.0608,0.1473,0.1334,0.1334,0.1272,0.5413,0.0278,0.1236,0.0372,0.0137,0.2023
feature_17,-0.445,0.0699,0.0691,0.0633,0.0669,0.065,0.2643,0.0271,0.0156,0.034,0.0236,0.1003
feature_18,-0.3741,0.0588,0.1075,0.1079,0.1074,0.1035,0.4262,0.0251,0.0799,0.0272,0.0276,0.1598
feature_19,-0.3775,0.0593,0.0497,0.0613,0.0597,0.0616,0.2323,0.0432,0.0068,0.0134,0.0166,0.0799
feature_20,-0.4461,0.0701,0.0489,0.0546,0.0545,0.0551,0.2131,0.0188,0.0093,0.0375,0.0134,0.0789
feature_21,-0.4192,0.0659,0.1362,0.1168,0.1152,0.1139,0.4822,0.0345,0.0963,0.0294,0.0206,0.1808
feature_22,-0.1994,0.0313,0.05,0.0559,0.0539,0.055,0.2148,0.0151,0.0085,0.0363,0.0197,0.0796
feature_23,-0.1005,0.0158,0.1506,0.1245,0.1226,0.1319,0.5296,0.0802,0.0157,0.0524,0.0518,0.2002
feature_24,0.0155,0.0024,0.0618,0.0665,0.063,0.0636,0.2548,0.0274,0.0095,0.0158,0.0418,0.0945
feature_25,0.0759,0.0119,0.1602,0.1964,0.1968,0.2027,0.7561,0.0272,0.1496,0.0717,0.0367,0.2852
rank_correlation,-0.468,1.0,-0.1323,-0.2068,-0.1815,-0.2048,-0.159,-0.2581,0.0209,-0.2301,-0.3791,-0.1747
cosine_similarity,-0.5256,1.0,0.6855,0.6652,0.6735,0.6623,0.6725,0.5974,0.5564,0.6638,0.5467,0.6723
