,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.8314,0.0251,0.1977,0.2116,0.2198,0.1877,0.8169,0.0156,0.0144,0.0064,0.0203,0.0567
feature_1,-0.9869,0.0297,0.1698,0.1694,0.1688,0.1601,0.6681,0.0175,0.0113,0.0049,0.0076,0.0414
feature_2,-0.5865,0.0177,0.1838,0.1849,0.1899,0.1771,0.7357,0.0187,0.0068,0.0133,0.0055,0.0444
feature_3,0.8555,0.0258,0.2341,0.2544,0.2156,0.2215,0.9256,0.0235,0.02,0.0091,0.0156,0.0682
feature_4,-0.3522,0.0106,0.2357,0.2225,0.2773,0.2725,1.0079,0.0541,0.0164,0.0108,0.0216,0.1029
feature_5,0.0089,0.0003,0.1859,0.1988,0.1836,0.1787,0.747,0.0075,0.0217,0.0193,0.0205,0.069
feature_6,0.3452,0.0104,0.1701,0.1807,0.1715,0.1615,0.6838,0.0166,0.0125,0.0063,0.0109,0.0463
feature_7,0.0085,0.0003,0.2108,0.228,0.2245,0.2121,0.8753,0.0056,0.0135,0.0053,0.0203,0.0448
feature_8,-0.3805,0.0115,0.1976,0.1729,0.1883,0.194,0.7528,0.013,0.0066,0.0079,0.0069,0.0343
feature_9,0.1058,0.0032,0.1748,0.1728,0.1832,0.1618,0.6927,0.0083,0.01,0.0211,0.0101,0.0494
feature_10,-0.3092,0.0093,0.241,0.2125,0.2306,0.2443,0.9284,0.0127,0.0107,0.0095,0.014,0.0469
feature_11,1.3946,0.042,0.2146,0.1973,0.1964,0.1976,0.8059,0.0143,0.0077,0.0196,0.0127,0.0543
feature_12,0.2938,0.0089,0.1675,0.1771,0.161,0.1589,0.6645,0.0094,0.0083,0.0094,0.008,0.0351
feature_13,-1.099,0.0331,0.1704,0.1673,0.172,0.1805,0.6902,0.014,0.0085,0.0113,0.0071,0.0409
feature_14,-0.4428,0.0133,0.1623,0.1556,0.1675,0.1692,0.6547,0.0133,0.0084,0.0086,0.01,0.0403
feature_15,0.4917,0.0148,0.1931,0.1998,0.1849,0.1928,0.7706,0.0123,0.0085,0.0187,0.0117,0.0513
feature_16,0.565,0.017,0.1587,0.171,0.1643,0.1555,0.6495,0.0146,0.0167,0.0095,0.0088,0.0496
feature_17,0.1614,0.0049,0.1969,0.2229,0.1847,0.1904,0.7949,0.0112,0.0451,0.0066,0.0109,0.0739
feature_18,-0.3448,0.0104,0.2143,0.2155,0.2153,0.2003,0.8454,0.0133,0.021,0.0171,0.0097,0.061
feature_19,-0.4823,0.0145,0.2275,0.2326,0.1999,0.2204,0.8805,0.012,0.0062,0.0183,0.0116,0.0481
feature_20,-0.0832,0.0025,0.1624,0.1724,0.1698,0.1559,0.6606,0.0199,0.008,0.0073,0.0078,0.0431
feature_21,2.1497,0.0648,0.2082,0.19,0.1965,0.204,0.7986,0.0158,0.0123,0.0115,0.0062,0.0458
feature_22,-0.1123,0.0034,0.2072,0.2224,0.205,0.2034,0.838,0.0127,0.018,0.0043,0.0157,0.0507
feature_23,-2.2728,0.0685,0.1993,0.2056,0.1943,0.1992,0.7984,0.0099,0.006,0.0239,0.006,0.0458
feature_24,0.2538,0.0076,0.1846,0.1819,0.2127,0.216,0.7951,0.013,0.0113,0.0054,0.0141,0.0438
feature_25,0.6018,0.0181,0.2036,0.1923,0.1976,0.1918,0.7853,0.0089,0.006,0.0117,0.011,0.0374
feature_26,0.409,0.0123,0.2193,0.2476,0.1902,0.2126,0.8698,0.0112,0.0063,0.0083,0.0164,0.0421
feature_27,-0.0986,0.003,0.2517,0.2866,0.2165,0.2725,1.0273,0.0142,0.0076,0.0079,0.0062,0.0359
feature_28,-0.3733,0.0112,0.2278,0.2382,0.2235,0.2239,0.9133,0.018,0.0053,0.0247,0.0099,0.0579
feature_29,-0.1004,0.003,0.2448,0.2329,0.2559,0.2447,0.9783,0.0124,0.0108,0.0084,0.0522,0.0838
feature_30,-0.4459,0.0134,0.1656,0.1724,0.1871,0.1919,0.7171,0.0092,0.0086,0.006,0.0082,0.0318
feature_31,0.0046,1e-04,0.1873,0.1974,0.1743,0.1844,0.7434,0.0136,0.0151,0.0051,0.0098,0.0436
feature_32,0.222,0.0067,0.1729,0.1696,0.1941,0.2022,0.7388,0.009,0.016,0.014,0.0075,0.0465
feature_33,0.1859,0.0056,0.1984,0.1932,0.214,0.2035,0.8091,0.0123,0.0185,0.0159,0.0188,0.0656
feature_34,0.2042,0.0062,0.1449,0.1422,0.1612,0.1625,0.6108,0.013,0.0069,0.011,0.0089,0.0398
feature_35,-0.1694,0.0051,0.2261,0.2157,0.2316,0.2254,0.8988,0.0085,0.017,0.0151,0.0561,0.0967
feature_36,-0.1169,0.0035,0.1535,0.1546,0.1794,0.1704,0.6579,0.0177,0.0116,0.0107,0.0093,0.0492
feature_37,0.0124,0.0004,0.2104,0.2241,0.2418,0.1949,0.8712,0.0107,0.0512,0.0113,0.0105,0.0837
feature_38,0.2886,0.0087,0.1789,0.1747,0.2014,0.2093,0.7643,0.0319,0.008,0.0064,0.007,0.0533
feature_39,-0.1204,0.0036,0.2026,0.2041,0.1877,0.2134,0.8078,0.0057,0.0062,0.0079,0.006,0.0258
feature_40,-0.0924,0.0028,0.1599,0.1525,0.1622,0.1607,0.6352,0.0058,0.0113,0.0158,0.0052,0.0381
feature_41,0.493,0.0149,0.1888,0.1851,0.1705,0.187,0.7313,0.0093,0.006,0.0122,0.012,0.0396
feature_42,0.1512,0.0046,0.2207,0.2055,0.2039,0.2118,0.8418,0.0074,0.0087,0.011,0.0267,0.0539
feature_43,-0.5233,0.0158,0.2121,0.2095,0.1954,0.2093,0.8264,0.0133,0.0115,0.0114,0.0124,0.0487
feature_44,0.0681,0.0021,0.2023,0.1801,0.2022,0.1939,0.7786,0.006,0.01,0.0352,0.0075,0.0587
feature_45,-0.1856,0.0056,0.2433,0.226,0.2281,0.2295,0.927,0.0103,0.0183,0.0064,0.011,0.046
feature_46,-0.6335,0.0191,0.1728,0.1682,0.1756,0.1728,0.6894,0.0128,0.0098,0.0067,0.0076,0.0369
feature_47,-0.1438,0.0043,0.21,0.2288,0.1989,0.195,0.8327,0.0122,0.0162,0.0065,0.0113,0.0462
feature_48,0.7896,0.0238,0.1659,0.1764,0.1667,0.1635,0.6725,0.01,0.011,0.0052,0.009,0.0352
feature_49,-0.3056,0.0092,0.181,0.1969,0.166,0.1717,0.7157,0.0084,0.0103,0.0111,0.0065,0.0363
feature_50,0.5216,0.0157,0.1974,0.1906,0.2074,0.2073,0.8027,0.0087,0.0035,0.0264,0.0083,0.0468
feature_51,-0.6813,0.0205,0.2457,0.2373,0.2257,0.248,0.9567,0.0117,0.0151,0.0178,0.0146,0.0592
feature_52,-0.4233,0.0128,0.2313,0.2074,0.2078,0.22,0.8666,0.015,0.0037,0.0181,0.0061,0.0429
feature_53,0.5325,0.016,0.2034,0.1949,0.2192,0.2192,0.8366,0.0095,0.0138,0.0088,0.0088,0.0409
feature_54,-0.2328,0.007,0.1822,0.1776,0.1715,0.1737,0.7049,0.0088,0.0072,0.0115,0.0086,0.0361
