,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.8314,0.0251,0.2423,0.2067,0.2383,0.2279,0.9153,0.0168,0.0158,0.017,0.0087,0.0583
feature_1,-0.9869,0.0297,0.1711,0.1615,0.1743,0.1808,0.6876,0.0086,0.0235,0.008,0.0062,0.0463
feature_2,-0.5865,0.0177,0.2176,0.2107,0.2194,0.2276,0.8753,0.0077,0.0215,0.0112,0.0152,0.0556
feature_3,0.8555,0.0258,0.2526,0.2207,0.2461,0.2216,0.9411,0.0145,0.016,0.0221,0.0086,0.0612
feature_4,-0.3522,0.0106,0.1387,0.147,0.1453,0.1437,0.5746,0.0109,0.0077,0.0133,0.0033,0.0352
feature_5,0.0089,0.0003,0.2432,0.2288,0.2381,0.2109,0.921,0.0227,0.009,0.0061,0.0206,0.0584
feature_6,0.3452,0.0104,0.2065,0.2056,0.2059,0.2209,0.8388,0.0152,0.0152,0.0151,0.005,0.0505
feature_7,0.0085,0.0003,0.1581,0.1456,0.1549,0.1567,0.6152,0.0103,0.009,0.0092,0.0095,0.038
feature_8,-0.3805,0.0115,0.1872,0.1579,0.1895,0.1967,0.7313,0.0119,0.01,0.0112,0.0129,0.046
feature_9,0.1058,0.0032,0.1963,0.1869,0.1865,0.1781,0.7478,0.0174,0.0072,0.0165,0.0098,0.0509
feature_10,-0.3092,0.0093,0.185,0.1693,0.1869,0.1799,0.7211,0.0083,0.0174,0.0151,0.006,0.0467
feature_11,1.3946,0.042,0.2376,0.2263,0.2227,0.2388,0.9253,0.012,0.0086,0.0138,0.0195,0.0539
feature_12,0.2938,0.0089,0.1989,0.179,0.1984,0.2085,0.7849,0.0128,0.0123,0.0162,0.0079,0.0492
feature_13,-1.099,0.0331,0.2157,0.2066,0.2177,0.2142,0.8542,0.0106,0.0141,0.0184,0.0113,0.0545
feature_14,-0.4428,0.0133,0.2046,0.1625,0.1968,0.1872,0.7511,0.0096,0.0075,0.0141,0.0182,0.0494
feature_15,0.4917,0.0148,0.1928,0.1651,0.1883,0.1871,0.7334,0.0106,0.0094,0.0099,0.0157,0.0455
feature_16,0.565,0.017,0.1728,0.2192,0.1935,0.2229,0.8084,0.0118,0.015,0.0173,0.0064,0.0505
feature_17,0.1614,0.0049,0.2006,0.204,0.1943,0.1895,0.7884,0.0181,0.0078,0.0134,0.0132,0.0525
feature_18,-0.3448,0.0104,0.2615,0.2579,0.2499,0.2356,1.0049,0.0144,0.021,0.015,0.0068,0.0572
feature_19,-0.4823,0.0145,0.1664,0.1451,0.1609,0.1576,0.6299,0.0125,0.0058,0.0105,0.0086,0.0374
feature_20,-0.0832,0.0025,0.2086,0.2431,0.2084,0.2085,0.8686,0.0074,0.0225,0.0138,0.007,0.0507
feature_21,2.1497,0.0648,0.1556,0.185,0.1588,0.1601,0.6595,0.0124,0.0094,0.0091,0.0096,0.0405
feature_22,-0.1123,0.0034,0.2308,0.2882,0.2275,0.2209,0.9673,0.0179,0.0096,0.0125,0.0187,0.0587
feature_23,-2.2728,0.0685,0.1817,0.2113,0.1812,0.1764,0.7506,0.0075,0.0135,0.0082,0.0162,0.0454
feature_24,0.2538,0.0076,0.1801,0.162,0.1729,0.1674,0.6824,0.0084,0.0099,0.0144,0.0112,0.0438
feature_25,0.6018,0.0181,0.1533,0.1339,0.1537,0.1451,0.5859,0.0095,0.0053,0.0138,0.0094,0.0381
feature_26,0.409,0.0123,0.1853,0.1811,0.1793,0.1837,0.7294,0.0083,0.0171,0.0103,0.0078,0.0435
feature_27,-0.0986,0.003,0.1715,0.1862,0.1741,0.1776,0.7093,0.0184,0.0046,0.0187,0.0046,0.0462
feature_28,-0.3733,0.0112,0.1995,0.2242,0.2157,0.229,0.8684,0.0172,0.0157,0.0106,0.0092,0.0527
feature_29,-0.1004,0.003,0.1379,0.1251,0.1418,0.1558,0.5606,0.0084,0.008,0.0097,0.0095,0.0356
feature_30,-0.4459,0.0134,0.1398,0.1519,0.1561,0.1676,0.6155,0.0138,0.0138,0.0108,0.0048,0.0432
feature_31,0.0046,1e-04,0.1836,0.1692,0.1987,0.2184,0.7698,0.0172,0.0065,0.0127,0.0142,0.0505
feature_32,0.222,0.0067,0.1556,0.124,0.1529,0.1659,0.5984,0.0069,0.008,0.0128,0.0113,0.039
feature_33,0.1859,0.0056,0.1884,0.1589,0.175,0.1752,0.6974,0.0126,0.0072,0.0071,0.015,0.0419
feature_34,0.2042,0.0062,0.163,0.1523,0.1622,0.1629,0.6405,0.0098,0.0065,0.0134,0.0099,0.0396
feature_35,-0.1694,0.0051,0.1393,0.1232,0.1389,0.1487,0.5502,0.0099,0.0064,0.007,0.0105,0.0338
feature_36,-0.1169,0.0035,0.1587,0.1872,0.1628,0.1732,0.6818,0.0167,0.0089,0.0113,0.0078,0.0447
feature_37,0.0124,0.0004,0.1846,0.2287,0.1831,0.1942,0.7906,0.0119,0.0125,0.0057,0.0171,0.0472
feature_38,0.2886,0.0087,0.18,0.1611,0.1742,0.1652,0.6805,0.0072,0.0076,0.0145,0.0128,0.0421
feature_39,-0.1204,0.0036,0.1871,0.1808,0.1753,0.1708,0.7141,0.0115,0.0077,0.0081,0.0181,0.0454
feature_40,-0.0924,0.0028,0.1799,0.173,0.1764,0.1655,0.6948,0.0171,0.0082,0.0061,0.0125,0.0437
feature_41,0.493,0.0149,0.2031,0.1925,0.2093,0.2167,0.8215,0.0124,0.0168,0.0123,0.013,0.0545
feature_42,0.1512,0.0046,0.2128,0.19,0.2248,0.2359,0.8635,0.0085,0.0165,0.0178,0.0125,0.0553
feature_43,-0.5233,0.0158,0.2074,0.1787,0.2011,0.1934,0.7805,0.0148,0.009,0.0197,0.0083,0.0517
feature_44,0.0681,0.0021,0.1701,0.1867,0.1756,0.1716,0.704,0.0061,0.0119,0.0183,0.0079,0.0443
feature_45,-0.1856,0.0056,0.1795,0.172,0.1954,0.2079,0.7548,0.0078,0.01,0.0252,0.0075,0.0505
feature_46,-0.6335,0.0191,0.2259,0.1832,0.2164,0.2224,0.8479,0.0143,0.013,0.0132,0.0115,0.052
feature_47,-0.1438,0.0043,0.2794,0.2012,0.2785,0.2936,1.0526,0.0105,0.0267,0.0273,0.0091,0.0736
feature_48,0.7896,0.0238,0.1786,0.1715,0.1896,0.1908,0.7305,0.0072,0.017,0.0159,0.0079,0.048
feature_49,-0.3056,0.0092,0.2145,0.2505,0.2166,0.2081,0.8897,0.017,0.0097,0.0122,0.0175,0.0564
feature_50,0.5216,0.0157,0.2621,0.2621,0.2545,0.2183,0.997,0.0188,0.0165,0.0044,0.0243,0.064
feature_51,-0.6813,0.0205,0.2438,0.24,0.2362,0.2249,0.9449,0.0129,0.0118,0.0179,0.012,0.0546
feature_52,-0.4233,0.0128,0.1498,0.1889,0.1614,0.1727,0.6728,0.0196,0.0088,0.0078,0.0086,0.0447
feature_53,0.5325,0.016,0.2101,0.2028,0.2047,0.1896,0.8071,0.0151,0.0135,0.012,0.0067,0.0473
feature_54,-0.2328,0.007,0.1914,0.1975,0.2044,0.2136,0.8069,0.0217,0.0104,0.014,0.0071,0.0531
